health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,909.0,909.0,163.0,4.0,-,30.0,109.0,255.0,1998.0,-,-,8754.0
Alleghany,1742.0,218.0,40.0,,-,20.0,28.0,869.0,195.0,-,-,6234.0
Arlington,1470.0,471.0,237.0,5.0,-,53.0,115.0,497.0,1965.0,-,-,9626.0
Central Shenandoah,4221.0,287.0,95.0,4.0,-,60.0,99.0,1101.0,1266.0,-,-,14266.0
Central Virginia,2211.0,497.0,35.0,9.0,-,26.0,32.0,2285.0,106.0,-,-,10402.0
Chesapeake,1842.0,1966.0,97.0,12.0,-,65.0,60.0,627.0,408.0,-,-,10154.0
Chesterfield,2379.0,1592.0,121.0,9.0,-,59.0,181.0,1546.0,2117.0,-,-,16008.0
Chickahominy,1327.0,440.0,20.0,10.0,-,10.0,26.0,555.0,112.0,-,-,5000.0
Crater,1153.0,2535.0,31.0,7.0,-,14.0,69.0,1158.0,246.0,-,-,10426.0
Cumberland Plateau,1317.0,58.0,,,-,10.0,7.0,140.0,15.0,-,-,3102.0
Eastern Shore,301.0,875.0,,,-,1.0,13.0,79.0,275.0,-,-,3098.0
Fairfax,5307.0,2019.0,2199.0,37.0,-,148.0,971.0,2707.0,11313.0,-,-,49402.0
Hampton,372.0,1011.0,19.0,3.0,-,19.0,70.0,628.0,93.0,-,-,4430.0
Henrico,1924.0,2072.0,261.0,12.0,-,98.0,215.0,1042.0,995.0,-,-,13238.0
Lenowisco,1502.0,55.0,,,-,22.0,12.0,223.0,38.0,-,-,3708.0
Lord Fairfax,2483.0,175.0,20.0,3.0,-,27.0,93.0,485.0,898.0,-,-,8368.0
Loudoun,2075.0,379.0,553.0,6.0,-,65.0,288.0,2030.0,2709.0,-,-,16210.0
Mount Rogers,3372.0,92.0,7.0,,-,13.0,16.0,258.0,319.0,-,-,8154.0
New River,2872.0,278.0,126.0,5.0,-,95.0,20.0,1071.0,255.0,-,-,9444.0
Norfolk,1134.0,2625.0,77.0,9.0,-,60.0,105.0,1132.0,421.0,-,-,11126.0
Peninsula,1394.0,1432.0,70.0,7.0,-,66.0,187.0,1680.0,452.0,-,-,10576.0
Piedmont,869.0,724.0,13.0,5.0,-,10.0,17.0,874.0,81.0,-,-,5186.0
Pittsylvania-Danville,865.0,873.0,4.0,,-,8.0,5.0,817.0,96.0,-,-,5338.0
Portsmouth,439.0,1770.0,21.0,4.0,-,23.0,64.0,455.0,99.0,-,-,5750.0
Prince William,2303.0,1805.0,714.0,31.0,-,133.0,647.0,4475.0,7388.0,-,-,34992.0
Rappahannock,1899.0,1059.0,110.0,6.0,-,58.0,161.0,1562.0,1508.0,-,-,12726.0
Rappahannock Rapidan,1140.0,324.0,18.0,3.0,-,42.0,40.0,734.0,894.0,-,-,6390.0
Richmond,1055.0,1910.0,67.0,3.0,-,49.0,185.0,797.0,1455.0,-,-,11042.0
Roanoke,820.0,635.0,45.0,,-,18.0,36.0,1003.0,493.0,-,-,6102.0
Southside,491.0,629.0,3.0,,-,64.0,16.0,689.0,9.0,-,-,3802.0
Thomas Jefferson,2375.0,621.0,134.0,5.0,-,99.0,179.0,368.0,757.0,-,-,9076.0
Three Rivers,965.0,796.0,,,-,13.0,28.0,297.0,197.0,-,-,4614.0
Virginia Beach,3113.0,1996.0,334.0,15.0,-,99.0,137.0,2079.0,578.0,-,-,16702.0
West Piedmont,1546.0,606.0,13.0,2.0,-,14.0,11.0,755.0,304.0,-,-,6502.0
Western Tidewater,1278.0,2105.0,22.0,2.0,-,90.0,100.0,1048.0,60.0,-,-,9410.0
