health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1251.0,1114.0,205.0,4.0,-,50.0,149.0,443.0,2386.0,-,-,5602.0
Alleghany,3221.0,330.0,76.0,,-,36.0,56.0,1617.0,261.0,-,-,5601.0
Arlington,2009.0,583.0,315.0,7.0,-,75.0,200.0,1082.0,2369.0,-,-,6640.0
Central Shenandoah,6341.0,430.0,113.0,6.0,-,85.0,137.0,1776.0,1431.0,-,-,10319.0
Central Virginia,3546.0,790.0,51.0,12.0,-,43.0,59.0,2909.0,142.0,-,-,7552.0
Chesapeake,2740.0,2499.0,133.0,15.0,-,82.0,89.0,821.0,509.0,-,-,6888.0
Chesterfield,3721.0,2104.0,195.0,11.0,-,96.0,266.0,1913.0,2530.0,-,-,10836.0
Chickahominy,2052.0,601.0,26.0,15.0,-,20.0,43.0,757.0,156.0,-,-,3670.0
Crater,1535.0,2906.0,42.0,7.0,-,22.0,86.0,1251.0,298.0,-,-,6147.0
Cumberland Plateau,2389.0,66.0,,,-,3.0,7.0,412.0,23.0,-,-,2908.0
Eastern Shore,423.0,915.0,,,-,1.0,14.0,77.0,294.0,-,-,1730.0
Fairfax,7776.0,2622.0,3115.0,49.0,-,283.0,1425.0,3913.0,13738.0,-,-,32921.0
Hampton,600.0,1317.0,24.0,3.0,-,30.0,104.0,708.0,117.0,-,-,2903.0
Henrico,2657.0,2678.0,405.0,20.0,-,133.0,284.0,1511.0,1150.0,-,-,8838.0
Lenowisco,2672.0,88.0,,,-,36.0,12.0,391.0,62.0,-,-,3275.0
Lord Fairfax,4385.0,284.0,51.0,5.0,-,53.0,144.0,799.0,1101.0,-,-,6822.0
Loudoun,2918.0,479.0,806.0,8.0,-,107.0,574.0,2537.0,3128.0,-,-,10557.0
Mount Rogers,5623.0,168.0,13.0,,-,25.0,26.0,667.0,385.0,-,-,6910.0
New River,4176.0,323.0,167.0,6.0,-,116.0,28.0,1711.0,287.0,-,-,6814.0
Norfolk,1545.0,3005.0,99.0,12.0,-,83.0,137.0,1372.0,533.0,-,-,6786.0
Peninsula,2049.0,1871.0,98.0,8.0,-,101.0,278.0,1892.0,576.0,-,-,6873.0
Piedmont,1219.0,921.0,14.0,7.0,-,58.0,21.0,1028.0,93.0,-,-,3361.0
Pittsylvania-Danville,1273.0,1175.0,7.0,,-,12.0,6.0,994.0,125.0,-,-,3597.0
Portsmouth,571.0,1986.0,26.0,4.0,-,32.0,76.0,488.0,115.0,-,-,3298.0
Prince William,3287.0,2363.0,996.0,36.0,-,212.0,1094.0,5340.0,8961.0,-,-,22289.0
Rappahannock,2876.0,1331.0,169.0,10.0,-,93.0,261.0,2210.0,1835.0,-,-,8785.0
Rappahannock Rapidan,2067.0,532.0,27.0,4.0,-,57.0,59.0,1077.0,1078.0,-,-,4901.0
Richmond,1494.0,2442.0,87.0,5.0,-,74.0,213.0,1059.0,1586.0,-,-,6960.0
Roanoke,1318.0,924.0,80.0,,-,32.0,49.0,1291.0,599.0,-,-,4295.0
Southside,686.0,770.0,5.0,,-,134.0,20.0,746.0,15.0,-,-,2376.0
Thomas Jefferson,3047.0,750.0,176.0,6.0,-,125.0,203.0,403.0,906.0,-,-,5616.0
Three Rivers,1420.0,990.0,,,-,24.0,39.0,339.0,228.0,-,-,3060.0
Virginia Beach,4599.0,2486.0,469.0,18.0,-,153.0,207.0,2789.0,831.0,-,-,11552.0
West Piedmont,2584.0,877.0,23.0,4.0,-,26.0,20.0,1064.0,391.0,-,-,4989.0
Western Tidewater,1623.0,2374.0,25.0,5.0,-,78.0,106.0,1220.0,71.0,-,-,5502.0
