health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,905.0,903.0,162.0,4.0,-,29.0,108.0,260.0,1992.0,-,-,4363.0
Alleghany,1700.0,212.0,38.0,,-,20.0,27.0,864.0,194.0,-,-,3060.0
Arlington,1463.0,471.0,237.0,5.0,-,53.0,114.0,484.0,1951.0,-,-,4778.0
Central Shenandoah,4188.0,286.0,93.0,4.0,-,58.0,98.0,1101.0,1261.0,-,-,7089.0
Central Virginia,2170.0,491.0,35.0,9.0,-,26.0,32.0,2276.0,105.0,-,-,5144.0
Chesapeake,1830.0,1966.0,97.0,12.0,-,63.0,59.0,623.0,408.0,-,-,5058.0
Chesterfield,2366.0,1585.0,120.0,9.0,-,58.0,181.0,1538.0,2107.0,-,-,7964.0
Chickahominy,1315.0,434.0,20.0,10.0,-,10.0,26.0,557.0,111.0,-,-,2483.0
Crater,1134.0,2520.0,30.0,7.0,-,13.0,67.0,1128.0,246.0,-,-,5145.0
Cumberland Plateau,1307.0,58.0,,,-,10.0,7.0,136.0,15.0,-,-,1537.0
Eastern Shore,301.0,875.0,,,-,1.0,13.0,79.0,275.0,-,-,1549.0
Fairfax,5273.0,2010.0,2183.0,37.0,-,147.0,973.0,2744.0,11275.0,-,-,24642.0
Hampton,367.0,1005.0,19.0,3.0,-,19.0,70.0,627.0,92.0,-,-,2202.0
Henrico,1908.0,2060.0,261.0,12.0,-,97.0,214.0,1029.0,988.0,-,-,6569.0
Lenowisco,1478.0,56.0,,,-,21.0,12.0,220.0,38.0,-,-,1827.0
Lord Fairfax,2447.0,174.0,20.0,3.0,-,27.0,94.0,482.0,887.0,-,-,4134.0
Loudoun,2064.0,374.0,547.0,6.0,-,67.0,283.0,2012.0,2695.0,-,-,8048.0
Mount Rogers,3325.0,91.0,7.0,,-,13.0,16.0,253.0,317.0,-,-,4022.0
New River,2840.0,276.0,124.0,5.0,-,95.0,20.0,1055.0,255.0,-,-,4670.0
Norfolk,1121.0,2618.0,77.0,9.0,-,61.0,104.0,1124.0,420.0,-,-,5534.0
Peninsula,1381.0,1420.0,70.0,7.0,-,66.0,184.0,1680.0,452.0,-,-,5260.0
Piedmont,859.0,716.0,12.0,5.0,-,9.0,15.0,879.0,79.0,-,-,2574.0
Pittsylvania-Danville,864.0,868.0,4.0,,-,7.0,6.0,805.0,95.0,-,-,2650.0
Portsmouth,438.0,1767.0,21.0,4.0,-,23.0,64.0,455.0,99.0,-,-,2871.0
Prince William,2276.0,1797.0,700.0,30.0,-,132.0,639.0,4469.0,7342.0,-,-,17385.0
Rappahannock,1892.0,1053.0,107.0,6.0,-,55.0,161.0,1554.0,1497.0,-,-,6325.0
Rappahannock Rapidan,1137.0,323.0,18.0,3.0,-,42.0,40.0,732.0,892.0,-,-,3187.0
Richmond,1055.0,1899.0,66.0,3.0,-,49.0,183.0,792.0,1452.0,-,-,5499.0
Roanoke,801.0,627.0,45.0,,-,17.0,35.0,964.0,493.0,-,-,2983.0
Southside,490.0,626.0,3.0,,-,62.0,16.0,688.0,9.0,-,-,1894.0
Thomas Jefferson,2373.0,619.0,134.0,5.0,-,100.0,179.0,368.0,757.0,-,-,4535.0
Three Rivers,965.0,796.0,,,-,13.0,27.0,298.0,196.0,-,-,2306.0
Virginia Beach,3064.0,1961.0,332.0,13.0,-,94.0,135.0,2078.0,571.0,-,-,8248.0
West Piedmont,1524.0,599.0,13.0,2.0,-,14.0,11.0,732.0,303.0,-,-,3198.0
Western Tidewater,1271.0,2092.0,22.0,3.0,-,91.0,101.0,1045.0,60.0,-,-,4685.0
