health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1491.0,1261.0,261.0,8.0,-,73.0,176.0,603.0,2660.0,-,-,6533.0
Alleghany,4209.0,402.0,89.0,,-,46.0,75.0,2087.0,281.0,-,-,7194.0
Arlington,2323.0,656.0,386.0,7.0,-,96.0,258.0,1467.0,2628.0,-,-,7821.0
Central Shenandoah,8396.0,671.0,134.0,7.0,-,114.0,190.0,2535.0,1619.0,-,-,13666.0
Central Virginia,4509.0,1079.0,68.0,18.0,-,51.0,87.0,3729.0,168.0,-,-,9709.0
Chesapeake,3339.0,2853.0,153.0,20.0,-,99.0,106.0,1151.0,549.0,-,-,8270.0
Chesterfield,4538.0,2559.0,231.0,12.0,-,115.0,297.0,2214.0,2776.0,-,-,12742.0
Chickahominy,2462.0,674.0,31.0,16.0,-,32.0,55.0,911.0,175.0,-,-,4356.0
Crater,1730.0,3118.0,48.0,7.0,-,26.0,99.0,1353.0,313.0,-,-,6694.0
Cumberland Plateau,3408.0,113.0,,,-,6.0,9.0,687.0,36.0,-,-,4267.0
Eastern Shore,542.0,994.0,,,-,1.0,17.0,80.0,315.0,-,-,1956.0
Fairfax,9347.0,3065.0,3854.0,62.0,-,368.0,1771.0,5372.0,15310.0,-,-,39149.0
Hampton,822.0,1673.0,37.0,4.0,-,58.0,123.0,864.0,161.0,-,-,3742.0
Henrico,3225.0,3169.0,496.0,22.0,-,155.0,322.0,1986.0,1246.0,-,-,10621.0
Lenowisco,3358.0,95.0,,,-,39.0,13.0,532.0,66.0,-,-,4121.0
Lord Fairfax,5684.0,327.0,67.0,7.0,-,68.0,200.0,1248.0,1248.0,-,-,8849.0
Loudoun,3451.0,550.0,923.0,10.0,-,152.0,860.0,3169.0,3388.0,-,-,12503.0
Mount Rogers,7257.0,209.0,18.0,,-,57.0,35.0,1075.0,420.0,-,-,9076.0
New River,5054.0,369.0,175.0,7.0,-,126.0,33.0,2174.0,300.0,-,-,8238.0
Norfolk,1845.0,3333.0,120.0,15.0,-,104.0,148.0,1574.0,584.0,-,-,7723.0
Peninsula,2701.0,2288.0,120.0,9.0,-,145.0,345.0,2221.0,637.0,-,-,8466.0
Piedmont,1462.0,1077.0,16.0,7.0,-,70.0,24.0,1392.0,96.0,-,-,4144.0
Pittsylvania-Danville,1613.0,1361.0,7.0,,-,13.0,6.0,1278.0,135.0,-,-,4419.0
Portsmouth,754.0,2192.0,27.0,4.0,-,35.0,90.0,599.0,125.0,-,-,3826.0
Prince William,4081.0,2737.0,1195.0,43.0,-,286.0,1344.0,6303.0,9873.0,-,-,25862.0
Rappahannock,3487.0,1585.0,198.0,10.0,-,109.0,355.0,2893.0,2026.0,-,-,10663.0
Rappahannock Rapidan,2586.0,630.0,34.0,7.0,-,65.0,80.0,1296.0,1199.0,-,-,5897.0
Richmond,1807.0,2903.0,112.0,7.0,-,92.0,219.0,1306.0,1650.0,-,-,8096.0
Roanoke,1531.0,1018.0,94.0,,-,35.0,58.0,1459.0,640.0,-,-,4838.0
Southside,801.0,874.0,5.0,,-,139.0,20.0,832.0,19.0,-,-,2690.0
Thomas Jefferson,3474.0,892.0,191.0,7.0,-,140.0,241.0,607.0,1061.0,-,-,6613.0
Three Rivers,1877.0,1178.0,,,-,32.0,51.0,454.0,261.0,-,-,3874.0
Virginia Beach,5658.0,2845.0,580.0,21.0,-,182.0,253.0,3492.0,961.0,-,-,13992.0
West Piedmont,3091.0,1001.0,29.0,4.0,-,30.0,29.0,1307.0,443.0,-,-,5934.0
Western Tidewater,1977.0,2699.0,27.0,5.0,-,92.0,129.0,1415.0,84.0,-,-,6428.0
