health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1355.0,1197.0,228.0,5.0,-,65.0,163.0,548.0,2528.0,-,-,6089.0
Alleghany,3694.0,364.0,84.0,,-,43.0,65.0,1843.0,270.0,-,-,6368.0
Arlington,2139.0,621.0,356.0,7.0,-,84.0,219.0,1269.0,2511.0,-,-,7206.0
Central Shenandoah,7111.0,481.0,123.0,7.0,-,98.0,161.0,2143.0,1518.0,-,-,11642.0
Central Virginia,3964.0,919.0,59.0,15.0,-,46.0,68.0,3256.0,158.0,-,-,8485.0
Chesapeake,2926.0,2605.0,147.0,17.0,-,89.0,91.0,897.0,517.0,-,-,7289.0
Chesterfield,4070.0,2315.0,210.0,12.0,-,100.0,277.0,2067.0,2639.0,-,-,11690.0
Chickahominy,2257.0,640.0,28.0,15.0,-,27.0,51.0,831.0,163.0,-,-,4012.0
Crater,1610.0,2986.0,46.0,7.0,-,22.0,95.0,1266.0,303.0,-,-,6335.0
Cumberland Plateau,2886.0,73.0,,,-,3.0,7.0,491.0,31.0,-,-,3499.0
Eastern Shore,479.0,952.0,,,-,1.0,15.0,77.0,300.0,-,-,1831.0
Fairfax,8531.0,2848.0,3464.0,58.0,-,327.0,1616.0,4819.0,14456.0,-,-,36119.0
Hampton,687.0,1458.0,30.0,4.0,-,41.0,112.0,766.0,133.0,-,-,3231.0
Henrico,2935.0,2913.0,443.0,21.0,-,141.0,299.0,1780.0,1188.0,-,-,9720.0
Lenowisco,2978.0,91.0,,,-,36.0,12.0,435.0,63.0,-,-,3630.0
Lord Fairfax,4951.0,305.0,61.0,6.0,-,60.0,164.0,983.0,1179.0,-,-,7709.0
Loudoun,3160.0,518.0,859.0,9.0,-,131.0,717.0,2899.0,3252.0,-,-,11545.0
Mount Rogers,6329.0,188.0,16.0,,-,47.0,33.0,828.0,407.0,-,-,7852.0
New River,4574.0,339.0,174.0,6.0,-,121.0,32.0,1934.0,294.0,-,-,7474.0
Norfolk,1681.0,3166.0,109.0,14.0,-,88.0,145.0,1487.0,560.0,-,-,7250.0
Peninsula,2261.0,1988.0,106.0,8.0,-,111.0,293.0,1986.0,597.0,-,-,7350.0
Piedmont,1332.0,997.0,15.0,7.0,-,62.0,23.0,1266.0,93.0,-,-,3795.0
Pittsylvania-Danville,1455.0,1276.0,7.0,,-,13.0,6.0,1145.0,131.0,-,-,4039.0
Portsmouth,634.0,2076.0,26.0,4.0,-,33.0,84.0,531.0,121.0,-,-,3509.0
Prince William,3587.0,2505.0,1077.0,40.0,-,235.0,1180.0,5866.0,9343.0,-,-,23833.0
Rappahannock,3147.0,1454.0,185.0,10.0,-,102.0,317.0,2553.0,1921.0,-,-,9689.0
Rappahannock Rapidan,2345.0,572.0,29.0,6.0,-,61.0,64.0,1142.0,1125.0,-,-,5344.0
Richmond,1642.0,2651.0,98.0,6.0,-,86.0,217.0,1176.0,1608.0,-,-,7484.0
Roanoke,1431.0,958.0,88.0,,-,33.0,56.0,1364.0,626.0,-,-,4558.0
Southside,742.0,810.0,5.0,,-,137.0,20.0,788.0,17.0,-,-,2519.0
Thomas Jefferson,3222.0,831.0,178.0,7.0,-,129.0,217.0,505.0,980.0,-,-,6069.0
Three Rivers,1528.0,1042.0,,,-,25.0,41.0,379.0,236.0,-,-,3270.0
Virginia Beach,5086.0,2656.0,510.0,18.0,-,164.0,224.0,3145.0,899.0,-,-,12702.0
West Piedmont,2810.0,935.0,23.0,4.0,-,26.0,27.0,1155.0,412.0,-,-,5392.0
Western Tidewater,1760.0,2536.0,25.0,5.0,-,85.0,113.0,1310.0,75.0,-,-,5909.0
