health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,927.0,927.0,166.0,4.0,-,31.0,114.0,260.0,2015.0,-,-,4444.0
Alleghany,1845.0,228.0,42.0,,-,22.0,30.0,945.0,207.0,-,-,3323.0
Arlington,1536.0,484.0,246.0,5.0,-,53.0,120.0,469.0,2006.0,-,-,4919.0
Central Shenandoah,4313.0,291.0,99.0,4.0,-,63.0,101.0,1135.0,1276.0,-,-,7282.0
Central Virginia,2324.0,531.0,39.0,9.0,-,29.0,35.0,2263.0,113.0,-,-,5343.0
Chesapeake,1907.0,2029.0,98.0,12.0,-,68.0,65.0,577.0,412.0,-,-,5168.0
Chesterfield,2443.0,1623.0,126.0,10.0,-,58.0,181.0,1542.0,2151.0,-,-,8134.0
Chickahominy,1362.0,447.0,19.0,12.0,-,11.0,28.0,564.0,125.0,-,-,2568.0
Crater,1195.0,2556.0,33.0,7.0,-,16.0,71.0,1175.0,256.0,-,-,5309.0
Cumberland Plateau,1391.0,59.0,,,-,10.0,7.0,144.0,16.0,-,-,1631.0
Eastern Shore,306.0,877.0,,,-,1.0,13.0,78.0,282.0,-,-,1562.0
Fairfax,5459.0,2064.0,2243.0,37.0,-,154.0,992.0,2686.0,11517.0,-,-,25152.0
Hampton,392.0,1059.0,20.0,3.0,-,20.0,73.0,570.0,96.0,-,-,2233.0
Henrico,1977.0,2134.0,267.0,12.0,-,98.0,222.0,1040.0,1012.0,-,-,6762.0
Lenowisco,1609.0,59.0,,,-,27.0,12.0,226.0,39.0,-,-,1974.0
Lord Fairfax,2585.0,180.0,21.0,3.0,-,28.0,96.0,484.0,917.0,-,-,4314.0
Loudoun,2131.0,395.0,567.0,6.0,-,68.0,289.0,2011.0,2758.0,-,-,8225.0
Mount Rogers,3520.0,94.0,7.0,,-,13.0,17.0,281.0,323.0,-,-,4255.0
New River,2978.0,281.0,131.0,5.0,-,97.0,20.0,1108.0,259.0,-,-,4879.0
Norfolk,1177.0,2646.0,78.0,10.0,-,60.0,106.0,1143.0,429.0,-,-,5649.0
Peninsula,1428.0,1461.0,72.0,7.0,-,66.0,187.0,1692.0,462.0,-,-,5375.0
Piedmont,899.0,741.0,13.0,6.0,-,8.0,19.0,873.0,84.0,-,-,2643.0
Pittsylvania-Danville,896.0,897.0,4.0,,-,8.0,5.0,817.0,101.0,-,-,2729.0
Portsmouth,451.0,1782.0,21.0,4.0,-,24.0,64.0,457.0,99.0,-,-,2902.0
Prince William,2380.0,1846.0,737.0,33.0,-,143.0,684.0,4389.0,7549.0,-,-,17761.0
Rappahannock,1967.0,1073.0,118.0,6.0,-,62.0,167.0,1579.0,1540.0,-,-,6512.0
Rappahannock Rapidan,1200.0,348.0,19.0,3.0,-,44.0,40.0,744.0,899.0,-,-,3297.0
Richmond,1089.0,1945.0,70.0,3.0,-,53.0,185.0,804.0,1476.0,-,-,5625.0
Roanoke,869.0,659.0,47.0,,-,20.0,38.0,1032.0,510.0,-,-,3176.0
Southside,511.0,648.0,3.0,,-,86.0,16.0,699.0,10.0,-,-,1973.0
Thomas Jefferson,2413.0,631.0,144.0,5.0,-,104.0,180.0,366.0,771.0,-,-,4614.0
Three Rivers,981.0,808.0,,,-,13.0,29.0,303.0,196.0,-,-,2343.0
Virginia Beach,3202.0,2030.0,342.0,16.0,-,98.0,143.0,2115.0,594.0,-,-,8540.0
West Piedmont,1623.0,619.0,14.0,2.0,-,16.0,13.0,807.0,307.0,-,-,3401.0
Western Tidewater,1307.0,2135.0,23.0,3.0,-,89.0,100.0,1035.0,61.0,-,-,4753.0
