health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,918.0,920.0,166.0,4.0,-,30.0,113.0,257.0,2005.0,-,-,4413.0
Alleghany,1813.0,227.0,41.0,,-,22.0,29.0,931.0,207.0,-,-,3274.0
Arlington,1518.0,480.0,243.0,5.0,-,53.0,119.0,469.0,1985.0,-,-,4872.0
Central Shenandoah,4285.0,292.0,98.0,4.0,-,63.0,100.0,1106.0,1272.0,-,-,7220.0
Central Virginia,2294.0,524.0,38.0,9.0,-,28.0,34.0,2264.0,111.0,-,-,5302.0
Chesapeake,1869.0,2000.0,98.0,12.0,-,67.0,61.0,629.0,408.0,-,-,5144.0
Chesterfield,2425.0,1612.0,123.0,9.0,-,58.0,182.0,1545.0,2138.0,-,-,8092.0
Chickahominy,1340.0,447.0,19.0,11.0,-,11.0,27.0,562.0,123.0,-,-,2540.0
Crater,1174.0,2551.0,32.0,7.0,-,15.0,68.0,1164.0,253.0,-,-,5264.0
Cumberland Plateau,1346.0,58.0,,,-,10.0,7.0,143.0,15.0,-,-,1583.0
Eastern Shore,304.0,876.0,,,-,1.0,13.0,79.0,282.0,-,-,1560.0
Fairfax,5403.0,2043.0,2229.0,37.0,-,152.0,983.0,2680.0,11442.0,-,-,24969.0
Hampton,387.0,1057.0,20.0,3.0,-,20.0,72.0,573.0,94.0,-,-,2226.0
Henrico,1957.0,2118.0,265.0,12.0,-,97.0,222.0,1037.0,1005.0,-,-,6713.0
Lenowisco,1567.0,57.0,,,-,25.0,12.0,231.0,39.0,-,-,1933.0
Lord Fairfax,2542.0,175.0,21.0,3.0,-,27.0,94.0,492.0,910.0,-,-,4264.0
Loudoun,2105.0,387.0,562.0,6.0,-,67.0,288.0,2020.0,2740.0,-,-,8175.0
Mount Rogers,3463.0,93.0,7.0,,-,13.0,17.0,280.0,321.0,-,-,4194.0
New River,2923.0,280.0,128.0,5.0,-,97.0,20.0,1090.0,259.0,-,-,4802.0
Norfolk,1158.0,2641.0,78.0,10.0,-,60.0,104.0,1131.0,427.0,-,-,5609.0
Peninsula,1410.0,1446.0,70.0,7.0,-,66.0,187.0,1681.0,460.0,-,-,5327.0
Piedmont,890.0,735.0,13.0,6.0,-,9.0,19.0,876.0,83.0,-,-,2631.0
Pittsylvania-Danville,882.0,891.0,4.0,,-,8.0,5.0,812.0,98.0,-,-,2701.0
Portsmouth,443.0,1775.0,21.0,4.0,-,24.0,64.0,458.0,99.0,-,-,2888.0
Prince William,2357.0,1839.0,731.0,32.0,-,139.0,670.0,4391.0,7501.0,-,-,17660.0
Rappahannock,1947.0,1068.0,114.0,6.0,-,61.0,166.0,1584.0,1525.0,-,-,6471.0
Rappahannock Rapidan,1182.0,345.0,18.0,3.0,-,44.0,40.0,742.0,898.0,-,-,3272.0
Richmond,1078.0,1932.0,68.0,3.0,-,52.0,184.0,806.0,1472.0,-,-,5595.0
Roanoke,857.0,653.0,46.0,,-,19.0,36.0,1005.0,508.0,-,-,3125.0
Southside,500.0,640.0,3.0,,-,68.0,16.0,694.0,9.0,-,-,1930.0
Thomas Jefferson,2398.0,625.0,138.0,5.0,-,101.0,179.0,365.0,760.0,-,-,4571.0
Three Rivers,974.0,801.0,,,-,13.0,29.0,297.0,195.0,-,-,2321.0
Virginia Beach,3165.0,2015.0,338.0,15.0,-,99.0,140.0,2110.0,585.0,-,-,8467.0
West Piedmont,1607.0,615.0,14.0,2.0,-,14.0,12.0,784.0,307.0,-,-,3355.0
Western Tidewater,1298.0,2125.0,23.0,3.0,-,89.0,100.0,1040.0,61.0,-,-,4739.0
