health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1568.0,1328.0,272.0,8.0,-,85.0,184.0,669.0,2731.0,-,-,6845.0
Alleghany,4444.0,429.0,93.0,,-,45.0,78.0,2237.0,287.0,-,-,7618.0
Arlington,2436.0,676.0,401.0,8.0,-,100.0,283.0,1622.0,2696.0,-,-,8222.0
Central Shenandoah,8897.0,711.0,137.0,7.0,-,123.0,195.0,2669.0,1653.0,-,-,14392.0
Central Virginia,4834.0,1140.0,73.0,18.0,-,56.0,93.0,3921.0,175.0,-,-,10310.0
Chesapeake,3523.0,2924.0,160.0,20.0,-,103.0,108.0,1254.0,567.0,-,-,8659.0
Chesterfield,4786.0,2672.0,245.0,12.0,-,117.0,314.0,2359.0,2839.0,-,-,13344.0
Chickahominy,2709.0,717.0,31.0,19.0,-,34.0,61.0,1032.0,180.0,-,-,4783.0
Crater,1806.0,3193.0,49.0,7.0,-,30.0,104.0,1391.0,324.0,-,-,6904.0
Cumberland Plateau,3664.0,118.0,,,-,9.0,9.0,775.0,39.0,-,-,4623.0
Eastern Shore,569.0,1019.0,,,-,1.0,16.0,78.0,324.0,-,-,2014.0
Fairfax,9882.0,3188.0,4111.0,64.0,-,401.0,1899.0,5919.0,15761.0,-,-,41225.0
Hampton,889.0,1784.0,38.0,5.0,-,63.0,134.0,902.0,173.0,-,-,3988.0
Henrico,3462.0,3347.0,523.0,22.0,-,164.0,343.0,2108.0,1288.0,-,-,11257.0
Lenowisco,3540.0,106.0,,,-,39.0,14.0,574.0,80.0,-,-,4372.0
Lord Fairfax,5996.0,337.0,71.0,7.0,-,69.0,209.0,1329.0,1272.0,-,-,9290.0
Loudoun,3589.0,567.0,954.0,12.0,-,162.0,908.0,3426.0,3464.0,-,-,13082.0
Mount Rogers,7681.0,215.0,20.0,,-,57.0,36.0,1143.0,428.0,-,-,9585.0
New River,5254.0,378.0,178.0,7.0,-,129.0,36.0,2321.0,303.0,-,-,8606.0
Norfolk,1986.0,3465.0,128.0,15.0,-,110.0,163.0,1679.0,604.0,-,-,8150.0
Peninsula,2920.0,2434.0,125.0,10.0,-,152.0,367.0,2327.0,663.0,-,-,8998.0
Piedmont,1520.0,1124.0,16.0,7.0,-,72.0,24.0,1496.0,99.0,-,-,4358.0
Pittsylvania-Danville,1696.0,1408.0,7.0,,-,13.0,5.0,1337.0,138.0,-,-,4610.0
Portsmouth,841.0,2255.0,27.0,4.0,-,39.0,93.0,660.0,126.0,-,-,4045.0
Prince William,4311.0,2857.0,1242.0,49.0,-,319.0,1432.0,6702.0,10129.0,-,-,27041.0
Rappahannock,3754.0,1673.0,207.0,12.0,-,114.0,399.0,3128.0,2081.0,-,-,11368.0
Rappahannock Rapidan,2715.0,652.0,39.0,8.0,-,67.0,85.0,1329.0,1237.0,-,-,6132.0
Richmond,1948.0,3066.0,125.0,8.0,-,99.0,229.0,1384.0,1666.0,-,-,8525.0
Roanoke,1568.0,1043.0,93.0,,-,35.0,60.0,1512.0,645.0,-,-,4959.0
Southside,850.0,912.0,5.0,,-,141.0,20.0,859.0,21.0,-,-,2808.0
Thomas Jefferson,3647.0,943.0,194.0,7.0,-,148.0,249.0,651.0,1096.0,-,-,6935.0
Three Rivers,2068.0,1249.0,,,-,36.0,67.0,543.0,271.0,-,-,4255.0
Virginia Beach,6098.0,2959.0,612.0,22.0,-,191.0,275.0,3701.0,1001.0,-,-,14859.0
West Piedmont,3221.0,1037.0,29.0,4.0,-,30.0,35.0,1393.0,464.0,-,-,6213.0
Western Tidewater,2103.0,2798.0,33.0,5.0,-,94.0,139.0,1499.0,87.0,-,-,6758.0
