health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1065.0,1011.0,176.0,4.0,-,36.0,129.0,344.0,2170.0,-,-,4935.0
Alleghany,2573.0,285.0,60.0,,-,29.0,35.0,1305.0,239.0,-,-,4530.0
Arlington,1802.0,524.0,279.0,6.0,-,61.0,152.0,699.0,2235.0,-,-,5758.0
Central Shenandoah,5069.0,341.0,105.0,4.0,-,70.0,118.0,1423.0,1352.0,-,-,8482.0
Central Virginia,2915.0,633.0,42.0,9.0,-,32.0,41.0,2554.0,133.0,-,-,6359.0
Chesapeake,2301.0,2242.0,113.0,13.0,-,70.0,76.0,689.0,463.0,-,-,5967.0
Chesterfield,3021.0,1863.0,161.0,11.0,-,75.0,250.0,1650.0,2370.0,-,-,9401.0
Chickahominy,1676.0,526.0,23.0,13.0,-,14.0,39.0,652.0,144.0,-,-,3087.0
Crater,1370.0,2721.0,37.0,7.0,-,18.0,76.0,1174.0,282.0,-,-,5685.0
Cumberland Plateau,1914.0,61.0,,,-,12.0,7.0,233.0,19.0,-,-,2251.0
Eastern Shore,357.0,896.0,,,-,1.0,13.0,76.0,288.0,-,-,1637.0
Fairfax,6507.0,2335.0,2621.0,45.0,-,206.0,1181.0,3140.0,12599.0,-,-,28634.0
Hampton,489.0,1185.0,21.0,3.0,-,25.0,84.0,665.0,103.0,-,-,2575.0
Henrico,2265.0,2379.0,335.0,18.0,-,116.0,254.0,1312.0,1083.0,-,-,7762.0
Lenowisco,2175.0,75.0,,,-,31.0,12.0,327.0,52.0,-,-,2685.0
Lord Fairfax,3391.0,223.0,31.0,4.0,-,37.0,110.0,623.0,1001.0,-,-,5420.0
Loudoun,2547.0,426.0,696.0,7.0,-,90.0,404.0,2157.0,2938.0,-,-,9265.0
Mount Rogers,4567.0,126.0,10.0,,-,18.0,22.0,431.0,357.0,-,-,5532.0
New River,3589.0,307.0,151.0,5.0,-,111.0,21.0,1411.0,276.0,-,-,5871.0
Norfolk,1375.0,2854.0,93.0,12.0,-,74.0,123.0,1220.0,493.0,-,-,6244.0
Peninsula,1700.0,1702.0,88.0,8.0,-,79.0,230.0,1789.0,537.0,-,-,6133.0
Piedmont,1045.0,828.0,14.0,7.0,-,36.0,21.0,891.0,87.0,-,-,2929.0
Pittsylvania-Danville,1083.0,1047.0,5.0,,-,10.0,5.0,826.0,116.0,-,-,3096.0
Portsmouth,506.0,1897.0,25.0,4.0,-,29.0,68.0,455.0,107.0,-,-,3091.0
Prince William,2798.0,2090.0,880.0,37.0,-,174.0,819.0,4620.0,8249.0,-,-,19667.0
Rappahannock,2383.0,1165.0,147.0,9.0,-,76.0,213.0,1795.0,1674.0,-,-,7462.0
Rappahannock Rapidan,1560.0,419.0,25.0,3.0,-,51.0,48.0,901.0,989.0,-,-,3996.0
Richmond,1313.0,2191.0,79.0,5.0,-,63.0,198.0,942.0,1540.0,-,-,6331.0
Roanoke,1136.0,815.0,62.0,,-,28.0,44.0,1224.0,558.0,-,-,3868.0
Southside,614.0,722.0,4.0,,-,130.0,19.0,693.0,14.0,-,-,2196.0
Thomas Jefferson,2721.0,685.0,157.0,5.0,-,115.0,189.0,376.0,822.0,-,-,5070.0
Three Rivers,1139.0,880.0,,,-,16.0,33.0,287.0,203.0,-,-,2572.0
Virginia Beach,3871.0,2285.0,404.0,17.0,-,124.0,177.0,2400.0,714.0,-,-,9992.0
West Piedmont,2141.0,757.0,19.0,4.0,-,20.0,18.0,918.0,340.0,-,-,4217.0
Western Tidewater,1473.0,2272.0,25.0,5.0,-,73.0,91.0,1089.0,68.0,-,-,5096.0
