health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1550.0,1307.0,269.0,8.0,-,84.0,185.0,664.0,2715.0,-,-,6782.0
Alleghany,4333.0,416.0,92.0,,-,45.0,77.0,2163.0,282.0,-,-,7413.0
Arlington,2400.0,669.0,399.0,7.0,-,99.0,280.0,1580.0,2687.0,-,-,8121.0
Central Shenandoah,8762.0,700.0,135.0,7.0,-,120.0,194.0,2615.0,1637.0,-,-,14170.0
Central Virginia,4731.0,1114.0,73.0,18.0,-,56.0,92.0,3881.0,174.0,-,-,10139.0
Chesapeake,3459.0,2910.0,157.0,21.0,-,101.0,108.0,1227.0,564.0,-,-,8547.0
Chesterfield,4708.0,2633.0,238.0,12.0,-,117.0,309.0,2301.0,2821.0,-,-,13139.0
Chickahominy,2632.0,704.0,31.0,17.0,-,34.0,57.0,1005.0,179.0,-,-,4659.0
Crater,1787.0,3168.0,49.0,7.0,-,27.0,104.0,1395.0,322.0,-,-,6859.0
Cumberland Plateau,3528.0,115.0,,,-,7.0,9.0,739.0,37.0,-,-,4443.0
Eastern Shore,560.0,1011.0,,,-,1.0,17.0,76.0,321.0,-,-,1993.0
Fairfax,9728.0,3152.0,4032.0,65.0,-,400.0,1894.0,6022.0,15628.0,-,-,40921.0
Hampton,870.0,1753.0,38.0,5.0,-,62.0,134.0,897.0,171.0,-,-,3930.0
Henrico,3384.0,3296.0,517.0,22.0,-,162.0,336.0,2089.0,1275.0,-,-,11081.0
Lenowisco,3490.0,106.0,,,-,39.0,13.0,570.0,79.0,-,-,4316.0
Lord Fairfax,5900.0,334.0,69.0,7.0,-,69.0,205.0,1308.0,1266.0,-,-,9158.0
Loudoun,3550.0,564.0,943.0,13.0,-,157.0,905.0,3351.0,3442.0,-,-,12925.0
Mount Rogers,7508.0,212.0,20.0,,-,57.0,36.0,1141.0,425.0,-,-,9405.0
New River,5172.0,374.0,177.0,7.0,-,127.0,35.0,2271.0,300.0,-,-,8463.0
Norfolk,1937.0,3415.0,126.0,15.0,-,107.0,157.0,1632.0,599.0,-,-,7988.0
Peninsula,2857.0,2394.0,125.0,10.0,-,148.0,360.0,2289.0,660.0,-,-,8843.0
Piedmont,1506.0,1110.0,16.0,7.0,-,70.0,24.0,1496.0,99.0,-,-,4328.0
Pittsylvania-Danville,1664.0,1390.0,7.0,,-,14.0,6.0,1314.0,138.0,-,-,4539.0
Portsmouth,819.0,2236.0,27.0,4.0,-,38.0,92.0,649.0,126.0,-,-,3991.0
Prince William,4226.0,2810.0,1230.0,47.0,-,304.0,1404.0,6559.0,10038.0,-,-,26618.0
Rappahannock,3683.0,1654.0,204.0,12.0,-,112.0,387.0,3096.0,2063.0,-,-,11211.0
Rappahannock Rapidan,2666.0,646.0,38.0,7.0,-,66.0,82.0,1322.0,1224.0,-,-,6051.0
Richmond,1916.0,3035.0,119.0,8.0,-,97.0,226.0,1368.0,1666.0,-,-,8435.0
Roanoke,1556.0,1035.0,93.0,,-,35.0,60.0,1498.0,643.0,-,-,4923.0
Southside,837.0,900.0,5.0,,-,139.0,20.0,840.0,19.0,-,-,2760.0
Thomas Jefferson,3595.0,930.0,191.0,7.0,-,149.0,248.0,648.0,1073.0,-,-,6841.0
Three Rivers,1990.0,1225.0,,,-,36.0,60.0,481.0,266.0,-,-,4079.0
Virginia Beach,5978.0,2934.0,602.0,21.0,-,190.0,275.0,3630.0,989.0,-,-,14619.0
West Piedmont,3179.0,1023.0,29.0,4.0,-,30.0,40.0,1354.0,454.0,-,-,6113.0
Western Tidewater,2067.0,2777.0,30.0,5.0,-,93.0,138.0,1483.0,85.0,-,-,6678.0
