health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1605.0,1359.0,282.0,8.0,-,86.0,190.0,702.0,2753.0,-,-,6985.0
Alleghany,4634.0,437.0,95.0,,-,49.0,86.0,2370.0,290.0,-,-,7966.0
Arlington,2485.0,697.0,416.0,8.0,-,103.0,302.0,1729.0,2735.0,-,-,8475.0
Central Shenandoah,9306.0,751.0,137.0,7.0,-,127.0,201.0,2922.0,1679.0,-,-,15130.0
Central Virginia,5070.0,1204.0,75.0,18.0,-,58.0,100.0,4102.0,179.0,-,-,10806.0
Chesapeake,3626.0,2983.0,162.0,20.0,-,105.0,114.0,1305.0,573.0,-,-,8888.0
Chesterfield,4938.0,2747.0,253.0,12.0,-,121.0,316.0,2398.0,2864.0,-,-,13649.0
Chickahominy,2827.0,732.0,32.0,20.0,-,35.0,63.0,1074.0,183.0,-,-,4966.0
Crater,1831.0,3231.0,51.0,7.0,-,31.0,105.0,1402.0,330.0,-,-,6988.0
Cumberland Plateau,3846.0,124.0,,,-,13.0,9.0,824.0,39.0,-,-,4864.0
Eastern Shore,595.0,1026.0,,,-,1.0,17.0,78.0,332.0,-,-,2056.0
Fairfax,10226.0,3273.0,4258.0,69.0,-,415.0,1930.0,6025.0,16021.0,-,-,42217.0
Hampton,935.0,1843.0,39.0,5.0,-,68.0,138.0,919.0,176.0,-,-,4123.0
Henrico,3608.0,3446.0,536.0,22.0,-,175.0,352.0,2200.0,1311.0,-,-,11650.0
Lenowisco,3662.0,124.0,,,-,40.0,16.0,627.0,91.0,-,-,4581.0
Lord Fairfax,6211.0,347.0,71.0,7.0,-,71.0,220.0,1423.0,1295.0,-,-,9645.0
Loudoun,3719.0,581.0,981.0,12.0,-,178.0,946.0,3517.0,3507.0,-,-,13441.0
Mount Rogers,7876.0,219.0,21.0,,-,59.0,39.0,1193.0,430.0,-,-,9842.0
New River,5380.0,384.0,179.0,7.0,-,130.0,37.0,2405.0,306.0,-,-,8828.0
Norfolk,2048.0,3512.0,129.0,16.0,-,114.0,170.0,1723.0,610.0,-,-,8322.0
Peninsula,3020.0,2493.0,128.0,11.0,-,155.0,385.0,2403.0,672.0,-,-,9267.0
Piedmont,1593.0,1176.0,16.0,7.0,-,73.0,26.0,1531.0,102.0,-,-,4524.0
Pittsylvania-Danville,1770.0,1457.0,7.0,,-,14.0,6.0,1395.0,140.0,-,-,4795.0
Portsmouth,896.0,2299.0,27.0,4.0,-,42.0,98.0,695.0,132.0,-,-,4193.0
Prince William,4542.0,2932.0,1271.0,51.0,-,340.0,1532.0,6976.0,10355.0,-,-,27999.0
Rappahannock,3975.0,1749.0,210.0,13.0,-,123.0,432.0,3324.0,2120.0,-,-,11946.0
Rappahannock Rapidan,2816.0,681.0,41.0,9.0,-,69.0,91.0,1382.0,1256.0,-,-,6345.0
Richmond,2034.0,3150.0,127.0,9.0,-,106.0,231.0,1440.0,1677.0,-,-,8774.0
Roanoke,1639.0,1060.0,95.0,,-,38.0,59.0,1539.0,649.0,-,-,5084.0
Southside,892.0,945.0,5.0,,-,142.0,21.0,882.0,24.0,-,-,2912.0
Thomas Jefferson,3755.0,963.0,195.0,7.0,-,148.0,251.0,675.0,1114.0,-,-,7108.0
Three Rivers,2138.0,1284.0,,,-,40.0,68.0,583.0,280.0,-,-,4414.0
Virginia Beach,6325.0,3005.0,630.0,22.0,-,200.0,294.0,3898.0,1018.0,-,-,15392.0
West Piedmont,3341.0,1058.0,30.0,4.0,-,32.0,42.0,1431.0,472.0,-,-,6410.0
Western Tidewater,2206.0,2871.0,34.0,5.0,-,98.0,145.0,1542.0,91.0,-,-,6992.0
