health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1605.0,1359.0,282.0,8.0,-,86.0,190.0,702.0,2753.0,-,-,6985.0
Alleghany,4602.0,434.0,94.0,,-,47.0,84.0,2337.0,289.0,-,-,7892.0
Arlington,2474.0,694.0,408.0,8.0,-,102.0,297.0,1709.0,2722.0,-,-,8414.0
Central Shenandoah,9275.0,748.0,137.0,7.0,-,125.0,200.0,2917.0,1676.0,-,-,15085.0
Central Virginia,5015.0,1195.0,74.0,18.0,-,58.0,96.0,4041.0,179.0,-,-,10676.0
Chesapeake,3621.0,2979.0,162.0,20.0,-,105.0,114.0,1289.0,573.0,-,-,8863.0
Chesterfield,4918.0,2737.0,253.0,12.0,-,121.0,316.0,2379.0,2861.0,-,-,13597.0
Chickahominy,2776.0,723.0,31.0,20.0,-,35.0,60.0,1049.0,182.0,-,-,4876.0
Crater,1826.0,3218.0,50.0,7.0,-,31.0,106.0,1397.0,326.0,-,-,6961.0
Cumberland Plateau,3791.0,123.0,,,-,11.0,9.0,816.0,39.0,-,-,4798.0
Eastern Shore,595.0,1026.0,,,-,1.0,17.0,78.0,332.0,-,-,2056.0
Fairfax,10224.0,3273.0,4256.0,69.0,-,415.0,1930.0,6019.0,16020.0,-,-,42206.0
Hampton,935.0,1843.0,39.0,5.0,-,68.0,138.0,919.0,176.0,-,-,4123.0
Henrico,3575.0,3427.0,535.0,22.0,-,170.0,352.0,2164.0,1311.0,-,-,11556.0
Lenowisco,3631.0,123.0,,,-,39.0,15.0,613.0,91.0,-,-,4532.0
Lord Fairfax,6132.0,343.0,71.0,7.0,-,71.0,216.0,1415.0,1285.0,-,-,9540.0
Loudoun,3649.0,576.0,969.0,12.0,-,171.0,926.0,3487.0,3490.0,-,-,13280.0
Mount Rogers,7870.0,218.0,21.0,,-,59.0,39.0,1197.0,429.0,-,-,9838.0
New River,5377.0,384.0,179.0,7.0,-,130.0,37.0,2400.0,306.0,-,-,8820.0
Norfolk,2028.0,3498.0,128.0,15.0,-,113.0,170.0,1714.0,609.0,-,-,8275.0
Peninsula,3015.0,2491.0,128.0,11.0,-,155.0,385.0,2398.0,672.0,-,-,9255.0
Piedmont,1588.0,1174.0,16.0,7.0,-,73.0,26.0,1531.0,102.0,-,-,4517.0
Pittsylvania-Danville,1752.0,1443.0,7.0,,-,13.0,5.0,1382.0,140.0,-,-,4748.0
Portsmouth,891.0,2293.0,27.0,4.0,-,42.0,98.0,695.0,132.0,-,-,4182.0
Prince William,4496.0,2916.0,1266.0,50.0,-,333.0,1508.0,6918.0,10317.0,-,-,27804.0
Rappahannock,3967.0,1743.0,210.0,13.0,-,122.0,433.0,3311.0,2118.0,-,-,11917.0
Rappahannock Rapidan,2812.0,679.0,41.0,9.0,-,69.0,91.0,1373.0,1255.0,-,-,6329.0
Richmond,2019.0,3132.0,127.0,9.0,-,104.0,231.0,1419.0,1677.0,-,-,8718.0
Roanoke,1631.0,1057.0,95.0,,-,38.0,59.0,1534.0,648.0,-,-,5067.0
Southside,885.0,937.0,5.0,,-,141.0,21.0,873.0,24.0,-,-,2887.0
Thomas Jefferson,3754.0,963.0,195.0,7.0,-,148.0,251.0,673.0,1114.0,-,-,7105.0
Three Rivers,2116.0,1279.0,,,-,39.0,67.0,579.0,278.0,-,-,4379.0
Virginia Beach,6315.0,3002.0,629.0,22.0,-,200.0,293.0,3890.0,1017.0,-,-,15368.0
West Piedmont,3313.0,1053.0,30.0,4.0,-,32.0,38.0,1417.0,472.0,-,-,6359.0
Western Tidewater,2203.0,2870.0,34.0,5.0,-,97.0,145.0,1541.0,90.0,-,-,6985.0
