health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1225.0,1097.0,198.0,4.0,-,46.0,147.0,405.0,2357.0,-,-,5479.0
Alleghany,3062.0,320.0,75.0,,-,36.0,49.0,1542.0,259.0,-,-,5347.0
Arlington,1980.0,570.0,309.0,7.0,-,75.0,194.0,991.0,2346.0,-,-,6472.0
Central Shenandoah,6042.0,413.0,112.0,4.0,-,79.0,136.0,1653.0,1417.0,-,-,9856.0
Central Virginia,3400.0,739.0,48.0,12.0,-,39.0,54.0,2761.0,142.0,-,-,7195.0
Chesapeake,2679.0,2480.0,130.0,14.0,-,81.0,86.0,819.0,501.0,-,-,6790.0
Chesterfield,3567.0,2075.0,187.0,11.0,-,93.0,263.0,1861.0,2506.0,-,-,10563.0
Chickahominy,1977.0,586.0,26.0,15.0,-,17.0,43.0,737.0,154.0,-,-,3555.0
Crater,1508.0,2872.0,39.0,7.0,-,21.0,86.0,1227.0,294.0,-,-,6054.0
Cumberland Plateau,2267.0,65.0,,,-,2.0,7.0,383.0,22.0,-,-,2754.0
Eastern Shore,410.0,914.0,,,-,1.0,14.0,76.0,293.0,-,-,1714.0
Fairfax,7565.0,2584.0,3048.0,49.0,-,266.0,1398.0,3778.0,13552.0,-,-,32240.0
Hampton,588.0,1310.0,23.0,3.0,-,29.0,103.0,694.0,117.0,-,-,2867.0
Henrico,2565.0,2626.0,389.0,18.0,-,131.0,274.0,1476.0,1136.0,-,-,8615.0
Lenowisco,2566.0,87.0,,,-,35.0,12.0,387.0,62.0,-,-,3163.0
Lord Fairfax,4261.0,278.0,48.0,4.0,-,53.0,140.0,770.0,1082.0,-,-,6636.0
Loudoun,2843.0,467.0,786.0,8.0,-,109.0,555.0,2506.0,3102.0,-,-,10376.0
Mount Rogers,5384.0,158.0,12.0,,-,23.0,27.0,548.0,372.0,-,-,6526.0
New River,4051.0,319.0,163.0,6.0,-,114.0,28.0,1645.0,285.0,-,-,6611.0
Norfolk,1498.0,2976.0,99.0,12.0,-,83.0,137.0,1318.0,531.0,-,-,6654.0
Peninsula,2012.0,1854.0,97.0,8.0,-,94.0,274.0,1878.0,572.0,-,-,6789.0
Piedmont,1177.0,888.0,14.0,7.0,-,46.0,21.0,930.0,92.0,-,-,3175.0
Pittsylvania-Danville,1235.0,1160.0,7.0,,-,12.0,6.0,971.0,119.0,-,-,3515.0
Portsmouth,560.0,1967.0,25.0,4.0,-,32.0,74.0,471.0,113.0,-,-,3246.0
Prince William,3214.0,2331.0,978.0,37.0,-,206.0,1067.0,5251.0,8852.0,-,-,21936.0
Rappahannock,2753.0,1294.0,164.0,10.0,-,91.0,251.0,2100.0,1802.0,-,-,8465.0
Rappahannock Rapidan,1976.0,525.0,27.0,4.0,-,58.0,53.0,1030.0,1062.0,-,-,4735.0
Richmond,1451.0,2390.0,85.0,5.0,-,71.0,215.0,1046.0,1577.0,-,-,6840.0
Roanoke,1263.0,904.0,75.0,,-,32.0,48.0,1258.0,594.0,-,-,4175.0
Southside,671.0,760.0,5.0,,-,136.0,19.0,731.0,15.0,-,-,2337.0
Thomas Jefferson,2945.0,731.0,170.0,6.0,-,124.0,192.0,379.0,883.0,-,-,5430.0
Three Rivers,1364.0,978.0,,,-,24.0,39.0,325.0,225.0,-,-,2975.0
Virginia Beach,4407.0,2449.0,450.0,17.0,-,148.0,200.0,2676.0,802.0,-,-,11149.0
West Piedmont,2527.0,851.0,22.0,4.0,-,25.0,19.0,1030.0,380.0,-,-,4858.0
Western Tidewater,1603.0,2365.0,25.0,5.0,-,78.0,104.0,1160.0,71.0,-,-,5411.0
