health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,949.0,944.0,167.0,4.0,-,32.0,122.0,267.0,2048.0,-,-,4533.0
Alleghany,2023.0,245.0,47.0,,-,23.0,32.0,975.0,212.0,-,-,3561.0
Arlington,1586.0,494.0,254.0,5.0,-,57.0,131.0,515.0,2051.0,-,-,5093.0
Central Shenandoah,4437.0,295.0,103.0,4.0,-,62.0,104.0,1177.0,1296.0,-,-,7478.0
Central Virginia,2446.0,543.0,40.0,9.0,-,29.0,38.0,2301.0,118.0,-,-,5524.0
Chesapeake,1988.0,2074.0,101.0,12.0,-,70.0,69.0,591.0,425.0,-,-,5330.0
Chesterfield,2590.0,1674.0,133.0,10.0,-,62.0,200.0,1564.0,2210.0,-,-,8443.0
Chickahominy,1431.0,466.0,20.0,13.0,-,11.0,29.0,588.0,134.0,-,-,2692.0
Crater,1230.0,2594.0,35.0,7.0,-,16.0,74.0,1187.0,265.0,-,-,5408.0
Cumberland Plateau,1542.0,60.0,,,-,10.0,7.0,156.0,16.0,-,-,1796.0
Eastern Shore,309.0,879.0,,,-,1.0,13.0,78.0,283.0,-,-,1568.0
Fairfax,5627.0,2115.0,2304.0,38.0,-,159.0,1027.0,2830.0,11746.0,-,-,25846.0
Hampton,413.0,1080.0,20.0,3.0,-,20.0,75.0,581.0,97.0,-,-,2289.0
Henrico,2026.0,2191.0,277.0,14.0,-,102.0,232.0,1112.0,1030.0,-,-,6984.0
Lenowisco,1761.0,70.0,,,-,28.0,12.0,239.0,48.0,-,-,2169.0
Lord Fairfax,2736.0,187.0,23.0,4.0,-,30.0,98.0,498.0,928.0,-,-,4504.0
Loudoun,2231.0,400.0,594.0,6.0,-,76.0,333.0,2038.0,2808.0,-,-,8486.0
Mount Rogers,3771.0,100.0,7.0,,-,13.0,18.0,332.0,331.0,-,-,4572.0
New River,3129.0,287.0,138.0,5.0,-,103.0,21.0,1168.0,265.0,-,-,5116.0
Norfolk,1216.0,2681.0,80.0,11.0,-,60.0,110.0,1173.0,446.0,-,-,5777.0
Peninsula,1482.0,1492.0,76.0,7.0,-,68.0,195.0,1722.0,472.0,-,-,5514.0
Piedmont,947.0,756.0,14.0,7.0,-,13.0,19.0,891.0,84.0,-,-,2731.0
Pittsylvania-Danville,935.0,939.0,5.0,,-,8.0,5.0,809.0,109.0,-,-,2812.0
Portsmouth,460.0,1802.0,22.0,4.0,-,25.0,65.0,465.0,100.0,-,-,2943.0
Prince William,2474.0,1899.0,776.0,33.0,-,151.0,742.0,4392.0,7687.0,-,-,18154.0
Rappahannock,2040.0,1089.0,123.0,7.0,-,67.0,180.0,1601.0,1570.0,-,-,6677.0
Rappahannock Rapidan,1300.0,392.0,22.0,3.0,-,44.0,44.0,791.0,922.0,-,-,3518.0
Richmond,1154.0,1990.0,71.0,4.0,-,57.0,186.0,848.0,1489.0,-,-,5799.0
Roanoke,930.0,693.0,50.0,,-,21.0,38.0,1062.0,518.0,-,-,3313.0
Southside,527.0,664.0,3.0,,-,87.0,16.0,704.0,11.0,-,-,2012.0
Thomas Jefferson,2483.0,645.0,145.0,5.0,-,108.0,182.0,368.0,779.0,-,-,4715.0
Three Rivers,999.0,831.0,,,-,14.0,29.0,306.0,196.0,-,-,2389.0
Virginia Beach,3325.0,2072.0,352.0,16.0,-,106.0,144.0,2174.0,621.0,-,-,8810.0
West Piedmont,1725.0,648.0,16.0,3.0,-,18.0,15.0,824.0,310.0,-,-,3559.0
Western Tidewater,1351.0,2172.0,23.0,4.0,-,64.0,87.0,1034.0,62.0,-,-,4797.0
