health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1234.0,1104.0,199.0,4.0,-,47.0,147.0,414.0,2364.0,-,-,5513.0
Alleghany,3115.0,322.0,75.0,,-,35.0,51.0,1571.0,259.0,-,-,5432.0
Arlington,1998.0,574.0,310.0,7.0,-,75.0,199.0,1023.0,2349.0,-,-,6535.0
Central Shenandoah,6176.0,418.0,112.0,5.0,-,83.0,137.0,1703.0,1421.0,-,-,10055.0
Central Virginia,3463.0,756.0,49.0,12.0,-,39.0,55.0,2851.0,142.0,-,-,7367.0
Chesapeake,2711.0,2485.0,131.0,15.0,-,81.0,86.0,828.0,504.0,-,-,6841.0
Chesterfield,3626.0,2087.0,193.0,11.0,-,95.0,264.0,1885.0,2519.0,-,-,10680.0
Chickahominy,2018.0,591.0,26.0,15.0,-,17.0,43.0,752.0,155.0,-,-,3617.0
Crater,1522.0,2884.0,40.0,7.0,-,21.0,85.0,1250.0,296.0,-,-,6105.0
Cumberland Plateau,2298.0,65.0,,,-,3.0,7.0,389.0,23.0,-,-,2793.0
Eastern Shore,413.0,913.0,,,-,1.0,14.0,77.0,293.0,-,-,1717.0
Fairfax,7675.0,2599.0,3091.0,49.0,-,280.0,1400.0,3826.0,13657.0,-,-,32577.0
Hampton,595.0,1312.0,23.0,3.0,-,29.0,104.0,700.0,116.0,-,-,2882.0
Henrico,2615.0,2646.0,396.0,19.0,-,133.0,280.0,1478.0,1143.0,-,-,8710.0
Lenowisco,2609.0,87.0,,,-,36.0,12.0,389.0,62.0,-,-,3209.0
Lord Fairfax,4296.0,278.0,48.0,5.0,-,53.0,141.0,781.0,1089.0,-,-,6691.0
Loudoun,2878.0,470.0,790.0,8.0,-,108.0,560.0,2549.0,3106.0,-,-,10469.0
Mount Rogers,5472.0,161.0,13.0,,-,23.0,26.0,569.0,374.0,-,-,6641.0
New River,4106.0,321.0,163.0,6.0,-,115.0,28.0,1689.0,287.0,-,-,6715.0
Norfolk,1524.0,2991.0,99.0,12.0,-,84.0,137.0,1348.0,533.0,-,-,6728.0
Peninsula,2040.0,1867.0,98.0,8.0,-,97.0,275.0,1889.0,573.0,-,-,6847.0
Piedmont,1201.0,904.0,14.0,7.0,-,58.0,21.0,932.0,93.0,-,-,3230.0
Pittsylvania-Danville,1248.0,1169.0,7.0,,-,12.0,6.0,970.0,122.0,-,-,3539.0
Portsmouth,562.0,1973.0,25.0,4.0,-,32.0,74.0,471.0,115.0,-,-,3256.0
Prince William,3240.0,2347.0,987.0,36.0,-,206.0,1064.0,5284.0,8907.0,-,-,22071.0
Rappahannock,2819.0,1313.0,168.0,10.0,-,91.0,256.0,2123.0,1818.0,-,-,8598.0
Rappahannock Rapidan,2022.0,527.0,27.0,4.0,-,58.0,54.0,1051.0,1069.0,-,-,4812.0
Richmond,1472.0,2413.0,86.0,5.0,-,72.0,213.0,1052.0,1583.0,-,-,6896.0
Roanoke,1288.0,912.0,77.0,,-,32.0,48.0,1278.0,598.0,-,-,4234.0
Southside,681.0,764.0,5.0,,-,135.0,20.0,742.0,15.0,-,-,2362.0
Thomas Jefferson,2990.0,739.0,172.0,6.0,-,123.0,192.0,386.0,902.0,-,-,5510.0
Three Rivers,1400.0,983.0,,,-,24.0,39.0,332.0,227.0,-,-,3025.0
Virginia Beach,4488.0,2466.0,460.0,17.0,-,150.0,202.0,2719.0,816.0,-,-,11318.0
West Piedmont,2560.0,865.0,23.0,4.0,-,25.0,22.0,1073.0,383.0,-,-,4955.0
Western Tidewater,1609.0,2366.0,25.0,5.0,-,78.0,104.0,1192.0,71.0,-,-,5450.0
