health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1476.0,1255.0,259.0,6.0,-,72.0,171.0,571.0,2646.0,-,-,6456.0
Alleghany,4140.0,394.0,88.0,,-,45.0,75.0,2083.0,279.0,-,-,7109.0
Arlington,2290.0,650.0,381.0,7.0,-,95.0,253.0,1428.0,2606.0,-,-,7710.0
Central Shenandoah,8232.0,662.0,134.0,7.0,-,113.0,190.0,2486.0,1615.0,-,-,13439.0
Central Virginia,4413.0,1054.0,68.0,18.0,-,48.0,83.0,3677.0,167.0,-,-,9528.0
Chesapeake,3298.0,2828.0,153.0,20.0,-,96.0,103.0,1121.0,549.0,-,-,8168.0
Chesterfield,4478.0,2528.0,229.0,11.0,-,109.0,295.0,2203.0,2756.0,-,-,12609.0
Chickahominy,2437.0,670.0,31.0,16.0,-,31.0,55.0,901.0,175.0,-,-,4316.0
Crater,1720.0,3115.0,47.0,7.0,-,26.0,98.0,1341.0,311.0,-,-,6665.0
Cumberland Plateau,3359.0,112.0,,,-,6.0,9.0,656.0,33.0,-,-,4183.0
Eastern Shore,538.0,985.0,,,-,1.0,16.0,77.0,313.0,-,-,1937.0
Fairfax,9284.0,3038.0,3818.0,60.0,-,358.0,1759.0,5358.0,15210.0,-,-,38885.0
Hampton,799.0,1647.0,37.0,4.0,-,59.0,124.0,852.0,156.0,-,-,3678.0
Henrico,3193.0,3134.0,489.0,22.0,-,150.0,318.0,1944.0,1238.0,-,-,10488.0
Lenowisco,3299.0,92.0,,,-,38.0,12.0,519.0,65.0,-,-,4042.0
Lord Fairfax,5588.0,324.0,66.0,6.0,-,67.0,198.0,1240.0,1242.0,-,-,8731.0
Loudoun,3413.0,542.0,913.0,10.0,-,147.0,854.0,3140.0,3367.0,-,-,12386.0
Mount Rogers,7091.0,205.0,18.0,,-,55.0,36.0,1033.0,418.0,-,-,8861.0
New River,4961.0,365.0,174.0,7.0,-,125.0,33.0,2121.0,299.0,-,-,8085.0
Norfolk,1837.0,3320.0,119.0,14.0,-,103.0,148.0,1563.0,580.0,-,-,7684.0
Peninsula,2639.0,2244.0,118.0,9.0,-,143.0,337.0,2198.0,627.0,-,-,8315.0
Piedmont,1443.0,1061.0,16.0,7.0,-,67.0,24.0,1361.0,96.0,-,-,4075.0
Pittsylvania-Danville,1601.0,1351.0,7.0,,-,13.0,6.0,1275.0,135.0,-,-,4394.0
Portsmouth,730.0,2174.0,27.0,4.0,-,35.0,85.0,580.0,125.0,-,-,3760.0
Prince William,4027.0,2724.0,1183.0,43.0,-,282.0,1313.0,6250.0,9841.0,-,-,25663.0
Rappahannock,3455.0,1575.0,198.0,10.0,-,108.0,353.0,2863.0,2021.0,-,-,10583.0
Rappahannock Rapidan,2546.0,621.0,34.0,6.0,-,65.0,76.0,1274.0,1183.0,-,-,5805.0
Richmond,1761.0,2853.0,110.0,6.0,-,92.0,219.0,1278.0,1642.0,-,-,7961.0
Roanoke,1507.0,1013.0,93.0,,-,34.0,59.0,1449.0,639.0,-,-,4797.0
Southside,795.0,860.0,5.0,,-,139.0,20.0,829.0,19.0,-,-,2667.0
Thomas Jefferson,3449.0,888.0,190.0,7.0,-,135.0,237.0,593.0,1053.0,-,-,6552.0
Three Rivers,1854.0,1159.0,,,-,30.0,49.0,452.0,258.0,-,-,3821.0
Virginia Beach,5612.0,2833.0,577.0,20.0,-,179.0,250.0,3411.0,958.0,-,-,13840.0
West Piedmont,3055.0,988.0,28.0,4.0,-,30.0,30.0,1270.0,441.0,-,-,5846.0
Western Tidewater,1945.0,2683.0,27.0,5.0,-,90.0,126.0,1391.0,82.0,-,-,6349.0
