health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1632.0,1398.0,285.0,7.0,-,90.0,196.0,706.0,2793.0,-,-,7107.0
Alleghany,4688.0,440.0,95.0,,-,50.0,88.0,2406.0,290.0,-,-,8062.0
Arlington,2546.0,711.0,423.0,8.0,-,104.0,314.0,1770.0,2755.0,-,-,8631.0
Central Shenandoah,9612.0,771.0,141.0,8.0,-,130.0,204.0,2984.0,1699.0,-,-,15549.0
Central Virginia,5152.0,1224.0,77.0,18.0,-,57.0,103.0,4143.0,178.0,-,-,10952.0
Chesapeake,3700.0,3027.0,163.0,20.0,-,109.0,126.0,1318.0,580.0,-,-,9043.0
Chesterfield,5054.0,2819.0,259.0,12.0,-,122.0,321.0,2430.0,2889.0,-,-,13906.0
Chickahominy,2886.0,741.0,32.0,20.0,-,35.0,66.0,1093.0,187.0,-,-,5060.0
Crater,1887.0,3274.0,52.0,7.0,-,35.0,108.0,1453.0,337.0,-,-,7153.0
Cumberland Plateau,3918.0,130.0,,,-,14.0,10.0,862.0,39.0,-,-,4982.0
Eastern Shore,617.0,1041.0,,,-,1.0,17.0,78.0,339.0,-,-,2102.0
Fairfax,10526.0,3343.0,4371.0,70.0,-,438.0,2040.0,6190.0,16273.0,-,-,43251.0
Hampton,946.0,1860.0,39.0,5.0,-,69.0,139.0,921.0,177.0,-,-,4156.0
Henrico,3701.0,3506.0,549.0,23.0,-,174.0,363.0,2210.0,1318.0,-,-,11844.0
Lenowisco,3736.0,125.0,,,-,40.0,18.0,648.0,92.0,-,-,4681.0
Lord Fairfax,6361.0,357.0,74.0,7.0,-,73.0,228.0,1468.0,1309.0,-,-,9877.0
Loudoun,3778.0,595.0,1005.0,15.0,-,186.0,983.0,3593.0,3528.0,-,-,13683.0
Mount Rogers,8090.0,221.0,21.0,,-,58.0,50.0,1268.0,433.0,-,-,10146.0
New River,5478.0,390.0,179.0,7.0,-,131.0,38.0,2450.0,306.0,-,-,8979.0
Norfolk,2096.0,3550.0,132.0,16.0,-,115.0,171.0,1752.0,616.0,-,-,8448.0
Peninsula,3106.0,2546.0,133.0,11.0,-,163.0,411.0,2422.0,676.0,-,-,9468.0
Piedmont,1625.0,1205.0,16.0,7.0,-,74.0,26.0,1552.0,103.0,-,-,4608.0
Pittsylvania-Danville,1787.0,1468.0,7.0,,-,14.0,6.0,1407.0,141.0,-,-,4836.0
Portsmouth,944.0,2351.0,27.0,4.0,-,43.0,101.0,733.0,134.0,-,-,4337.0
Prince William,4654.0,2981.0,1296.0,52.0,-,355.0,1591.0,7153.0,10462.0,-,-,28544.0
Rappahannock,4015.0,1775.0,210.0,13.0,-,124.0,437.0,3358.0,2127.0,-,-,12059.0
Rappahannock Rapidan,2890.0,690.0,42.0,8.0,-,70.0,94.0,1430.0,1258.0,-,-,6482.0
Richmond,2074.0,3220.0,130.0,9.0,-,110.0,232.0,1445.0,1681.0,-,-,8901.0
Roanoke,1649.0,1069.0,96.0,,-,41.0,60.0,1553.0,652.0,-,-,5125.0
Southside,907.0,957.0,5.0,,-,142.0,21.0,904.0,24.0,-,-,2961.0
Thomas Jefferson,3845.0,986.0,200.0,7.0,-,155.0,260.0,716.0,1128.0,-,-,7297.0
Three Rivers,2179.0,1298.0,,,-,40.0,69.0,584.0,281.0,-,-,4472.0
Virginia Beach,6581.0,3054.0,641.0,23.0,-,212.0,310.0,4006.0,1037.0,-,-,15864.0
West Piedmont,3383.0,1078.0,30.0,4.0,-,34.0,40.0,1422.0,482.0,-,-,6473.0
Western Tidewater,2268.0,2909.0,36.0,5.0,-,101.0,152.0,1571.0,94.0,-,-,7136.0
