health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1277.0,1138.0,207.0,4.0,-,53.0,160.0,535.0,2416.0,-,-,5790.0
Alleghany,3281.0,334.0,76.0,,-,37.0,56.0,1632.0,261.0,-,-,5681.0
Arlington,2048.0,593.0,334.0,7.0,-,80.0,209.0,1180.0,2453.0,-,-,6904.0
Central Shenandoah,6622.0,449.0,117.0,6.0,-,88.0,148.0,1903.0,1482.0,-,-,10815.0
Central Virginia,3624.0,819.0,51.0,12.0,-,43.0,61.0,2974.0,145.0,-,-,7729.0
Chesapeake,2797.0,2532.0,136.0,16.0,-,85.0,91.0,845.0,515.0,-,-,7017.0
Chesterfield,3805.0,2142.0,198.0,11.0,-,95.0,267.0,1962.0,2557.0,-,-,11037.0
Chickahominy,2137.0,609.0,27.0,15.0,-,23.0,45.0,788.0,156.0,-,-,3800.0
Crater,1561.0,2947.0,43.0,7.0,-,23.0,89.0,1292.0,299.0,-,-,6261.0
Cumberland Plateau,2506.0,66.0,,,-,3.0,7.0,451.0,27.0,-,-,3068.0
Eastern Shore,441.0,929.0,,,-,1.0,14.0,77.0,297.0,-,-,1766.0
Fairfax,8005.0,2694.0,3209.0,51.0,-,299.0,1505.0,4357.0,13988.0,-,-,34108.0
Hampton,619.0,1347.0,25.0,3.0,-,30.0,106.0,724.0,121.0,-,-,2975.0
Henrico,2743.0,2764.0,417.0,20.0,-,136.0,292.0,1606.0,1159.0,-,-,9137.0
Lenowisco,2779.0,88.0,,,-,36.0,12.0,405.0,62.0,-,-,3396.0
Lord Fairfax,4533.0,287.0,51.0,6.0,-,57.0,150.0,850.0,1118.0,-,-,7052.0
Loudoun,2953.0,486.0,814.0,9.0,-,120.0,641.0,2659.0,3150.0,-,-,10832.0
Mount Rogers,5871.0,175.0,15.0,,-,33.0,29.0,732.0,393.0,-,-,7251.0
New River,4281.0,329.0,168.0,6.0,-,116.0,29.0,1785.0,288.0,-,-,7002.0
Norfolk,1577.0,3037.0,104.0,12.0,-,84.0,137.0,1403.0,540.0,-,-,6894.0
Peninsula,2158.0,1929.0,101.0,8.0,-,103.0,287.0,1934.0,586.0,-,-,7106.0
Piedmont,1270.0,946.0,14.0,7.0,-,60.0,21.0,1177.0,93.0,-,-,3588.0
Pittsylvania-Danville,1333.0,1218.0,7.0,,-,13.0,6.0,1049.0,127.0,-,-,3758.0
Portsmouth,590.0,2017.0,26.0,4.0,-,32.0,80.0,512.0,119.0,-,-,3380.0
Prince William,3346.0,2398.0,1014.0,37.0,-,214.0,1107.0,5488.0,9043.0,-,-,22647.0
Rappahannock,2993.0,1379.0,178.0,10.0,-,98.0,287.0,2363.0,1865.0,-,-,9173.0
Rappahannock Rapidan,2188.0,544.0,28.0,4.0,-,59.0,61.0,1088.0,1100.0,-,-,5072.0
Richmond,1552.0,2519.0,89.0,5.0,-,79.0,216.0,1124.0,1592.0,-,-,7176.0
Roanoke,1329.0,934.0,83.0,,-,32.0,49.0,1306.0,603.0,-,-,4338.0
Southside,711.0,784.0,5.0,,-,135.0,20.0,773.0,17.0,-,-,2445.0
Thomas Jefferson,3130.0,795.0,177.0,6.0,-,125.0,209.0,447.0,921.0,-,-,5810.0
Three Rivers,1457.0,996.0,,,-,23.0,40.0,341.0,230.0,-,-,3107.0
Virginia Beach,4767.0,2529.0,482.0,18.0,-,159.0,217.0,2942.0,851.0,-,-,11965.0
West Piedmont,2669.0,904.0,23.0,4.0,-,26.0,24.0,1079.0,401.0,-,-,5130.0
Western Tidewater,1679.0,2425.0,25.0,5.0,-,82.0,111.0,1260.0,73.0,-,-,5660.0
