health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1323.0,1169.0,221.0,4.0,-,58.0,159.0,541.0,2475.0,-,-,5950.0
Alleghany,3560.0,357.0,80.0,,-,41.0,65.0,1778.0,263.0,-,-,6148.0
Arlington,2099.0,611.0,346.0,7.0,-,81.0,210.0,1217.0,2491.0,-,-,7062.0
Central Shenandoah,6827.0,468.0,121.0,7.0,-,90.0,154.0,1923.0,1503.0,-,-,11093.0
Central Virginia,3790.0,874.0,54.0,15.0,-,44.0,65.0,3154.0,152.0,-,-,8148.0
Chesapeake,2863.0,2567.0,145.0,17.0,-,86.0,90.0,850.0,517.0,-,-,7135.0
Chesterfield,3953.0,2232.0,206.0,12.0,-,101.0,277.0,2027.0,2601.0,-,-,11409.0
Chickahominy,2204.0,623.0,27.0,15.0,-,23.0,48.0,811.0,158.0,-,-,3909.0
Crater,1592.0,2969.0,46.0,7.0,-,22.0,94.0,1277.0,302.0,-,-,6309.0
Cumberland Plateau,2734.0,67.0,,,-,3.0,7.0,474.0,30.0,-,-,3323.0
Eastern Shore,458.0,942.0,,,-,1.0,16.0,78.0,297.0,-,-,1798.0
Fairfax,8283.0,2790.0,3341.0,54.0,-,314.0,1583.0,4753.0,14238.0,-,-,35356.0
Hampton,656.0,1419.0,29.0,4.0,-,36.0,110.0,759.0,126.0,-,-,3139.0
Henrico,2860.0,2841.0,428.0,20.0,-,139.0,297.0,1682.0,1173.0,-,-,9440.0
Lenowisco,2878.0,89.0,,,-,36.0,12.0,412.0,62.0,-,-,3504.0
Lord Fairfax,4751.0,297.0,59.0,6.0,-,58.0,157.0,910.0,1161.0,-,-,7399.0
Loudoun,3090.0,503.0,839.0,9.0,-,130.0,709.0,2781.0,3209.0,-,-,11270.0
Mount Rogers,6103.0,185.0,15.0,,-,44.0,33.0,759.0,403.0,-,-,7546.0
New River,4421.0,332.0,173.0,6.0,-,117.0,29.0,1879.0,290.0,-,-,7247.0
Norfolk,1624.0,3126.0,107.0,12.0,-,89.0,143.0,1450.0,555.0,-,-,7106.0
Peninsula,2207.0,1959.0,108.0,9.0,-,103.0,287.0,1954.0,589.0,-,-,7216.0
Piedmont,1291.0,969.0,15.0,7.0,-,62.0,24.0,1249.0,93.0,-,-,3710.0
Pittsylvania-Danville,1394.0,1247.0,7.0,,-,13.0,6.0,1090.0,130.0,-,-,3893.0
Portsmouth,608.0,2046.0,26.0,4.0,-,33.0,81.0,518.0,119.0,-,-,3435.0
Prince William,3458.0,2455.0,1046.0,38.0,-,227.0,1160.0,5735.0,9177.0,-,-,23296.0
Rappahannock,3064.0,1422.0,183.0,10.0,-,100.0,301.0,2459.0,1889.0,-,-,9428.0
Rappahannock Rapidan,2236.0,553.0,28.0,4.0,-,62.0,60.0,1112.0,1110.0,-,-,5165.0
Richmond,1578.0,2581.0,95.0,6.0,-,83.0,214.0,1156.0,1602.0,-,-,7315.0
Roanoke,1388.0,946.0,85.0,,-,33.0,53.0,1351.0,613.0,-,-,4471.0
Southside,728.0,796.0,5.0,,-,135.0,20.0,780.0,17.0,-,-,2481.0
Thomas Jefferson,3168.0,809.0,177.0,6.0,-,127.0,213.0,466.0,962.0,-,-,5928.0
Three Rivers,1471.0,1007.0,,,-,22.0,40.0,348.0,225.0,-,-,3132.0
Virginia Beach,4942.0,2612.0,501.0,18.0,-,160.0,219.0,3035.0,889.0,-,-,12376.0
West Piedmont,2737.0,920.0,22.0,4.0,-,26.0,25.0,1098.0,403.0,-,-,5235.0
Western Tidewater,1710.0,2470.0,25.0,5.0,-,83.0,111.0,1277.0,75.0,-,-,5756.0
