health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1175.0,1067.0,193.0,4.0,-,45.0,142.0,398.0,2309.0,-,-,5333.0
Alleghany,2957.0,311.0,68.0,,-,32.0,42.0,1505.0,251.0,-,-,5170.0
Arlington,1923.0,552.0,304.0,7.0,-,70.0,181.0,910.0,2313.0,-,-,6260.0
Central Shenandoah,5566.0,368.0,112.0,4.0,-,75.0,123.0,1538.0,1403.0,-,-,9189.0
Central Virginia,3261.0,706.0,45.0,11.0,-,40.0,52.0,2714.0,139.0,-,-,6968.0
Chesapeake,2578.0,2426.0,126.0,14.0,-,78.0,81.0,809.0,499.0,-,-,6611.0
Chesterfield,3365.0,2004.0,178.0,11.0,-,85.0,263.0,1756.0,2470.0,-,-,10132.0
Chickahominy,1866.0,566.0,25.0,14.0,-,15.0,43.0,706.0,151.0,-,-,3386.0
Crater,1447.0,2822.0,39.0,7.0,-,19.0,81.0,1217.0,294.0,-,-,5926.0
Cumberland Plateau,2119.0,65.0,,,-,2.0,5.0,298.0,21.0,-,-,2518.0
Eastern Shore,395.0,911.0,,,-,1.0,14.0,77.0,293.0,-,-,1697.0
Fairfax,7189.0,2507.0,2877.0,49.0,-,244.0,1347.0,3694.0,13219.0,-,-,31126.0
Hampton,563.0,1275.0,23.0,3.0,-,27.0,103.0,686.0,114.0,-,-,2794.0
Henrico,2444.0,2549.0,379.0,18.0,-,128.0,269.0,1428.0,1125.0,-,-,8340.0
Lenowisco,2419.0,80.0,,,-,33.0,12.0,377.0,60.0,-,-,2995.0
Lord Fairfax,3909.0,254.0,38.0,4.0,-,48.0,128.0,715.0,1044.0,-,-,6140.0
Loudoun,2746.0,453.0,754.0,8.0,-,99.0,504.0,2409.0,3048.0,-,-,10021.0
Mount Rogers,5125.0,153.0,10.0,,-,21.0,27.0,512.0,370.0,-,-,6219.0
New River,3901.0,314.0,160.0,5.0,-,113.0,27.0,1578.0,283.0,-,-,6381.0
Norfolk,1454.0,2935.0,98.0,12.0,-,80.0,133.0,1297.0,519.0,-,-,6528.0
Peninsula,1905.0,1794.0,92.0,9.0,-,88.0,267.0,1846.0,562.0,-,-,6563.0
Piedmont,1127.0,864.0,14.0,7.0,-,45.0,21.0,934.0,90.0,-,-,3102.0
Pittsylvania-Danville,1184.0,1120.0,6.0,,-,11.0,5.0,933.0,117.0,-,-,3380.0
Portsmouth,544.0,1942.0,25.0,4.0,-,31.0,73.0,464.0,110.0,-,-,3193.0
Prince William,3053.0,2242.0,949.0,36.0,-,190.0,993.0,5127.0,8639.0,-,-,21229.0
Rappahannock,2634.0,1253.0,157.0,10.0,-,88.0,247.0,2003.0,1767.0,-,-,8159.0
Rappahannock Rapidan,1870.0,517.0,27.0,3.0,-,54.0,52.0,1012.0,1046.0,-,-,4581.0
Richmond,1394.0,2327.0,81.0,5.0,-,70.0,207.0,1025.0,1560.0,-,-,6669.0
Roanoke,1227.0,880.0,72.0,,-,31.0,45.0,1259.0,583.0,-,-,4098.0
Southside,651.0,750.0,5.0,,-,136.0,19.0,712.0,15.0,-,-,2288.0
Thomas Jefferson,2883.0,705.0,168.0,6.0,-,122.0,192.0,376.0,878.0,-,-,5330.0
Three Rivers,1257.0,923.0,,,-,22.0,37.0,311.0,214.0,-,-,2780.0
Virginia Beach,4216.0,2400.0,441.0,18.0,-,134.0,198.0,2652.0,756.0,-,-,10815.0
West Piedmont,2401.0,815.0,20.0,4.0,-,25.0,21.0,1044.0,364.0,-,-,4694.0
Western Tidewater,1566.0,2329.0,25.0,5.0,-,76.0,103.0,1152.0,71.0,-,-,5327.0
