health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1186.0,1077.0,196.0,4.0,-,45.0,142.0,394.0,2322.0,-,-,5366.0
Alleghany,2968.0,312.0,68.0,,-,32.0,44.0,1514.0,251.0,-,-,5193.0
Arlington,1931.0,555.0,304.0,7.0,-,71.0,184.0,931.0,2316.0,-,-,6299.0
Central Shenandoah,5708.0,401.0,112.0,4.0,-,75.0,123.0,1592.0,1406.0,-,-,9421.0
Central Virginia,3294.0,713.0,45.0,11.0,-,40.0,52.0,2728.0,139.0,-,-,7022.0
Chesapeake,2602.0,2439.0,126.0,14.0,-,78.0,83.0,815.0,500.0,-,-,6657.0
Chesterfield,3400.0,2017.0,179.0,11.0,-,88.0,264.0,1771.0,2480.0,-,-,10210.0
Chickahominy,1891.0,573.0,25.0,15.0,-,15.0,43.0,714.0,151.0,-,-,3427.0
Crater,1457.0,2833.0,39.0,7.0,-,21.0,83.0,1227.0,294.0,-,-,5961.0
Cumberland Plateau,2145.0,65.0,,,-,2.0,5.0,326.0,21.0,-,-,2572.0
Eastern Shore,396.0,911.0,,,-,1.0,14.0,77.0,293.0,-,-,1698.0
Fairfax,7255.0,2530.0,2910.0,49.0,-,248.0,1361.0,3757.0,13278.0,-,-,31388.0
Hampton,567.0,1289.0,23.0,3.0,-,27.0,105.0,688.0,114.0,-,-,2816.0
Henrico,2470.0,2570.0,385.0,18.0,-,129.0,272.0,1438.0,1127.0,-,-,8409.0
Lenowisco,2442.0,82.0,,,-,33.0,12.0,380.0,60.0,-,-,3023.0
Lord Fairfax,4057.0,264.0,40.0,4.0,-,53.0,133.0,744.0,1062.0,-,-,6357.0
Loudoun,2748.0,454.0,758.0,8.0,-,102.0,509.0,2416.0,3054.0,-,-,10049.0
Mount Rogers,5179.0,153.0,10.0,,-,21.0,27.0,518.0,370.0,-,-,6279.0
New River,3926.0,315.0,160.0,5.0,-,113.0,27.0,1596.0,283.0,-,-,6425.0
Norfolk,1454.0,2938.0,98.0,12.0,-,80.0,133.0,1293.0,520.0,-,-,6528.0
Peninsula,1935.0,1808.0,92.0,9.0,-,89.0,276.0,1852.0,565.0,-,-,6626.0
Piedmont,1140.0,866.0,14.0,7.0,-,45.0,21.0,930.0,90.0,-,-,3113.0
Pittsylvania-Danville,1187.0,1127.0,6.0,,-,11.0,5.0,936.0,118.0,-,-,3394.0
Portsmouth,546.0,1947.0,25.0,4.0,-,31.0,75.0,463.0,111.0,-,-,3202.0
Prince William,3084.0,2257.0,954.0,36.0,-,197.0,1007.0,5186.0,8668.0,-,-,21389.0
Rappahannock,2646.0,1265.0,159.0,10.0,-,90.0,247.0,2001.0,1778.0,-,-,8196.0
Rappahannock Rapidan,1906.0,519.0,27.0,3.0,-,55.0,54.0,1013.0,1052.0,-,-,4629.0
Richmond,1403.0,2344.0,82.0,5.0,-,70.0,211.0,1037.0,1560.0,-,-,6712.0
Roanoke,1234.0,884.0,72.0,,-,31.0,45.0,1259.0,583.0,-,-,4109.0
Southside,654.0,753.0,5.0,,-,136.0,19.0,713.0,15.0,-,-,2295.0
Thomas Jefferson,2895.0,707.0,168.0,6.0,-,123.0,192.0,375.0,878.0,-,-,5344.0
Three Rivers,1273.0,929.0,,,-,22.0,38.0,313.0,215.0,-,-,2807.0
Virginia Beach,4237.0,2405.0,443.0,18.0,-,134.0,199.0,2659.0,759.0,-,-,10854.0
West Piedmont,2427.0,821.0,21.0,4.0,-,26.0,20.0,1043.0,365.0,-,-,4727.0
Western Tidewater,1570.0,2332.0,25.0,5.0,-,76.0,103.0,1156.0,71.0,-,-,5338.0
