health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1621.0,1387.0,283.0,7.0,-,91.0,193.0,705.0,2781.0,-,-,7068.0
Alleghany,4661.0,438.0,95.0,,-,50.0,88.0,2400.0,290.0,-,-,8027.0
Arlington,2515.0,704.0,421.0,8.0,-,104.0,310.0,1757.0,2749.0,-,-,8568.0
Central Shenandoah,9464.0,760.0,141.0,8.0,-,129.0,203.0,2970.0,1689.0,-,-,15364.0
Central Virginia,5127.0,1217.0,77.0,18.0,-,57.0,102.0,4124.0,178.0,-,-,10900.0
Chesapeake,3674.0,3008.0,162.0,20.0,-,109.0,123.0,1316.0,577.0,-,-,8989.0
Chesterfield,4985.0,2773.0,254.0,12.0,-,122.0,320.0,2392.0,2873.0,-,-,13731.0
Chickahominy,2859.0,736.0,32.0,20.0,-,35.0,64.0,1099.0,185.0,-,-,5030.0
Crater,1862.0,3259.0,50.0,7.0,-,34.0,107.0,1444.0,331.0,-,-,7094.0
Cumberland Plateau,3886.0,130.0,,,-,14.0,10.0,843.0,39.0,-,-,4931.0
Eastern Shore,607.0,1038.0,,,-,1.0,17.0,79.0,340.0,-,-,2090.0
Fairfax,10408.0,3310.0,4331.0,70.0,-,433.0,1998.0,6203.0,16168.0,-,-,42921.0
Hampton,938.0,1852.0,39.0,5.0,-,68.0,138.0,919.0,176.0,-,-,4135.0
Henrico,3652.0,3468.0,547.0,23.0,-,173.0,358.0,2205.0,1315.0,-,-,11741.0
Lenowisco,3714.0,124.0,,,-,40.0,17.0,646.0,91.0,-,-,4654.0
Lord Fairfax,6312.0,353.0,74.0,7.0,-,72.0,227.0,1455.0,1307.0,-,-,9807.0
Loudoun,3765.0,591.0,999.0,12.0,-,180.0,961.0,3575.0,3517.0,-,-,13600.0
Mount Rogers,8003.0,221.0,21.0,,-,59.0,50.0,1251.0,431.0,-,-,10041.0
New River,5432.0,389.0,179.0,7.0,-,130.0,37.0,2426.0,306.0,-,-,8906.0
Norfolk,2087.0,3536.0,131.0,16.0,-,116.0,171.0,1749.0,614.0,-,-,8420.0
Peninsula,3045.0,2507.0,130.0,11.0,-,156.0,399.0,2407.0,672.0,-,-,9327.0
Piedmont,1613.0,1202.0,16.0,7.0,-,73.0,27.0,1555.0,103.0,-,-,4596.0
Pittsylvania-Danville,1779.0,1460.0,7.0,,-,14.0,6.0,1385.0,141.0,-,-,4798.0
Portsmouth,925.0,2336.0,27.0,4.0,-,42.0,101.0,727.0,133.0,-,-,4295.0
Prince William,4625.0,2967.0,1283.0,52.0,-,348.0,1557.0,7129.0,10435.0,-,-,28396.0
Rappahannock,3977.0,1753.0,210.0,13.0,-,123.0,433.0,3327.0,2120.0,-,-,11956.0
Rappahannock Rapidan,2870.0,686.0,42.0,8.0,-,69.0,94.0,1440.0,1258.0,-,-,6467.0
Richmond,2047.0,3178.0,128.0,9.0,-,109.0,232.0,1442.0,1680.0,-,-,8825.0
Roanoke,1645.0,1065.0,95.0,,-,39.0,60.0,1551.0,651.0,-,-,5111.0
Southside,893.0,949.0,5.0,,-,142.0,21.0,883.0,24.0,-,-,2918.0
Thomas Jefferson,3819.0,979.0,198.0,7.0,-,153.0,258.0,706.0,1121.0,-,-,7241.0
Three Rivers,2157.0,1287.0,,,-,40.0,67.0,584.0,281.0,-,-,4437.0
Virginia Beach,6466.0,3030.0,639.0,23.0,-,210.0,307.0,3962.0,1030.0,-,-,15667.0
West Piedmont,3367.0,1069.0,30.0,4.0,-,33.0,41.0,1419.0,476.0,-,-,6439.0
Western Tidewater,2243.0,2898.0,35.0,5.0,-,99.0,150.0,1565.0,91.0,-,-,7086.0
