health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1122.0,1038.0,183.0,4.0,-,39.0,137.0,345.0,2238.0,-,-,5106.0
Alleghany,2718.0,289.0,65.0,,-,30.0,39.0,1393.0,246.0,-,-,4784.0
Arlington,1861.0,534.0,292.0,7.0,-,65.0,167.0,806.0,2262.0,-,-,5994.0
Central Shenandoah,5299.0,359.0,110.0,4.0,-,75.0,118.0,1445.0,1368.0,-,-,8778.0
Central Virginia,3069.0,663.0,44.0,10.0,-,39.0,46.0,2599.0,135.0,-,-,6605.0
Chesapeake,2399.0,2295.0,117.0,14.0,-,73.0,82.0,707.0,475.0,-,-,6162.0
Chesterfield,3174.0,1936.0,171.0,11.0,-,85.0,251.0,1728.0,2420.0,-,-,9776.0
Chickahominy,1771.0,548.0,24.0,13.0,-,14.0,40.0,682.0,149.0,-,-,3241.0
Crater,1415.0,2785.0,38.0,7.0,-,20.0,80.0,1206.0,290.0,-,-,5841.0
Cumberland Plateau,2007.0,61.0,,,-,9.0,5.0,255.0,20.0,-,-,2361.0
Eastern Shore,367.0,902.0,,,-,1.0,14.0,76.0,289.0,-,-,1655.0
Fairfax,6846.0,2428.0,2761.0,46.0,-,220.0,1256.0,3425.0,12886.0,-,-,29868.0
Hampton,537.0,1233.0,22.0,3.0,-,26.0,96.0,663.0,110.0,-,-,2690.0
Henrico,2359.0,2457.0,355.0,18.0,-,125.0,260.0,1366.0,1107.0,-,-,8047.0
Lenowisco,2317.0,76.0,,,-,31.0,12.0,355.0,55.0,-,-,2860.0
Lord Fairfax,3577.0,235.0,36.0,4.0,-,39.0,115.0,621.0,1025.0,-,-,5652.0
Loudoun,2660.0,443.0,729.0,7.0,-,98.0,476.0,2291.0,3013.0,-,-,9717.0
Mount Rogers,4851.0,139.0,10.0,,-,18.0,23.0,453.0,362.0,-,-,5857.0
New River,3782.0,312.0,155.0,5.0,-,112.0,24.0,1455.0,280.0,-,-,6125.0
Norfolk,1411.0,2894.0,96.0,12.0,-,76.0,126.0,1253.0,510.0,-,-,6378.0
Peninsula,1802.0,1746.0,89.0,8.0,-,83.0,250.0,1799.0,551.0,-,-,6328.0
Piedmont,1094.0,845.0,14.0,7.0,-,39.0,21.0,893.0,89.0,-,-,3002.0
Pittsylvania-Danville,1128.0,1078.0,6.0,,-,10.0,5.0,881.0,116.0,-,-,3228.0
Portsmouth,524.0,1916.0,25.0,4.0,-,30.0,71.0,459.0,107.0,-,-,3136.0
Prince William,2922.0,2160.0,910.0,36.0,-,188.0,917.0,4880.0,8434.0,-,-,20447.0
Rappahannock,2485.0,1206.0,155.0,9.0,-,80.0,226.0,1882.0,1718.0,-,-,7761.0
Rappahannock Rapidan,1733.0,489.0,26.0,3.0,-,53.0,52.0,978.0,1014.0,-,-,4348.0
Richmond,1350.0,2264.0,80.0,5.0,-,67.0,204.0,974.0,1547.0,-,-,6491.0
Roanoke,1176.0,839.0,64.0,,-,30.0,45.0,1254.0,567.0,-,-,3976.0
Southside,636.0,734.0,5.0,,-,133.0,19.0,702.0,14.0,-,-,2243.0
Thomas Jefferson,2799.0,693.0,158.0,5.0,-,121.0,189.0,376.0,838.0,-,-,5179.0
Three Rivers,1196.0,889.0,,,-,21.0,36.0,295.0,207.0,-,-,2659.0
Virginia Beach,4051.0,2345.0,430.0,18.0,-,131.0,190.0,2478.0,744.0,-,-,10387.0
West Piedmont,2279.0,792.0,20.0,4.0,-,23.0,17.0,934.0,352.0,-,-,4421.0
Western Tidewater,1501.0,2300.0,25.0,5.0,-,74.0,94.0,1128.0,70.0,-,-,5197.0
