health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,943.0,936.0,167.0,4.0,-,31.0,119.0,273.0,2026.0,-,-,4499.0
Alleghany,1955.0,239.0,44.0,,-,22.0,32.0,966.0,211.0,-,-,3473.0
Arlington,1575.0,488.0,251.0,5.0,-,54.0,131.0,502.0,2030.0,-,-,5036.0
Central Shenandoah,4381.0,294.0,100.0,4.0,-,62.0,102.0,1160.0,1288.0,-,-,7391.0
Central Virginia,2386.0,537.0,40.0,9.0,-,28.0,34.0,2297.0,115.0,-,-,5446.0
Chesapeake,1943.0,2061.0,99.0,12.0,-,70.0,66.0,593.0,420.0,-,-,5264.0
Chesterfield,2516.0,1643.0,128.0,10.0,-,59.0,191.0,1559.0,2190.0,-,-,8296.0
Chickahominy,1402.0,461.0,20.0,13.0,-,11.0,28.0,581.0,128.0,-,-,2644.0
Crater,1211.0,2578.0,35.0,7.0,-,16.0,72.0,1195.0,260.0,-,-,5374.0
Cumberland Plateau,1483.0,60.0,,,-,10.0,7.0,160.0,16.0,-,-,1741.0
Eastern Shore,307.0,879.0,,,-,1.0,13.0,78.0,283.0,-,-,1566.0
Fairfax,5563.0,2089.0,2278.0,37.0,-,156.0,1012.0,2794.0,11626.0,-,-,25555.0
Hampton,409.0,1068.0,20.0,3.0,-,20.0,74.0,579.0,97.0,-,-,2270.0
Henrico,2008.0,2166.0,273.0,14.0,-,100.0,228.0,1093.0,1022.0,-,-,6904.0
Lenowisco,1723.0,70.0,,,-,28.0,12.0,233.0,48.0,-,-,2125.0
Lord Fairfax,2660.0,182.0,21.0,3.0,-,29.0,98.0,490.0,922.0,-,-,4405.0
Loudoun,2172.0,400.0,576.0,6.0,-,74.0,311.0,2021.0,2776.0,-,-,8336.0
Mount Rogers,3643.0,97.0,7.0,,-,13.0,18.0,294.0,330.0,-,-,4402.0
New River,3056.0,283.0,134.0,5.0,-,100.0,21.0,1145.0,260.0,-,-,5004.0
Norfolk,1198.0,2663.0,80.0,11.0,-,60.0,109.0,1169.0,437.0,-,-,5727.0
Peninsula,1456.0,1478.0,74.0,7.0,-,67.0,194.0,1716.0,466.0,-,-,5458.0
Piedmont,923.0,747.0,13.0,6.0,-,9.0,19.0,883.0,84.0,-,-,2684.0
Pittsylvania-Danville,920.0,922.0,4.0,,-,8.0,5.0,807.0,105.0,-,-,2773.0
Portsmouth,455.0,1791.0,21.0,4.0,-,24.0,65.0,466.0,100.0,-,-,2926.0
Prince William,2431.0,1876.0,753.0,33.0,-,147.0,719.0,4395.0,7618.0,-,-,17972.0
Rappahannock,2004.0,1079.0,122.0,6.0,-,66.0,179.0,1596.0,1555.0,-,-,6607.0
Rappahannock Rapidan,1223.0,350.0,22.0,3.0,-,44.0,42.0,753.0,903.0,-,-,3340.0
Richmond,1116.0,1968.0,71.0,3.0,-,54.0,187.0,845.0,1484.0,-,-,5728.0
Roanoke,897.0,671.0,48.0,,-,20.0,37.0,1049.0,517.0,-,-,3240.0
Southside,520.0,658.0,3.0,,-,86.0,16.0,701.0,10.0,-,-,1994.0
Thomas Jefferson,2450.0,638.0,144.0,5.0,-,106.0,181.0,372.0,776.0,-,-,4672.0
Three Rivers,992.0,816.0,,,-,14.0,29.0,308.0,196.0,-,-,2368.0
Virginia Beach,3265.0,2052.0,348.0,16.0,-,100.0,143.0,2164.0,610.0,-,-,8698.0
West Piedmont,1681.0,632.0,15.0,2.0,-,17.0,14.0,814.0,309.0,-,-,3484.0
Western Tidewater,1320.0,2150.0,23.0,4.0,-,85.0,94.0,1035.0,62.0,-,-,4773.0
