health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1197.0,1089.0,196.0,4.0,-,45.0,145.0,395.0,2333.0,-,-,5404.0
Alleghany,3002.0,316.0,69.0,,-,34.0,46.0,1536.0,253.0,-,-,5260.0
Arlington,1953.0,559.0,308.0,7.0,-,71.0,188.0,923.0,2325.0,-,-,6334.0
Central Shenandoah,5848.0,405.0,112.0,4.0,-,77.0,128.0,1633.0,1409.0,-,-,9616.0
Central Virginia,3339.0,726.0,47.0,12.0,-,40.0,54.0,2746.0,139.0,-,-,7103.0
Chesapeake,2629.0,2460.0,128.0,14.0,-,82.0,82.0,805.0,499.0,-,-,6699.0
Chesterfield,3451.0,2035.0,182.0,11.0,-,88.0,264.0,1824.0,2491.0,-,-,10346.0
Chickahominy,1919.0,581.0,26.0,15.0,-,15.0,43.0,722.0,152.0,-,-,3473.0
Crater,1469.0,2851.0,39.0,7.0,-,21.0,83.0,1231.0,294.0,-,-,5995.0
Cumberland Plateau,2175.0,65.0,,,-,2.0,6.0,333.0,21.0,-,-,2610.0
Eastern Shore,405.0,914.0,,,-,1.0,14.0,76.0,292.0,-,-,1708.0
Fairfax,7316.0,2545.0,2961.0,50.0,-,256.0,1374.0,3758.0,13345.0,-,-,31605.0
Hampton,575.0,1299.0,23.0,3.0,-,27.0,102.0,685.0,115.0,-,-,2829.0
Henrico,2488.0,2583.0,385.0,18.0,-,129.0,272.0,1461.0,1131.0,-,-,8467.0
Lenowisco,2478.0,82.0,,,-,33.0,12.0,383.0,60.0,-,-,3062.0
Lord Fairfax,4112.0,267.0,44.0,4.0,-,53.0,136.0,756.0,1068.0,-,-,6440.0
Loudoun,2797.0,459.0,773.0,9.0,-,106.0,539.0,2470.0,3079.0,-,-,10232.0
Mount Rogers,5244.0,154.0,10.0,,-,21.0,27.0,528.0,371.0,-,-,6356.0
New River,3950.0,315.0,160.0,5.0,-,113.0,27.0,1611.0,284.0,-,-,6465.0
Norfolk,1468.0,2949.0,99.0,12.0,-,80.0,137.0,1295.0,526.0,-,-,6566.0
Peninsula,1957.0,1822.0,93.0,9.0,-,90.0,272.0,1855.0,566.0,-,-,6664.0
Piedmont,1151.0,876.0,14.0,7.0,-,45.0,21.0,929.0,90.0,-,-,3133.0
Pittsylvania-Danville,1203.0,1134.0,7.0,,-,12.0,5.0,943.0,119.0,-,-,3427.0
Portsmouth,550.0,1952.0,25.0,4.0,-,31.0,75.0,467.0,112.0,-,-,3216.0
Prince William,3117.0,2278.0,961.0,36.0,-,201.0,1017.0,5204.0,8726.0,-,-,21540.0
Rappahannock,2677.0,1275.0,159.0,10.0,-,89.0,247.0,2039.0,1785.0,-,-,8281.0
Rappahannock Rapidan,1920.0,522.0,27.0,4.0,-,55.0,54.0,1014.0,1056.0,-,-,4652.0
Richmond,1418.0,2361.0,83.0,5.0,-,70.0,212.0,1037.0,1568.0,-,-,6754.0
Roanoke,1246.0,892.0,73.0,,-,31.0,46.0,1258.0,584.0,-,-,4131.0
Southside,663.0,754.0,5.0,,-,136.0,19.0,719.0,15.0,-,-,2311.0
Thomas Jefferson,2917.0,713.0,168.0,6.0,-,123.0,192.0,380.0,881.0,-,-,5380.0
Three Rivers,1332.0,961.0,,,-,24.0,39.0,327.0,221.0,-,-,2921.0
Virginia Beach,4311.0,2419.0,446.0,18.0,-,140.0,201.0,2656.0,772.0,-,-,10963.0
West Piedmont,2466.0,832.0,22.0,4.0,-,26.0,19.0,1020.0,374.0,-,-,4763.0
Western Tidewater,1577.0,2341.0,25.0,5.0,-,76.0,104.0,1158.0,71.0,-,-,5357.0
