health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,944.0,938.0,168.0,4.0,-,31.0,124.0,274.0,2034.0,-,-,4517.0
Alleghany,1968.0,243.0,46.0,,-,22.0,32.0,971.0,211.0,-,-,3497.0
Arlington,1581.0,489.0,253.0,5.0,-,55.0,131.0,506.0,2040.0,-,-,5060.0
Central Shenandoah,4415.0,295.0,102.0,4.0,-,63.0,103.0,1178.0,1290.0,-,-,7450.0
Central Virginia,2407.0,539.0,40.0,9.0,-,28.0,35.0,2310.0,116.0,-,-,5484.0
Chesapeake,1968.0,2067.0,100.0,12.0,-,70.0,67.0,593.0,424.0,-,-,5301.0
Chesterfield,2560.0,1665.0,129.0,10.0,-,60.0,194.0,1571.0,2199.0,-,-,8388.0
Chickahominy,1407.0,462.0,20.0,13.0,-,11.0,28.0,580.0,132.0,-,-,2653.0
Crater,1218.0,2586.0,35.0,7.0,-,16.0,72.0,1197.0,262.0,-,-,5393.0
Cumberland Plateau,1494.0,60.0,,,-,10.0,7.0,160.0,16.0,-,-,1752.0
Eastern Shore,309.0,879.0,,,-,1.0,13.0,78.0,283.0,-,-,1568.0
Fairfax,5595.0,2107.0,2289.0,37.0,-,157.0,1020.0,2824.0,11686.0,-,-,25715.0
Hampton,411.0,1073.0,20.0,3.0,-,20.0,74.0,580.0,97.0,-,-,2278.0
Henrico,2016.0,2176.0,275.0,14.0,-,100.0,229.0,1101.0,1026.0,-,-,6937.0
Lenowisco,1734.0,70.0,,,-,28.0,12.0,235.0,48.0,-,-,2138.0
Lord Fairfax,2698.0,185.0,22.0,4.0,-,29.0,100.0,499.0,922.0,-,-,4459.0
Loudoun,2189.0,400.0,581.0,6.0,-,75.0,331.0,2046.0,2785.0,-,-,8413.0
Mount Rogers,3719.0,99.0,7.0,,-,13.0,18.0,317.0,330.0,-,-,4503.0
New River,3092.0,283.0,135.0,5.0,-,101.0,21.0,1154.0,262.0,-,-,5053.0
Norfolk,1199.0,2664.0,80.0,11.0,-,60.0,109.0,1166.0,439.0,-,-,5728.0
Peninsula,1466.0,1484.0,75.0,7.0,-,67.0,194.0,1720.0,469.0,-,-,5482.0
Piedmont,930.0,752.0,13.0,6.0,-,10.0,19.0,887.0,84.0,-,-,2701.0
Pittsylvania-Danville,925.0,930.0,4.0,,-,8.0,5.0,806.0,105.0,-,-,2785.0
Portsmouth,458.0,1792.0,21.0,4.0,-,24.0,65.0,465.0,101.0,-,-,2930.0
Prince William,2449.0,1887.0,758.0,33.0,-,151.0,736.0,4416.0,7637.0,-,-,18067.0
Rappahannock,2024.0,1082.0,123.0,7.0,-,67.0,178.0,1599.0,1563.0,-,-,6643.0
Rappahannock Rapidan,1270.0,377.0,22.0,3.0,-,44.0,42.0,781.0,912.0,-,-,3451.0
Richmond,1137.0,1986.0,71.0,3.0,-,55.0,185.0,847.0,1488.0,-,-,5772.0
Roanoke,903.0,678.0,48.0,,-,20.0,37.0,1051.0,517.0,-,-,3255.0
Southside,523.0,662.0,3.0,,-,87.0,16.0,705.0,11.0,-,-,2007.0
Thomas Jefferson,2459.0,642.0,145.0,5.0,-,107.0,182.0,368.0,776.0,-,-,4684.0
Three Rivers,993.0,819.0,,,-,14.0,29.0,307.0,196.0,-,-,2371.0
Virginia Beach,3288.0,2054.0,349.0,16.0,-,101.0,143.0,2176.0,610.0,-,-,8737.0
West Piedmont,1696.0,637.0,16.0,2.0,-,17.0,14.0,826.0,309.0,-,-,3517.0
Western Tidewater,1326.0,2158.0,23.0,4.0,-,85.0,94.0,1036.0,62.0,-,-,4788.0
