health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1004.0,974.0,170.0,4.0,-,34.0,126.0,294.0,2120.0,-,-,4726.0
Alleghany,2273.0,260.0,51.0,,-,26.0,37.0,1065.0,230.0,-,-,3946.0
Arlington,1716.0,506.0,264.0,5.0,-,63.0,144.0,597.0,2159.0,-,-,5454.0
Central Shenandoah,4728.0,313.0,103.0,4.0,-,68.0,111.0,1311.0,1323.0,-,-,7961.0
Central Virginia,2691.0,582.0,41.0,9.0,-,30.0,39.0,2443.0,125.0,-,-,5960.0
Chesapeake,2137.0,2151.0,105.0,12.0,-,72.0,74.0,640.0,445.0,-,-,5636.0
Chesterfield,2859.0,1773.0,148.0,10.0,-,66.0,238.0,1598.0,2303.0,-,-,8995.0
Chickahominy,1568.0,496.0,22.0,13.0,-,13.0,33.0,595.0,141.0,-,-,2881.0
Crater,1314.0,2668.0,37.0,7.0,-,17.0,74.0,1147.0,274.0,-,-,5538.0
Cumberland Plateau,1745.0,61.0,,,-,11.0,7.0,191.0,17.0,-,-,2038.0
Eastern Shore,327.0,888.0,,,-,1.0,13.0,77.0,287.0,-,-,1599.0
Fairfax,6094.0,2231.0,2454.0,43.0,-,188.0,1132.0,2942.0,12207.0,-,-,27291.0
Hampton,451.0,1138.0,20.0,3.0,-,22.0,78.0,628.0,102.0,-,-,2442.0
Henrico,2134.0,2290.0,310.0,15.0,-,105.0,239.0,1215.0,1053.0,-,-,7361.0
Lenowisco,2028.0,75.0,,,-,31.0,12.0,295.0,52.0,-,-,2505.0
Lord Fairfax,3063.0,208.0,28.0,4.0,-,33.0,105.0,541.0,959.0,-,-,4941.0
Loudoun,2437.0,414.0,660.0,6.0,-,83.0,387.0,2085.0,2882.0,-,-,8954.0
Mount Rogers,4211.0,114.0,10.0,,-,16.0,21.0,399.0,342.0,-,-,5113.0
New River,3320.0,297.0,145.0,5.0,-,109.0,21.0,1232.0,269.0,-,-,5398.0
Norfolk,1317.0,2800.0,85.0,11.0,-,68.0,124.0,1156.0,476.0,-,-,6037.0
Peninsula,1600.0,1577.0,80.0,7.0,-,71.0,210.0,1768.0,508.0,-,-,5821.0
Piedmont,988.0,785.0,13.0,7.0,-,25.0,20.0,901.0,84.0,-,-,2823.0
Pittsylvania-Danville,1023.0,990.0,5.0,,-,8.0,5.0,846.0,113.0,-,-,2992.0
Portsmouth,480.0,1836.0,24.0,4.0,-,26.0,68.0,485.0,104.0,-,-,3027.0
Prince William,2655.0,2020.0,836.0,34.0,-,163.0,809.0,4483.0,7965.0,-,-,18965.0
Rappahannock,2229.0,1126.0,137.0,9.0,-,70.0,201.0,1706.0,1617.0,-,-,7095.0
Rappahannock Rapidan,1465.0,411.0,24.0,3.0,-,51.0,45.0,900.0,957.0,-,-,3856.0
Richmond,1237.0,2081.0,75.0,4.0,-,57.0,193.0,891.0,1517.0,-,-,6055.0
Roanoke,1041.0,763.0,56.0,,-,25.0,40.0,1075.0,534.0,-,-,3535.0
Southside,587.0,710.0,4.0,,-,127.0,19.0,688.0,14.0,-,-,2149.0
Thomas Jefferson,2609.0,669.0,151.0,5.0,-,110.0,188.0,355.0,798.0,-,-,4885.0
Three Rivers,1088.0,861.0,,,-,16.0,32.0,275.0,197.0,-,-,2483.0
Virginia Beach,3637.0,2165.0,383.0,16.0,-,118.0,158.0,2303.0,669.0,-,-,9449.0
West Piedmont,1966.0,716.0,19.0,4.0,-,19.0,15.0,802.0,335.0,-,-,3876.0
Western Tidewater,1433.0,2228.0,24.0,5.0,-,67.0,88.0,1065.0,65.0,-,-,4975.0
