health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,995.0,973.0,168.0,4.0,-,33.0,127.0,300.0,2098.0,-,-,4698.0
Alleghany,2224.0,254.0,49.0,,-,26.0,36.0,1004.0,227.0,-,-,3824.0
Arlington,1693.0,503.0,264.0,5.0,-,62.0,138.0,580.0,2135.0,-,-,5380.0
Central Shenandoah,4643.0,307.0,102.0,4.0,-,66.0,109.0,1246.0,1310.0,-,-,7787.0
Central Virginia,2655.0,576.0,41.0,9.0,-,30.0,39.0,2374.0,123.0,-,-,5847.0
Chesapeake,2102.0,2134.0,105.0,12.0,-,72.0,73.0,622.0,439.0,-,-,5559.0
Chesterfield,2828.0,1760.0,146.0,10.0,-,66.0,239.0,1565.0,2293.0,-,-,8907.0
Chickahominy,1555.0,493.0,22.0,13.0,-,12.0,32.0,595.0,140.0,-,-,2862.0
Crater,1289.0,2643.0,37.0,7.0,-,18.0,75.0,1178.0,274.0,-,-,5521.0
Cumberland Plateau,1708.0,61.0,,,-,11.0,7.0,194.0,17.0,-,-,2004.0
Eastern Shore,324.0,886.0,,,-,1.0,13.0,77.0,284.0,-,-,1590.0
Fairfax,6018.0,2211.0,2438.0,42.0,-,182.0,1110.0,2963.0,12131.0,-,-,27095.0
Hampton,449.0,1132.0,20.0,3.0,-,22.0,79.0,626.0,101.0,-,-,2432.0
Henrico,2116.0,2266.0,305.0,15.0,-,105.0,237.0,1187.0,1050.0,-,-,7281.0
Lenowisco,1993.0,74.0,,,-,31.0,12.0,288.0,52.0,-,-,2462.0
Lord Fairfax,2981.0,203.0,26.0,4.0,-,33.0,104.0,525.0,952.0,-,-,4828.0
Loudoun,2406.0,412.0,651.0,6.0,-,84.0,378.0,2085.0,2872.0,-,-,8894.0
Mount Rogers,4155.0,114.0,9.0,,-,16.0,20.0,398.0,341.0,-,-,5053.0
New River,3303.0,296.0,145.0,5.0,-,109.0,21.0,1225.0,269.0,-,-,5373.0
Norfolk,1296.0,2785.0,84.0,11.0,-,66.0,122.0,1128.0,473.0,-,-,5965.0
Peninsula,1570.0,1560.0,80.0,7.0,-,69.0,204.0,1773.0,504.0,-,-,5767.0
Piedmont,987.0,776.0,13.0,7.0,-,24.0,20.0,894.0,84.0,-,-,2805.0
Pittsylvania-Danville,1006.0,982.0,5.0,,-,7.0,5.0,834.0,112.0,-,-,2953.0
Portsmouth,480.0,1830.0,24.0,4.0,-,26.0,68.0,487.0,102.0,-,-,3021.0
Prince William,2622.0,1991.0,824.0,33.0,-,158.0,788.0,4468.0,7923.0,-,-,18807.0
Rappahannock,2202.0,1117.0,134.0,9.0,-,69.0,203.0,1696.0,1607.0,-,-,7037.0
Rappahannock Rapidan,1437.0,409.0,24.0,3.0,-,50.0,44.0,863.0,948.0,-,-,3778.0
Richmond,1228.0,2064.0,73.0,4.0,-,57.0,192.0,874.0,1515.0,-,-,6007.0
Roanoke,1017.0,749.0,54.0,,-,24.0,40.0,1041.0,527.0,-,-,3453.0
Southside,582.0,704.0,4.0,,-,127.0,19.0,687.0,14.0,-,-,2137.0
Thomas Jefferson,2591.0,667.0,149.0,5.0,-,110.0,188.0,355.0,797.0,-,-,4862.0
Three Rivers,1071.0,864.0,,,-,16.0,32.0,273.0,199.0,-,-,2470.0
Virginia Beach,3596.0,2141.0,379.0,16.0,-,118.0,154.0,2321.0,659.0,-,-,9384.0
West Piedmont,1942.0,716.0,19.0,4.0,-,19.0,15.0,795.0,334.0,-,-,3844.0
Western Tidewater,1424.0,2220.0,23.0,5.0,-,67.0,88.0,1058.0,65.0,-,-,4950.0
