health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,915.0,914.0,164.0,4.0,-,30.0,112.0,252.0,2000.0,-,-,4391.0
Alleghany,1787.0,225.0,40.0,,-,20.0,29.0,922.0,202.0,-,-,3230.0
Arlington,1506.0,479.0,243.0,5.0,-,53.0,118.0,465.0,1985.0,-,-,4854.0
Central Shenandoah,4259.0,288.0,96.0,4.0,-,62.0,98.0,1102.0,1267.0,-,-,7176.0
Central Virginia,2249.0,506.0,36.0,9.0,-,27.0,33.0,2279.0,108.0,-,-,5247.0
Chesapeake,1857.0,1977.0,98.0,12.0,-,65.0,60.0,635.0,408.0,-,-,5112.0
Chesterfield,2398.0,1603.0,123.0,9.0,-,59.0,185.0,1552.0,2123.0,-,-,8052.0
Chickahominy,1331.0,443.0,20.0,10.0,-,10.0,27.0,558.0,120.0,-,-,2519.0
Crater,1155.0,2538.0,32.0,7.0,-,14.0,67.0,1156.0,247.0,-,-,5216.0
Cumberland Plateau,1323.0,58.0,,,-,10.0,7.0,140.0,15.0,-,-,1557.0
Eastern Shore,302.0,876.0,,,-,1.0,13.0,79.0,277.0,-,-,1553.0
Fairfax,5354.0,2026.0,2213.0,37.0,-,149.0,977.0,2703.0,11374.0,-,-,24833.0
Hampton,385.0,1040.0,20.0,3.0,-,20.0,73.0,589.0,93.0,-,-,2223.0
Henrico,1936.0,2091.0,262.0,12.0,-,97.0,216.0,1043.0,998.0,-,-,6655.0
Lenowisco,1512.0,55.0,,,-,22.0,12.0,224.0,37.0,-,-,1864.0
Lord Fairfax,2511.0,175.0,20.0,3.0,-,27.0,93.0,487.0,903.0,-,-,4219.0
Loudoun,2089.0,382.0,557.0,6.0,-,66.0,289.0,2032.0,2722.0,-,-,8143.0
Mount Rogers,3407.0,92.0,7.0,,-,13.0,17.0,266.0,320.0,-,-,4122.0
New River,2890.0,279.0,128.0,5.0,-,95.0,20.0,1078.0,258.0,-,-,4753.0
Norfolk,1150.0,2637.0,77.0,10.0,-,60.0,105.0,1125.0,425.0,-,-,5589.0
Peninsula,1396.0,1433.0,70.0,7.0,-,67.0,187.0,1687.0,452.0,-,-,5299.0
Piedmont,880.0,731.0,13.0,5.0,-,9.0,18.0,856.0,82.0,-,-,2594.0
Pittsylvania-Danville,877.0,880.0,4.0,,-,8.0,5.0,818.0,96.0,-,-,2689.0
Portsmouth,439.0,1771.0,21.0,4.0,-,23.0,64.0,455.0,99.0,-,-,2876.0
Prince William,2329.0,1820.0,727.0,32.0,-,137.0,651.0,4420.0,7448.0,-,-,17564.0
Rappahannock,1924.0,1061.0,111.0,6.0,-,59.0,163.0,1564.0,1516.0,-,-,6404.0
Rappahannock Rapidan,1160.0,325.0,18.0,3.0,-,42.0,40.0,734.0,896.0,-,-,3218.0
Richmond,1060.0,1920.0,68.0,3.0,-,50.0,184.0,798.0,1459.0,-,-,5542.0
Roanoke,840.0,645.0,45.0,,-,19.0,36.0,998.0,507.0,-,-,3091.0
Southside,495.0,636.0,3.0,,-,67.0,16.0,693.0,9.0,-,-,1919.0
Thomas Jefferson,2384.0,622.0,135.0,5.0,-,100.0,179.0,367.0,760.0,-,-,4552.0
Three Rivers,970.0,800.0,,,-,13.0,28.0,298.0,198.0,-,-,2318.0
Virginia Beach,3144.0,2006.0,335.0,15.0,-,100.0,139.0,2099.0,581.0,-,-,8419.0
West Piedmont,1584.0,613.0,13.0,2.0,-,14.0,12.0,773.0,307.0,-,-,3318.0
Western Tidewater,1292.0,2116.0,22.0,2.0,-,89.0,100.0,1044.0,60.0,-,-,4725.0
