health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,935.0,933.0,167.0,4.0,-,31.0,119.0,270.0,2022.0,-,-,4481.0
Alleghany,1934.0,236.0,44.0,,-,22.0,31.0,955.0,210.0,-,-,3436.0
Arlington,1558.0,486.0,250.0,5.0,-,54.0,125.0,479.0,2013.0,-,-,4970.0
Central Shenandoah,4376.0,293.0,100.0,4.0,-,62.0,102.0,1162.0,1288.0,-,-,7387.0
Central Virginia,2367.0,535.0,40.0,9.0,-,29.0,35.0,2295.0,114.0,-,-,5424.0
Chesapeake,1932.0,2054.0,99.0,12.0,-,70.0,66.0,579.0,417.0,-,-,5229.0
Chesterfield,2490.0,1638.0,128.0,10.0,-,59.0,187.0,1533.0,2180.0,-,-,8225.0
Chickahominy,1391.0,455.0,20.0,13.0,-,11.0,28.0,577.0,126.0,-,-,2621.0
Crater,1202.0,2570.0,35.0,7.0,-,16.0,71.0,1187.0,258.0,-,-,5346.0
Cumberland Plateau,1468.0,60.0,,,-,10.0,7.0,156.0,16.0,-,-,1722.0
Eastern Shore,307.0,877.0,,,-,1.0,13.0,78.0,283.0,-,-,1564.0
Fairfax,5515.0,2078.0,2259.0,37.0,-,155.0,1003.0,2724.0,11572.0,-,-,25343.0
Hampton,406.0,1065.0,20.0,3.0,-,20.0,73.0,579.0,97.0,-,-,2263.0
Henrico,1994.0,2146.0,269.0,14.0,-,99.0,226.0,1068.0,1017.0,-,-,6833.0
Lenowisco,1696.0,62.0,,,-,28.0,12.0,231.0,41.0,-,-,2074.0
Lord Fairfax,2631.0,180.0,21.0,3.0,-,28.0,98.0,491.0,921.0,-,-,4373.0
Loudoun,2166.0,399.0,573.0,6.0,-,74.0,303.0,2018.0,2774.0,-,-,8313.0
Mount Rogers,3609.0,96.0,7.0,,-,13.0,17.0,286.0,328.0,-,-,4356.0
New River,3033.0,283.0,133.0,5.0,-,99.0,20.0,1141.0,260.0,-,-,4974.0
Norfolk,1191.0,2657.0,80.0,11.0,-,60.0,108.0,1159.0,435.0,-,-,5701.0
Peninsula,1444.0,1472.0,73.0,7.0,-,66.0,189.0,1700.0,463.0,-,-,5414.0
Piedmont,919.0,747.0,13.0,6.0,-,9.0,19.0,880.0,84.0,-,-,2677.0
Pittsylvania-Danville,913.0,913.0,4.0,,-,8.0,5.0,805.0,105.0,-,-,2754.0
Portsmouth,453.0,1789.0,21.0,4.0,-,24.0,65.0,462.0,100.0,-,-,2918.0
Prince William,2407.0,1860.0,743.0,33.0,-,145.0,710.0,4362.0,7594.0,-,-,17854.0
Rappahannock,1983.0,1075.0,119.0,6.0,-,64.0,174.0,1589.0,1549.0,-,-,6559.0
Rappahannock Rapidan,1211.0,349.0,22.0,3.0,-,44.0,41.0,750.0,900.0,-,-,3320.0
Richmond,1105.0,1950.0,70.0,3.0,-,54.0,185.0,820.0,1478.0,-,-,5665.0
Roanoke,886.0,664.0,48.0,,-,20.0,38.0,1052.0,515.0,-,-,3224.0
Southside,518.0,655.0,3.0,,-,86.0,16.0,702.0,10.0,-,-,1990.0
Thomas Jefferson,2436.0,634.0,144.0,5.0,-,106.0,180.0,369.0,775.0,-,-,4649.0
Three Rivers,986.0,814.0,,,-,14.0,29.0,304.0,196.0,-,-,2356.0
Virginia Beach,3243.0,2046.0,346.0,16.0,-,100.0,142.0,2131.0,607.0,-,-,8631.0
West Piedmont,1670.0,628.0,15.0,2.0,-,16.0,14.0,808.0,309.0,-,-,3462.0
Western Tidewater,1317.0,2145.0,23.0,4.0,-,85.0,94.0,1035.0,62.0,-,-,4765.0
