health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1444.0,1243.0,251.0,5.0,-,72.0,169.0,562.0,2621.0,-,-,6367.0
Alleghany,3998.0,385.0,86.0,,-,45.0,74.0,2041.0,276.0,-,-,6910.0
Arlington,2256.0,644.0,376.0,7.0,-,91.0,245.0,1397.0,2578.0,-,-,7594.0
Central Shenandoah,7832.0,638.0,132.0,7.0,-,108.0,179.0,2419.0,1575.0,-,-,12890.0
Central Virginia,4301.0,1029.0,62.0,17.0,-,48.0,79.0,3604.0,166.0,-,-,9306.0
Chesapeake,3172.0,2751.0,153.0,18.0,-,92.0,100.0,1065.0,539.0,-,-,7890.0
Chesterfield,4356.0,2439.0,225.0,12.0,-,106.0,291.0,2153.0,2718.0,-,-,12300.0
Chickahominy,2400.0,662.0,30.0,16.0,-,29.0,54.0,879.0,169.0,-,-,4239.0
Crater,1686.0,3083.0,47.0,7.0,-,25.0,98.0,1325.0,311.0,-,-,6582.0
Cumberland Plateau,3245.0,112.0,,,-,6.0,9.0,624.0,33.0,-,-,4037.0
Eastern Shore,522.0,980.0,,,-,1.0,16.0,78.0,310.0,-,-,1914.0
Fairfax,9045.0,2993.0,3718.0,57.0,-,346.0,1726.0,5256.0,14948.0,-,-,38089.0
Hampton,773.0,1597.0,33.0,4.0,-,55.0,123.0,818.0,150.0,-,-,3553.0
Henrico,3120.0,3062.0,469.0,22.0,-,147.0,310.0,1918.0,1212.0,-,-,10260.0
Lenowisco,3201.0,91.0,,,-,38.0,12.0,492.0,64.0,-,-,3913.0
Lord Fairfax,5394.0,316.0,65.0,6.0,-,65.0,191.0,1168.0,1221.0,-,-,8426.0
Loudoun,3341.0,531.0,903.0,10.0,-,146.0,850.0,3080.0,3332.0,-,-,12193.0
Mount Rogers,6895.0,202.0,18.0,,-,53.0,35.0,971.0,416.0,-,-,8595.0
New River,4833.0,359.0,174.0,7.0,-,123.0,32.0,2069.0,295.0,-,-,7892.0
Norfolk,1797.0,3274.0,116.0,14.0,-,98.0,145.0,1554.0,574.0,-,-,7572.0
Peninsula,2521.0,2184.0,114.0,8.0,-,133.0,326.0,2114.0,618.0,-,-,8018.0
Piedmont,1417.0,1047.0,15.0,7.0,-,67.0,24.0,1328.0,94.0,-,-,3999.0
Pittsylvania-Danville,1547.0,1330.0,7.0,,-,13.0,6.0,1224.0,133.0,-,-,4266.0
Portsmouth,701.0,2145.0,26.0,4.0,-,33.0,85.0,559.0,124.0,-,-,3677.0
Prince William,3877.0,2653.0,1152.0,43.0,-,266.0,1282.0,6169.0,9684.0,-,-,25126.0
Rappahannock,3355.0,1542.0,196.0,10.0,-,108.0,342.0,2788.0,1991.0,-,-,10332.0
Rappahannock Rapidan,2481.0,609.0,32.0,6.0,-,64.0,69.0,1219.0,1154.0,-,-,5634.0
Richmond,1733.0,2801.0,106.0,6.0,-,91.0,220.0,1253.0,1635.0,-,-,7845.0
Roanoke,1470.0,993.0,91.0,,-,34.0,58.0,1414.0,630.0,-,-,4693.0
Southside,776.0,842.0,5.0,,-,139.0,20.0,815.0,18.0,-,-,2615.0
Thomas Jefferson,3384.0,872.0,187.0,7.0,-,132.0,231.0,577.0,1033.0,-,-,6423.0
Three Rivers,1788.0,1137.0,,,-,30.0,45.0,420.0,250.0,-,-,3689.0
Virginia Beach,5413.0,2776.0,556.0,18.0,-,174.0,238.0,3341.0,936.0,-,-,13452.0
West Piedmont,2987.0,980.0,28.0,4.0,-,27.0,30.0,1231.0,427.0,-,-,5714.0
Western Tidewater,1879.0,2636.0,26.0,5.0,-,87.0,123.0,1399.0,80.0,-,-,6235.0
