health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1587.0,1342.0,274.0,8.0,-,86.0,188.0,684.0,2744.0,-,-,6913.0
Alleghany,4535.0,432.0,93.0,,-,47.0,81.0,2296.0,288.0,-,-,7777.0
Arlington,2456.0,680.0,402.0,8.0,-,103.0,291.0,1647.0,2702.0,-,-,8289.0
Central Shenandoah,9081.0,730.0,137.0,7.0,-,124.0,197.0,2746.0,1669.0,-,-,14691.0
Central Virginia,4961.0,1174.0,74.0,18.0,-,57.0,94.0,3968.0,178.0,-,-,10524.0
Chesapeake,3592.0,2953.0,162.0,20.0,-,104.0,110.0,1273.0,570.0,-,-,8784.0
Chesterfield,4851.0,2707.0,250.0,12.0,-,118.0,319.0,2368.0,2849.0,-,-,13474.0
Chickahominy,2736.0,720.0,31.0,20.0,-,34.0,60.0,1043.0,182.0,-,-,4826.0
Crater,1823.0,3214.0,50.0,7.0,-,30.0,106.0,1393.0,326.0,-,-,6949.0
Cumberland Plateau,3753.0,122.0,,,-,11.0,9.0,789.0,39.0,-,-,4732.0
Eastern Shore,586.0,1021.0,,,-,1.0,17.0,81.0,330.0,-,-,2043.0
Fairfax,10026.0,3240.0,4192.0,68.0,-,411.0,1916.0,6026.0,15905.0,-,-,41784.0
Hampton,900.0,1804.0,38.0,5.0,-,66.0,133.0,902.0,174.0,-,-,4022.0
Henrico,3526.0,3390.0,532.0,22.0,-,169.0,350.0,2126.0,1300.0,-,-,11415.0
Lenowisco,3590.0,122.0,,,-,39.0,14.0,589.0,89.0,-,-,4463.0
Lord Fairfax,6058.0,338.0,71.0,7.0,-,69.0,211.0,1363.0,1280.0,-,-,9397.0
Loudoun,3609.0,572.0,959.0,12.0,-,168.0,918.0,3454.0,3479.0,-,-,13171.0
Mount Rogers,7841.0,217.0,21.0,,-,59.0,39.0,1182.0,430.0,-,-,9794.0
New River,5316.0,379.0,178.0,7.0,-,129.0,36.0,2364.0,303.0,-,-,8712.0
Norfolk,2014.0,3479.0,128.0,15.0,-,112.0,168.0,1706.0,608.0,-,-,8230.0
Peninsula,2981.0,2475.0,128.0,10.0,-,155.0,379.0,2391.0,672.0,-,-,9191.0
Piedmont,1554.0,1149.0,16.0,7.0,-,73.0,25.0,1481.0,101.0,-,-,4406.0
Pittsylvania-Danville,1722.0,1425.0,7.0,,-,13.0,5.0,1386.0,139.0,-,-,4703.0
Portsmouth,872.0,2276.0,27.0,4.0,-,40.0,95.0,684.0,130.0,-,-,4128.0
Prince William,4408.0,2886.0,1257.0,49.0,-,334.0,1496.0,6751.0,10206.0,-,-,27387.0
Rappahannock,3866.0,1716.0,209.0,12.0,-,119.0,412.0,3216.0,2111.0,-,-,11661.0
Rappahannock Rapidan,2758.0,670.0,41.0,9.0,-,68.0,89.0,1367.0,1246.0,-,-,6248.0
Richmond,1993.0,3097.0,126.0,8.0,-,103.0,230.0,1402.0,1674.0,-,-,8633.0
Roanoke,1607.0,1050.0,94.0,,-,36.0,59.0,1520.0,647.0,-,-,5016.0
Southside,882.0,935.0,5.0,,-,141.0,21.0,872.0,23.0,-,-,2880.0
Thomas Jefferson,3714.0,957.0,194.0,7.0,-,148.0,250.0,659.0,1110.0,-,-,7039.0
Three Rivers,2097.0,1263.0,,,-,37.0,67.0,552.0,274.0,-,-,4311.0
Virginia Beach,6212.0,2972.0,624.0,22.0,-,193.0,285.0,3812.0,1008.0,-,-,15128.0
West Piedmont,3269.0,1043.0,30.0,4.0,-,30.0,35.0,1416.0,470.0,-,-,6297.0
Western Tidewater,2156.0,2848.0,34.0,5.0,-,96.0,143.0,1525.0,90.0,-,-,6897.0
