health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1461.0,1249.0,254.0,5.0,-,72.0,172.0,565.0,2643.0,-,-,6421.0
Alleghany,4071.0,387.0,88.0,,-,45.0,75.0,2072.0,278.0,-,-,7021.0
Arlington,2280.0,645.0,379.0,7.0,-,92.0,252.0,1418.0,2588.0,-,-,7661.0
Central Shenandoah,8103.0,651.0,134.0,7.0,-,111.0,188.0,2456.0,1606.0,-,-,13256.0
Central Virginia,4370.0,1041.0,68.0,18.0,-,48.0,82.0,3679.0,166.0,-,-,9472.0
Chesapeake,3236.0,2785.0,153.0,19.0,-,92.0,100.0,1105.0,541.0,-,-,8031.0
Chesterfield,4399.0,2471.0,226.0,11.0,-,109.0,291.0,2170.0,2735.0,-,-,12412.0
Chickahominy,2414.0,669.0,31.0,16.0,-,29.0,55.0,885.0,169.0,-,-,4268.0
Crater,1704.0,3100.0,47.0,7.0,-,25.0,98.0,1342.0,311.0,-,-,6634.0
Cumberland Plateau,3296.0,112.0,,,-,6.0,9.0,647.0,33.0,-,-,4111.0
Eastern Shore,532.0,984.0,,,-,1.0,16.0,77.0,311.0,-,-,1928.0
Fairfax,9165.0,3009.0,3760.0,58.0,-,353.0,1746.0,5317.0,15082.0,-,-,38490.0
Hampton,795.0,1625.0,35.0,4.0,-,58.0,123.0,841.0,155.0,-,-,3636.0
Henrico,3147.0,3090.0,479.0,22.0,-,149.0,310.0,1919.0,1229.0,-,-,10345.0
Lenowisco,3247.0,92.0,,,-,38.0,12.0,505.0,65.0,-,-,3975.0
Lord Fairfax,5511.0,324.0,65.0,6.0,-,65.0,194.0,1215.0,1236.0,-,-,8616.0
Loudoun,3381.0,541.0,909.0,10.0,-,147.0,850.0,3108.0,3351.0,-,-,12297.0
Mount Rogers,7010.0,203.0,18.0,,-,54.0,36.0,1016.0,418.0,-,-,8760.0
New River,4903.0,362.0,174.0,7.0,-,124.0,33.0,2120.0,296.0,-,-,8019.0
Norfolk,1826.0,3302.0,117.0,14.0,-,100.0,145.0,1554.0,577.0,-,-,7635.0
Peninsula,2581.0,2211.0,115.0,9.0,-,136.0,334.0,2137.0,622.0,-,-,8145.0
Piedmont,1421.0,1048.0,16.0,7.0,-,67.0,24.0,1324.0,95.0,-,-,4002.0
Pittsylvania-Danville,1567.0,1338.0,7.0,,-,13.0,6.0,1232.0,134.0,-,-,4303.0
Portsmouth,717.0,2163.0,26.0,4.0,-,34.0,85.0,568.0,125.0,-,-,3722.0
Prince William,3961.0,2698.0,1168.0,43.0,-,278.0,1295.0,6231.0,9760.0,-,-,25434.0
Rappahannock,3398.0,1553.0,197.0,10.0,-,108.0,352.0,2822.0,1999.0,-,-,10439.0
Rappahannock Rapidan,2524.0,618.0,33.0,6.0,-,64.0,74.0,1264.0,1166.0,-,-,5749.0
Richmond,1746.0,2829.0,107.0,6.0,-,91.0,219.0,1268.0,1639.0,-,-,7905.0
Roanoke,1491.0,1006.0,93.0,,-,34.0,59.0,1433.0,635.0,-,-,4754.0
Southside,791.0,850.0,5.0,,-,139.0,20.0,822.0,19.0,-,-,2646.0
Thomas Jefferson,3432.0,884.0,189.0,7.0,-,135.0,235.0,592.0,1049.0,-,-,6523.0
Three Rivers,1815.0,1147.0,,,-,30.0,47.0,432.0,251.0,-,-,3741.0
Virginia Beach,5520.0,2797.0,563.0,19.0,-,175.0,245.0,3387.0,946.0,-,-,13652.0
West Piedmont,3024.0,986.0,28.0,4.0,-,29.0,28.0,1250.0,439.0,-,-,5788.0
Western Tidewater,1932.0,2673.0,27.0,5.0,-,87.0,125.0,1373.0,80.0,-,-,6302.0
