health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1390.0,1217.0,238.0,5.0,-,69.0,165.0,562.0,2569.0,-,-,6215.0
Alleghany,3851.0,369.0,85.0,,-,43.0,71.0,1909.0,273.0,-,-,6606.0
Arlington,2201.0,633.0,364.0,7.0,-,87.0,227.0,1339.0,2537.0,-,-,7395.0
Central Shenandoah,7328.0,531.0,124.0,7.0,-,100.0,162.0,2283.0,1542.0,-,-,12077.0
Central Virginia,4064.0,956.0,61.0,15.0,-,46.0,74.0,3391.0,162.0,-,-,8769.0
Chesapeake,3038.0,2665.0,150.0,17.0,-,93.0,95.0,951.0,531.0,-,-,7540.0
Chesterfield,4170.0,2352.0,213.0,12.0,-,103.0,287.0,2096.0,2657.0,-,-,11890.0
Chickahominy,2326.0,648.0,28.0,15.0,-,27.0,51.0,853.0,167.0,-,-,4115.0
Crater,1625.0,3000.0,46.0,7.0,-,23.0,96.0,1284.0,303.0,-,-,6384.0
Cumberland Plateau,3008.0,95.0,,,-,5.0,7.0,525.0,32.0,-,-,3680.0
Eastern Shore,496.0,966.0,,,-,1.0,16.0,78.0,304.0,-,-,1868.0
Fairfax,8724.0,2910.0,3555.0,57.0,-,333.0,1682.0,5043.0,14629.0,-,-,36933.0
Hampton,721.0,1516.0,30.0,4.0,-,48.0,118.0,788.0,140.0,-,-,3365.0
Henrico,3020.0,2975.0,456.0,21.0,-,143.0,306.0,1870.0,1198.0,-,-,9989.0
Lenowisco,3082.0,91.0,,,-,37.0,12.0,462.0,64.0,-,-,3763.0
Lord Fairfax,5141.0,311.0,62.0,6.0,-,63.0,177.0,1060.0,1194.0,-,-,8014.0
Loudoun,3232.0,521.0,877.0,10.0,-,135.0,766.0,2970.0,3277.0,-,-,11788.0
Mount Rogers,6604.0,196.0,16.0,,-,49.0,33.0,911.0,410.0,-,-,8223.0
New River,4693.0,347.0,174.0,6.0,-,122.0,32.0,1976.0,294.0,-,-,7644.0
Norfolk,1727.0,3208.0,113.0,14.0,-,90.0,148.0,1503.0,565.0,-,-,7368.0
Peninsula,2366.0,2061.0,111.0,8.0,-,117.0,305.0,2027.0,605.0,-,-,7600.0
Piedmont,1379.0,1020.0,15.0,7.0,-,64.0,23.0,1285.0,93.0,-,-,3886.0
Pittsylvania-Danville,1491.0,1296.0,7.0,,-,13.0,6.0,1167.0,131.0,-,-,4117.0
Portsmouth,658.0,2115.0,26.0,4.0,-,33.0,84.0,551.0,122.0,-,-,3593.0
Prince William,3741.0,2582.0,1124.0,42.0,-,257.0,1238.0,6035.0,9543.0,-,-,24562.0
Rappahannock,3204.0,1476.0,186.0,10.0,-,103.0,323.0,2618.0,1936.0,-,-,9856.0
Rappahannock Rapidan,2398.0,583.0,29.0,6.0,-,62.0,66.0,1198.0,1139.0,-,-,5481.0
Richmond,1682.0,2722.0,102.0,6.0,-,89.0,218.0,1202.0,1615.0,-,-,7636.0
Roanoke,1478.0,977.0,88.0,,-,33.0,59.0,1390.0,630.0,-,-,4657.0
Southside,755.0,825.0,5.0,,-,137.0,20.0,792.0,18.0,-,-,2552.0
Thomas Jefferson,3304.0,848.0,180.0,7.0,-,131.0,222.0,543.0,997.0,-,-,6232.0
Three Rivers,1638.0,1094.0,,,-,28.0,41.0,396.0,239.0,-,-,3456.0
Virginia Beach,5252.0,2723.0,528.0,18.0,-,167.0,231.0,3225.0,919.0,-,-,13063.0
West Piedmont,2899.0,964.0,23.0,4.0,-,26.0,26.0,1187.0,420.0,-,-,5549.0
Western Tidewater,1811.0,2576.0,26.0,5.0,-,85.0,119.0,1343.0,78.0,-,-,6043.0
