health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1347.0,1185.0,225.0,5.0,-,66.0,158.0,521.0,2505.0,-,-,6012.0
Alleghany,3629.0,360.0,83.0,,-,43.0,66.0,1824.0,266.0,-,-,6276.0
Arlington,2107.0,612.0,351.0,7.0,-,82.0,212.0,1231.0,2495.0,-,-,7097.0
Central Shenandoah,6990.0,476.0,123.0,7.0,-,96.0,159.0,2104.0,1512.0,-,-,11467.0
Central Virginia,3865.0,897.0,57.0,15.0,-,45.0,66.0,3195.0,156.0,-,-,8296.0
Chesapeake,2907.0,2597.0,146.0,17.0,-,90.0,89.0,864.0,517.0,-,-,7227.0
Chesterfield,4006.0,2262.0,209.0,12.0,-,101.0,277.0,2036.0,2620.0,-,-,11523.0
Chickahominy,2230.0,630.0,28.0,15.0,-,26.0,50.0,824.0,159.0,-,-,3962.0
Crater,1600.0,2981.0,46.0,7.0,-,22.0,95.0,1275.0,302.0,-,-,6328.0
Cumberland Plateau,2813.0,71.0,,,-,3.0,7.0,479.0,30.0,-,-,3411.0
Eastern Shore,465.0,946.0,,,-,1.0,16.0,78.0,297.0,-,-,1810.0
Fairfax,8412.0,2823.0,3414.0,55.0,-,326.0,1616.0,4792.0,14358.0,-,-,35796.0
Hampton,665.0,1430.0,29.0,4.0,-,37.0,111.0,766.0,129.0,-,-,3171.0
Henrico,2896.0,2881.0,434.0,20.0,-,140.0,301.0,1745.0,1180.0,-,-,9597.0
Lenowisco,2950.0,91.0,,,-,36.0,12.0,423.0,63.0,-,-,3590.0
Lord Fairfax,4875.0,303.0,60.0,6.0,-,59.0,158.0,966.0,1174.0,-,-,7601.0
Loudoun,3126.0,510.0,852.0,9.0,-,129.0,712.0,2848.0,3234.0,-,-,11420.0
Mount Rogers,6225.0,187.0,16.0,,-,44.0,33.0,815.0,406.0,-,-,7730.0
New River,4469.0,335.0,174.0,6.0,-,117.0,29.0,1917.0,290.0,-,-,7337.0
Norfolk,1655.0,3148.0,109.0,14.0,-,89.0,143.0,1460.0,558.0,-,-,7176.0
Peninsula,2238.0,1979.0,107.0,8.0,-,107.0,292.0,1965.0,593.0,-,-,7289.0
Piedmont,1316.0,986.0,15.0,7.0,-,62.0,23.0,1254.0,93.0,-,-,3756.0
Pittsylvania-Danville,1424.0,1262.0,7.0,,-,13.0,6.0,1111.0,131.0,-,-,3960.0
Portsmouth,623.0,2063.0,26.0,4.0,-,33.0,81.0,530.0,120.0,-,-,3480.0
Prince William,3546.0,2480.0,1058.0,40.0,-,235.0,1171.0,5748.0,9265.0,-,-,23543.0
Rappahannock,3105.0,1440.0,184.0,10.0,-,100.0,307.0,2511.0,1906.0,-,-,9563.0
Rappahannock Rapidan,2293.0,569.0,28.0,5.0,-,62.0,61.0,1115.0,1119.0,-,-,5252.0
Richmond,1612.0,2611.0,96.0,6.0,-,86.0,214.0,1176.0,1605.0,-,-,7406.0
Roanoke,1417.0,956.0,87.0,,-,33.0,55.0,1355.0,618.0,-,-,4523.0
Southside,731.0,804.0,5.0,,-,137.0,20.0,785.0,17.0,-,-,2499.0
Thomas Jefferson,3206.0,824.0,178.0,7.0,-,130.0,218.0,489.0,973.0,-,-,6025.0
Three Rivers,1513.0,1019.0,,,-,25.0,41.0,361.0,235.0,-,-,3213.0
Virginia Beach,5016.0,2633.0,505.0,18.0,-,163.0,221.0,3102.0,897.0,-,-,12555.0
West Piedmont,2779.0,929.0,23.0,4.0,-,25.0,25.0,1129.0,409.0,-,-,5323.0
Western Tidewater,1732.0,2494.0,25.0,5.0,-,85.0,113.0,1300.0,75.0,-,-,5829.0
