health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1517.0,1280.0,263.0,7.0,-,79.0,184.0,656.0,2674.0,-,-,6660.0
Alleghany,4251.0,409.0,92.0,,-,46.0,75.0,2124.0,282.0,-,-,7284.0
Arlington,2361.0,662.0,394.0,7.0,-,99.0,269.0,1526.0,2657.0,-,-,7975.0
Central Shenandoah,8517.0,681.0,135.0,7.0,-,116.0,190.0,2580.0,1621.0,-,-,13847.0
Central Virginia,4575.0,1099.0,72.0,18.0,-,54.0,90.0,3784.0,170.0,-,-,9862.0
Chesapeake,3374.0,2873.0,153.0,20.0,-,100.0,106.0,1185.0,551.0,-,-,8362.0
Chesterfield,4565.0,2571.0,231.0,12.0,-,114.0,297.0,2231.0,2777.0,-,-,12798.0
Chickahominy,2498.0,684.0,31.0,17.0,-,33.0,55.0,926.0,176.0,-,-,4420.0
Crater,1752.0,3137.0,49.0,7.0,-,27.0,100.0,1370.0,315.0,-,-,6757.0
Cumberland Plateau,3426.0,113.0,,,-,6.0,9.0,692.0,36.0,-,-,4290.0
Eastern Shore,554.0,1002.0,,,-,1.0,17.0,77.0,319.0,-,-,1977.0
Fairfax,9456.0,3092.0,3925.0,63.0,-,378.0,1799.0,5529.0,15395.0,-,-,39637.0
Hampton,842.0,1715.0,37.0,5.0,-,61.0,128.0,881.0,164.0,-,-,3833.0
Henrico,3286.0,3214.0,502.0,22.0,-,158.0,325.0,2039.0,1251.0,-,-,10797.0
Lenowisco,3414.0,104.0,,,-,39.0,13.0,548.0,78.0,-,-,4215.0
Lord Fairfax,5734.0,329.0,67.0,7.0,-,68.0,200.0,1268.0,1251.0,-,-,8924.0
Loudoun,3498.0,557.0,933.0,13.0,-,153.0,872.0,3240.0,3416.0,-,-,12682.0
Mount Rogers,7390.0,211.0,20.0,,-,57.0,35.0,1106.0,422.0,-,-,9247.0
New River,5083.0,370.0,175.0,7.0,-,126.0,33.0,2204.0,300.0,-,-,8298.0
Norfolk,1856.0,3343.0,120.0,16.0,-,106.0,149.0,1591.0,586.0,-,-,7767.0
Peninsula,2751.0,2314.0,122.0,10.0,-,145.0,352.0,2233.0,646.0,-,-,8573.0
Piedmont,1477.0,1086.0,16.0,7.0,-,70.0,24.0,1433.0,96.0,-,-,4209.0
Pittsylvania-Danville,1625.0,1370.0,7.0,,-,13.0,6.0,1310.0,135.0,-,-,4472.0
Portsmouth,788.0,2212.0,27.0,4.0,-,35.0,92.0,612.0,125.0,-,-,3895.0
Prince William,4130.0,2760.0,1216.0,44.0,-,290.0,1355.0,6421.0,9901.0,-,-,26117.0
Rappahannock,3514.0,1599.0,200.0,12.0,-,110.0,358.0,2933.0,2035.0,-,-,10761.0
Rappahannock Rapidan,2617.0,634.0,34.0,7.0,-,66.0,83.0,1303.0,1208.0,-,-,5952.0
Richmond,1846.0,2953.0,115.0,7.0,-,94.0,221.0,1331.0,1658.0,-,-,8225.0
Roanoke,1542.0,1024.0,94.0,,-,35.0,58.0,1479.0,642.0,-,-,4877.0
Southside,810.0,886.0,5.0,,-,139.0,20.0,835.0,19.0,-,-,2714.0
Thomas Jefferson,3542.0,905.0,191.0,7.0,-,146.0,244.0,630.0,1064.0,-,-,6729.0
Three Rivers,1909.0,1191.0,,,-,34.0,53.0,458.0,264.0,-,-,3930.0
Virginia Beach,5782.0,2872.0,593.0,21.0,-,184.0,262.0,3540.0,972.0,-,-,14226.0
West Piedmont,3111.0,1010.0,29.0,4.0,-,30.0,29.0,1319.0,443.0,-,-,5975.0
Western Tidewater,2026.0,2737.0,28.0,5.0,-,92.0,130.0,1458.0,85.0,-,-,6561.0
