health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1374.0,1212.0,235.0,5.0,-,66.0,163.0,555.0,2555.0,-,-,6165.0
Alleghany,3792.0,367.0,84.0,,-,43.0,67.0,1878.0,272.0,-,-,6508.0
Arlington,2159.0,626.0,361.0,7.0,-,84.0,222.0,1284.0,2520.0,-,-,7263.0
Central Shenandoah,7236.0,492.0,124.0,7.0,-,99.0,162.0,2272.0,1536.0,-,-,11928.0
Central Virginia,4043.0,947.0,61.0,15.0,-,46.0,73.0,3368.0,162.0,-,-,8715.0
Chesapeake,2954.0,2614.0,148.0,17.0,-,91.0,92.0,909.0,523.0,-,-,7348.0
Chesterfield,4122.0,2339.0,212.0,12.0,-,101.0,284.0,2077.0,2650.0,-,-,11797.0
Chickahominy,2295.0,647.0,28.0,15.0,-,27.0,51.0,846.0,167.0,-,-,4076.0
Crater,1623.0,3001.0,46.0,7.0,-,23.0,96.0,1273.0,303.0,-,-,6372.0
Cumberland Plateau,2977.0,92.0,,,-,4.0,7.0,511.0,32.0,-,-,3631.0
Eastern Shore,491.0,959.0,,,-,1.0,16.0,80.0,302.0,-,-,1856.0
Fairfax,8629.0,2876.0,3511.0,57.0,-,331.0,1635.0,4906.0,14546.0,-,-,36491.0
Hampton,705.0,1489.0,30.0,4.0,-,46.0,116.0,773.0,135.0,-,-,3298.0
Henrico,2987.0,2954.0,449.0,21.0,-,143.0,303.0,1822.0,1195.0,-,-,9874.0
Lenowisco,3044.0,91.0,,,-,37.0,12.0,449.0,64.0,-,-,3712.0
Lord Fairfax,5059.0,307.0,62.0,6.0,-,62.0,171.0,1010.0,1190.0,-,-,7867.0
Loudoun,3210.0,520.0,870.0,10.0,-,135.0,754.0,2941.0,3269.0,-,-,11709.0
Mount Rogers,6474.0,192.0,16.0,,-,45.0,32.0,870.0,408.0,-,-,8041.0
New River,4656.0,344.0,174.0,6.0,-,121.0,32.0,1953.0,294.0,-,-,7580.0
Norfolk,1711.0,3190.0,112.0,14.0,-,89.0,147.0,1508.0,560.0,-,-,7331.0
Peninsula,2312.0,2032.0,108.0,8.0,-,115.0,298.0,1998.0,598.0,-,-,7469.0
Piedmont,1342.0,1004.0,15.0,7.0,-,62.0,23.0,1265.0,93.0,-,-,3811.0
Pittsylvania-Danville,1474.0,1288.0,7.0,,-,13.0,6.0,1159.0,131.0,-,-,4084.0
Portsmouth,642.0,2098.0,26.0,4.0,-,33.0,86.0,536.0,121.0,-,-,3546.0
Prince William,3676.0,2549.0,1098.0,41.0,-,251.0,1217.0,5944.0,9476.0,-,-,24252.0
Rappahannock,3201.0,1476.0,186.0,10.0,-,102.0,324.0,2621.0,1936.0,-,-,9856.0
Rappahannock Rapidan,2358.0,576.0,29.0,6.0,-,61.0,66.0,1165.0,1126.0,-,-,5387.0
Richmond,1663.0,2691.0,101.0,6.0,-,88.0,218.0,1194.0,1613.0,-,-,7574.0
Roanoke,1464.0,969.0,88.0,,-,33.0,59.0,1375.0,629.0,-,-,4619.0
Southside,750.0,822.0,5.0,,-,136.0,20.0,792.0,17.0,-,-,2542.0
Thomas Jefferson,3281.0,843.0,180.0,7.0,-,130.0,222.0,531.0,993.0,-,-,6187.0
Three Rivers,1614.0,1080.0,,,-,26.0,41.0,393.0,239.0,-,-,3413.0
Virginia Beach,5165.0,2690.0,517.0,18.0,-,167.0,227.0,3171.0,910.0,-,-,12865.0
West Piedmont,2864.0,953.0,23.0,4.0,-,26.0,27.0,1167.0,416.0,-,-,5480.0
Western Tidewater,1776.0,2560.0,26.0,5.0,-,85.0,117.0,1323.0,76.0,-,-,5968.0
