health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1214.0,1093.0,196.0,4.0,-,46.0,147.0,396.0,2351.0,-,-,5447.0
Alleghany,3040.0,319.0,74.0,,-,35.0,47.0,1542.0,255.0,-,-,5316.0
Arlington,1975.0,567.0,309.0,7.0,-,73.0,190.0,956.0,2340.0,-,-,6417.0
Central Shenandoah,5959.0,410.0,113.0,4.0,-,79.0,136.0,1635.0,1413.0,-,-,9749.0
Central Virginia,3371.0,735.0,47.0,12.0,-,39.0,54.0,2749.0,142.0,-,-,7149.0
Chesapeake,2655.0,2469.0,130.0,14.0,-,81.0,82.0,809.0,499.0,-,-,6739.0
Chesterfield,3518.0,2061.0,184.0,11.0,-,93.0,263.0,1848.0,2502.0,-,-,10480.0
Chickahominy,1938.0,581.0,26.0,15.0,-,16.0,43.0,729.0,153.0,-,-,3501.0
Crater,1493.0,2857.0,39.0,7.0,-,21.0,84.0,1234.0,294.0,-,-,6029.0
Cumberland Plateau,2242.0,65.0,,,-,2.0,6.0,373.0,21.0,-,-,2717.0
Eastern Shore,406.0,915.0,,,-,1.0,14.0,76.0,292.0,-,-,1710.0
Fairfax,7481.0,2572.0,3007.0,50.0,-,261.0,1392.0,3762.0,13457.0,-,-,31982.0
Hampton,582.0,1303.0,23.0,3.0,-,28.0,103.0,688.0,116.0,-,-,2846.0
Henrico,2535.0,2615.0,387.0,18.0,-,130.0,274.0,1457.0,1133.0,-,-,8549.0
Lenowisco,2532.0,85.0,,,-,35.0,12.0,382.0,60.0,-,-,3120.0
Lord Fairfax,4175.0,274.0,47.0,4.0,-,52.0,136.0,762.0,1074.0,-,-,6524.0
Loudoun,2822.0,464.0,778.0,9.0,-,109.0,558.0,2472.0,3090.0,-,-,10302.0
Mount Rogers,5309.0,158.0,10.0,,-,22.0,27.0,544.0,372.0,-,-,6443.0
New River,3987.0,317.0,162.0,5.0,-,113.0,28.0,1618.0,283.0,-,-,6513.0
Norfolk,1489.0,2963.0,99.0,12.0,-,82.0,136.0,1307.0,529.0,-,-,6617.0
Peninsula,1994.0,1839.0,97.0,8.0,-,93.0,276.0,1873.0,569.0,-,-,6749.0
Piedmont,1171.0,881.0,14.0,7.0,-,46.0,21.0,932.0,90.0,-,-,3162.0
Pittsylvania-Danville,1227.0,1152.0,7.0,,-,12.0,6.0,959.0,119.0,-,-,3487.0
Portsmouth,557.0,1962.0,25.0,4.0,-,32.0,74.0,467.0,113.0,-,-,3234.0
Prince William,3159.0,2299.0,968.0,36.0,-,203.0,1054.0,5212.0,8796.0,-,-,21727.0
Rappahannock,2727.0,1292.0,164.0,10.0,-,91.0,253.0,2045.0,1795.0,-,-,8377.0
Rappahannock Rapidan,1939.0,523.0,27.0,4.0,-,56.0,54.0,1035.0,1060.0,-,-,4698.0
Richmond,1433.0,2380.0,84.0,5.0,-,71.0,213.0,1044.0,1573.0,-,-,6803.0
Roanoke,1259.0,897.0,73.0,,-,32.0,47.0,1253.0,589.0,-,-,4151.0
Southside,671.0,759.0,5.0,,-,136.0,19.0,719.0,15.0,-,-,2324.0
Thomas Jefferson,2935.0,719.0,168.0,6.0,-,124.0,192.0,381.0,883.0,-,-,5408.0
Three Rivers,1345.0,969.0,,,-,24.0,39.0,324.0,223.0,-,-,2942.0
Virginia Beach,4369.0,2435.0,451.0,18.0,-,143.0,199.0,2659.0,796.0,-,-,11070.0
West Piedmont,2492.0,839.0,22.0,4.0,-,26.0,19.0,1017.0,379.0,-,-,4798.0
Western Tidewater,1601.0,2365.0,25.0,5.0,-,77.0,104.0,1152.0,71.0,-,-,5400.0
