health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1089.0,1025.0,178.0,4.0,-,36.0,133.0,354.0,2191.0,-,-,5010.0
Alleghany,2626.0,294.0,62.0,,-,30.0,35.0,1371.0,243.0,-,-,4665.0
Arlington,1820.0,530.0,283.0,7.0,-,63.0,159.0,749.0,2245.0,-,-,5856.0
Central Shenandoah,5147.0,348.0,108.0,4.0,-,73.0,119.0,1449.0,1358.0,-,-,8606.0
Central Virginia,2956.0,641.0,44.0,9.0,-,33.0,43.0,2567.0,133.0,-,-,6426.0
Chesapeake,2345.0,2274.0,115.0,13.0,-,73.0,76.0,715.0,469.0,-,-,6080.0
Chesterfield,3060.0,1880.0,163.0,11.0,-,75.0,249.0,1673.0,2384.0,-,-,9495.0
Chickahominy,1713.0,528.0,23.0,13.0,-,14.0,39.0,666.0,145.0,-,-,3141.0
Crater,1395.0,2764.0,37.0,7.0,-,19.0,77.0,1206.0,283.0,-,-,5788.0
Cumberland Plateau,1961.0,61.0,,,-,12.0,7.0,245.0,20.0,-,-,2311.0
Eastern Shore,363.0,899.0,,,-,1.0,13.0,76.0,289.0,-,-,1647.0
Fairfax,6596.0,2367.0,2650.0,46.0,-,205.0,1197.0,3353.0,12675.0,-,-,29089.0
Hampton,512.0,1203.0,21.0,3.0,-,26.0,88.0,675.0,108.0,-,-,2636.0
Henrico,2290.0,2396.0,344.0,18.0,-,121.0,252.0,1336.0,1087.0,-,-,7844.0
Lenowisco,2234.0,76.0,,,-,31.0,12.0,340.0,53.0,-,-,2760.0
Lord Fairfax,3482.0,230.0,33.0,4.0,-,37.0,114.0,622.0,1012.0,-,-,5534.0
Loudoun,2567.0,432.0,700.0,7.0,-,91.0,411.0,2183.0,2954.0,-,-,9345.0
Mount Rogers,4643.0,128.0,10.0,,-,18.0,22.0,436.0,361.0,-,-,5619.0
New River,3612.0,307.0,151.0,5.0,-,111.0,21.0,1416.0,278.0,-,-,5901.0
Norfolk,1389.0,2869.0,94.0,12.0,-,74.0,123.0,1240.0,496.0,-,-,6297.0
Peninsula,1744.0,1724.0,88.0,8.0,-,82.0,235.0,1815.0,543.0,-,-,6239.0
Piedmont,1068.0,835.0,14.0,7.0,-,38.0,21.0,898.0,87.0,-,-,2968.0
Pittsylvania-Danville,1100.0,1057.0,6.0,,-,10.0,5.0,845.0,116.0,-,-,3143.0
Portsmouth,515.0,1900.0,25.0,4.0,-,29.0,69.0,466.0,107.0,-,-,3115.0
Prince William,2832.0,2111.0,889.0,38.0,-,178.0,857.0,4701.0,8271.0,-,-,19877.0
Rappahannock,2415.0,1175.0,150.0,9.0,-,77.0,219.0,1872.0,1684.0,-,-,7601.0
Rappahannock Rapidan,1685.0,471.0,26.0,3.0,-,53.0,52.0,939.0,1008.0,-,-,4237.0
Richmond,1322.0,2215.0,79.0,5.0,-,64.0,201.0,956.0,1542.0,-,-,6384.0
Roanoke,1144.0,816.0,62.0,,-,28.0,44.0,1227.0,558.0,-,-,3880.0
Southside,631.0,730.0,4.0,,-,133.0,19.0,700.0,14.0,-,-,2231.0
Thomas Jefferson,2757.0,687.0,158.0,5.0,-,118.0,187.0,374.0,829.0,-,-,5115.0
Three Rivers,1188.0,883.0,,,-,20.0,35.0,293.0,205.0,-,-,2638.0
Virginia Beach,3935.0,2302.0,414.0,17.0,-,125.0,184.0,2473.0,718.0,-,-,10168.0
West Piedmont,2177.0,762.0,19.0,4.0,-,20.0,17.0,921.0,343.0,-,-,4263.0
Western Tidewater,1484.0,2281.0,25.0,5.0,-,73.0,91.0,1102.0,68.0,-,-,5129.0
