health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1398.0,1223.0,243.0,5.0,-,69.0,168.0,570.0,2584.0,-,-,6260.0
Alleghany,3863.0,370.0,85.0,,-,43.0,71.0,1929.0,273.0,-,-,6639.0
Arlington,2214.0,637.0,367.0,7.0,-,90.0,233.0,1357.0,2558.0,-,-,7463.0
Central Shenandoah,7495.0,620.0,126.0,7.0,-,101.0,170.0,2329.0,1549.0,-,-,12397.0
Central Virginia,4136.0,977.0,61.0,16.0,-,47.0,74.0,3457.0,163.0,-,-,8931.0
Chesapeake,3074.0,2683.0,150.0,17.0,-,93.0,95.0,977.0,531.0,-,-,7620.0
Chesterfield,4211.0,2371.0,219.0,14.0,-,103.0,285.0,2089.0,2670.0,-,-,11962.0
Chickahominy,2332.0,652.0,29.0,15.0,-,28.0,51.0,861.0,167.0,-,-,4135.0
Crater,1649.0,3029.0,47.0,7.0,-,23.0,96.0,1294.0,306.0,-,-,6451.0
Cumberland Plateau,3052.0,96.0,,,-,5.0,7.0,548.0,32.0,-,-,3748.0
Eastern Shore,500.0,969.0,,,-,1.0,16.0,78.0,304.0,-,-,1875.0
Fairfax,8855.0,2944.0,3607.0,57.0,-,341.0,1707.0,5188.0,14741.0,-,-,37440.0
Hampton,737.0,1533.0,31.0,4.0,-,51.0,120.0,793.0,142.0,-,-,3411.0
Henrico,3055.0,3000.0,462.0,21.0,-,144.0,308.0,1898.0,1199.0,-,-,10087.0
Lenowisco,3123.0,91.0,,,-,38.0,12.0,476.0,64.0,-,-,3819.0
Lord Fairfax,5228.0,311.0,62.0,6.0,-,63.0,183.0,1080.0,1202.0,-,-,8135.0
Loudoun,3261.0,524.0,884.0,10.0,-,140.0,814.0,3017.0,3287.0,-,-,11937.0
Mount Rogers,6712.0,196.0,16.0,,-,52.0,35.0,936.0,412.0,-,-,8363.0
New River,4733.0,353.0,174.0,6.0,-,123.0,32.0,1991.0,294.0,-,-,7706.0
Norfolk,1738.0,3215.0,113.0,14.0,-,91.0,148.0,1510.0,566.0,-,-,7395.0
Peninsula,2398.0,2093.0,111.0,8.0,-,120.0,310.0,2050.0,607.0,-,-,7697.0
Piedmont,1390.0,1029.0,15.0,7.0,-,64.0,23.0,1298.0,93.0,-,-,3919.0
Pittsylvania-Danville,1493.0,1299.0,7.0,,-,13.0,6.0,1162.0,131.0,-,-,4117.0
Portsmouth,669.0,2123.0,26.0,4.0,-,33.0,84.0,562.0,122.0,-,-,3623.0
Prince William,3771.0,2598.0,1133.0,42.0,-,262.0,1247.0,6037.0,9584.0,-,-,24674.0
Rappahannock,3266.0,1507.0,190.0,10.0,-,105.0,334.0,2703.0,1961.0,-,-,10076.0
Rappahannock Rapidan,2423.0,590.0,31.0,6.0,-,62.0,67.0,1216.0,1145.0,-,-,5540.0
Richmond,1692.0,2746.0,104.0,6.0,-,89.0,219.0,1232.0,1616.0,-,-,7704.0
Roanoke,1478.0,977.0,88.0,,-,33.0,59.0,1391.0,630.0,-,-,4658.0
Southside,754.0,824.0,5.0,,-,137.0,20.0,791.0,18.0,-,-,2549.0
Thomas Jefferson,3344.0,858.0,185.0,7.0,-,132.0,228.0,561.0,1005.0,-,-,6320.0
Three Rivers,1721.0,1119.0,,,-,31.0,44.0,411.0,246.0,-,-,3592.0
Virginia Beach,5287.0,2740.0,537.0,18.0,-,169.0,236.0,3282.0,922.0,-,-,13191.0
West Piedmont,2922.0,966.0,23.0,4.0,-,27.0,27.0,1196.0,421.0,-,-,5586.0
Western Tidewater,1841.0,2602.0,26.0,5.0,-,85.0,121.0,1370.0,79.0,-,-,6129.0
