date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-10-29,Adams,484,-,-,-,-,-,21,29,43,431,72,546
2020-10-29,Ashland,173,-,-,47,-,-,-,56,-,189,91,282
2020-10-29,Barron,816,111,5,5,-,-,122,119,161,875,142,1178
2020-10-29,Bayfield,139,-,-,36,-,-,7,62,-,166,77,245
2020-10-29,Brown,11428,595,398,635,-,-,1422,1260,2877,10865,1996,15738
2020-10-29,Buffalo,279,-,-,-,-,-,7,-,13,275,6,294
2020-10-29,Burnett,261,-,-,20,-,-,6,23,-,283,27,314
2020-10-29,Calumet,2297,29,32,10,-,-,105,266,186,2097,456,2739
2020-10-29,Chippewa,1509,26,16,6,-,-,16,216,20,1517,252,1789
2020-10-29,Clark,575,-,-,-,-,-,15,318,162,489,258,909
2020-10-29,Columbia,1532,58,9,16,-,-,114,91,141,1332,347,1820
2020-10-29,Crawford,324,-,-,-,-,-,-,16,-,323,22,347
2020-10-29,Dane,11262,1075,527,101,-,-,1863,325,1992,12039,1122,15153
2020-10-29,Dodge,2981,323,34,38,-,-,356,611,491,2560,1292,4343
2020-10-29,Door,752,6,8,-,-,-,23,81,60,709,102,871
2020-10-29,Douglas,615,20,-,8,-,-,11,140,19,594,185,798
2020-10-29,Dunn,900,11,33,-,-,-,36,118,24,915,163,1102
2020-10-29,Eau Claire,3134,65,122,14,-,-,110,211,108,3266,282,3656
2020-10-29,Florence,160,-,-,-,-,-,-,49,-,147,67,214
2020-10-29,Fond du Lac,3924,101,33,5,-,-,144,488,461,3392,842,4695
2020-10-29,Forest,366,-,-,96,-,-,-,20,-,446,38,486
2020-10-29,Grant,1590,8,8,-,-,-,56,242,71,1524,311,1906
2020-10-29,Green,918,-,-,-,-,-,30,24,75,855,52,982
2020-10-29,Green Lake,680,-,-,-,-,-,30,52,85,581,101,767
2020-10-29,Iowa,469,-,-,-,-,-,9,17,18,454,28,500
2020-10-29,Iron,149,-,-,-,-,-,-,38,6,122,66,194
2020-10-29,Jackson,430,36,5,55,-,-,8,10,25,488,31,544
2020-10-29,Jefferson,2232,37,19,35,-,-,265,252,509,1981,350,2840
2020-10-29,Juneau,543,55,-,23,-,-,22,162,23,569,216,808
2020-10-29,Kenosha,3737,448,69,11,-,-,425,551,1067,3045,1129,5241
2020-10-29,Kewaunee,940,-,-,-,-,-,39,117,63,854,188,1105
2020-10-29,La Crosse,3328,88,184,9,-,-,109,648,67,3332,967,4366
2020-10-29,Lafayette,445,-,-,-,-,-,65,47,121,397,44,562
2020-10-29,Langlade,907,6,-,8,-,-,16,87,19,513,492,1024
2020-10-29,Lincoln,682,-,-,-,-,-,16,129,15,553,266,834
2020-10-29,Manitowoc,2416,25,43,9,-,-,55,319,217,2203,447,2867
2020-10-29,Marathon,4043,51,275,15,-,-,108,404,212,2734,1950,4896
2020-10-29,Marinette,1587,10,8,7,-,-,57,108,41,1580,156,1777
2020-10-29,Marquette,591,-,-,-,-,-,15,18,46,477,105,628
2020-10-29,Menominee,16,-,-,283,-,-,9,6,-,295,18,315
2020-10-29,Milwaukee,21220,9721,1533,280,-,-,4890,3648,11327,23929,6036,41292
2020-10-29,Monroe,1029,9,10,22,-,-,62,34,137,971,58,1166
2020-10-29,Oconto,1960,-,-,29,-,-,35,130,98,1857,203,2158
2020-10-29,Oneida,936,-,-,15,-,-,19,312,17,852,418,1287
2020-10-29,Outagamie,7222,102,181,240,-,-,434,1264,577,7054,1812,9443
2020-10-29,Ozaukee,2057,50,41,7,-,-,64,121,106,2018,216,2340
2020-10-29,Pepin,140,-,-,-,-,-,7,7,10,138,8,156
2020-10-29,Pierce,676,17,-,-,-,-,5,35,39,648,50,737
2020-10-29,Polk,533,-,-,-,-,-,7,37,8,521,55,584
2020-10-29,Portage,2366,35,154,-,-,-,93,163,170,2300,345,2815
2020-10-29,Price,178,-,-,-,-,-,-,189,-,158,213,372
2020-10-29,Racine,5460,1431,46,25,-,-,501,141,1745,5501,358,7604
2020-10-29,Richland,324,-,5,-,-,-,19,128,35,300,143,478
2020-10-29,Rock,3921,316,74,23,-,-,470,393,851,3697,649,5197
2020-10-29,Rusk,117,-,-,-,-,-,-,102,5,125,93,223
2020-10-29,Sauk,1494,21,14,39,-,-,174,68,258,1438,114,1810
2020-10-29,Sawyer,262,-,-,64,-,-,16,44,-,310,77,391
2020-10-29,Shawano,1699,5,5,260,-,-,85,452,101,1712,693,2506
2020-10-29,Sheboygan,3473,455,156,35,-,-,186,624,558,3372,999,4929
2020-10-29,St. Croix,1629,14,12,-,-,-,33,223,86,1560,266,1912
2020-10-29,Taylor,485,-,-,-,-,-,5,10,47,446,9,502
2020-10-29,Trempealeau,851,10,7,-,-,-,95,99,266,685,114,1065
2020-10-29,Vernon,480,-,-,-,-,-,5,25,10,462,43,515
2020-10-29,Vilas,411,-,-,52,-,-,8,110,8,426,151,585
2020-10-29,Walworth,2788,57,14,14,-,-,238,338,657,2354,438,3449
2020-10-29,Washburn,244,-,-,-,-,-,-,-,5,246,-,252
2020-10-29,Washington,4244,45,34,12,-,-,122,126,188,3717,678,4583
2020-10-29,Waukesha,10498,256,214,35,-,-,519,1206,893,8910,2925,12728
2020-10-29,Waupaca,1976,12,8,10,-,-,143,308,99,1842,516,2457
2020-10-29,Waushara,878,38,6,9,-,-,65,55,169,766,116,1051
2020-10-29,Winnebago,7368,371,220,67,-,-,375,559,510,7079,1371,8960
2020-10-29,Wood,1580,8,22,24,-,-,47,92,59,1448,266,1773
