date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-10-25,Adams,406,-,-,-,-,-,14,23,36,362,55,453
2020-10-25,Ashland,161,-,-,47,-,-,-,52,-,180,83,265
2020-10-25,Barron,696,93,-,5,-,-,119,99,161,739,116,1016
2020-10-25,Bayfield,116,-,-,33,-,-,5,53,-,139,67,208
2020-10-25,Brown,10618,560,366,590,-,-,1354,1092,2722,10097,1761,14580
2020-10-25,Buffalo,235,-,-,-,-,-,7,-,12,231,5,248
2020-10-25,Burnett,245,-,-,20,-,-,5,19,-,266,23,293
2020-10-25,Calumet,2184,29,31,10,-,-,102,252,180,1999,429,2608
2020-10-25,Chippewa,1179,13,13,5,-,-,13,174,17,1181,199,1397
2020-10-25,Clark,508,-,-,-,-,-,11,293,145,436,232,813
2020-10-25,Columbia,1418,57,9,14,-,-,109,85,134,1237,321,1692
2020-10-25,Crawford,297,-,-,-,-,-,-,13,-,295,18,316
2020-10-25,Dane,10528,994,491,88,-,-,1720,305,1786,11300,1040,14126
2020-10-25,Dodge,2653,255,32,34,-,-,285,558,456,2199,1162,3817
2020-10-25,Door,648,5,6,-,-,-,22,70,56,605,90,751
2020-10-25,Douglas,571,20,-,7,-,-,11,142,19,549,186,754
2020-10-25,Dunn,805,11,33,-,-,-,36,105,23,825,146,994
2020-10-25,Eau Claire,2728,53,97,10,-,-,105,149,99,2829,214,3142
2020-10-25,Florence,153,-,-,-,-,-,-,48,-,142,64,206
2020-10-25,Fond du Lac,3455,88,20,-,-,-,136,424,432,2972,723,4127
2020-10-25,Forest,349,-,-,73,-,-,-,18,-,410,32,444
2020-10-25,Grant,1475,7,8,-,-,-,55,233,69,1413,298,1780
2020-10-25,Green,856,-,-,-,-,-,29,23,74,794,49,917
2020-10-25,Green Lake,626,-,-,-,-,-,26,49,78,533,95,706
2020-10-25,Iowa,402,-,-,-,-,-,8,17,17,388,27,432
2020-10-25,Iron,138,-,-,-,-,-,-,38,6,116,61,183
2020-10-25,Jackson,354,20,-,45,-,-,7,10,22,395,22,439
2020-10-25,Jefferson,2003,35,19,28,-,-,242,227,469,1774,311,2554
2020-10-25,Juneau,500,47,-,21,-,-,20,153,22,517,205,744
2020-10-25,Kenosha,3452,423,63,10,-,-,387,514,1007,2806,1036,4849
2020-10-25,Kewaunee,877,-,-,-,-,-,38,110,62,792,180,1034
2020-10-25,La Crosse,3107,83,152,7,-,-,109,625,60,3103,920,4083
2020-10-25,Lafayette,404,-,-,-,-,-,60,42,113,360,38,511
2020-10-25,Langlade,791,-,-,7,-,-,12,72,18,435,433,886
2020-10-25,Lincoln,603,-,-,-,-,-,16,117,15,476,251,742
2020-10-25,Manitowoc,2214,23,42,7,-,-,47,303,219,2014,403,2636
2020-10-25,Marathon,3564,47,231,14,-,-,91,358,200,2431,1674,4305
2020-10-25,Marinette,1458,10,8,6,-,-,38,108,38,1440,150,1628
2020-10-25,Marquette,563,-,-,-,-,-,12,16,45,454,96,595
2020-10-25,Menominee,15,-,-,254,-,-,8,5,-,262,19,283
2020-10-25,Milwaukee,19859,9195,1454,264,-,-,4668,3520,10913,22382,5665,38960
2020-10-25,Monroe,942,7,9,20,-,-,57,34,132,881,56,1069
2020-10-25,Oconto,1870,-,-,28,-,-,35,125,96,1774,192,2062
2020-10-25,Oneida,841,-,-,11,-,-,18,297,15,757,400,1172
2020-10-25,Outagamie,6763,94,174,225,-,-,405,1201,539,6611,1712,8862
2020-10-25,Ozaukee,1887,44,37,7,-,-,57,98,99,1865,166,2130
2020-10-25,Pepin,118,-,-,-,-,-,7,5,10,115,7,132
2020-10-25,Pierce,613,15,-,-,-,-,5,29,38,584,43,665
2020-10-25,Polk,475,-,-,-,-,-,5,38,6,463,56,525
2020-10-25,Portage,2195,32,153,-,-,-,81,185,165,2134,350,2649
2020-10-25,Price,158,-,-,-,-,-,-,182,-,146,198,345
2020-10-25,Racine,4982,1340,42,21,-,-,471,119,1636,5045,294,6975
2020-10-25,Richland,298,-,5,-,-,-,18,124,35,275,137,447
2020-10-25,Rock,3578,296,67,22,-,-,414,357,777,3380,577,4734
2020-10-25,Rusk,106,-,-,-,-,-,-,88,5,111,82,198
2020-10-25,Sauk,1349,21,14,38,-,-,156,64,238,1299,105,1642
2020-10-25,Sawyer,238,-,-,61,-,-,16,44,-,284,76,364
2020-10-25,Shawano,1589,-,5,236,-,-,78,416,89,1598,641,2328
2020-10-25,Sheboygan,3035,442,146,33,-,-,177,544,472,2986,919,4377
2020-10-25,St. Croix,1441,10,12,-,-,-,31,198,82,1377,234,1693
2020-10-25,Taylor,448,-,-,-,-,-,5,8,49,404,9,462
2020-10-25,Trempealeau,757,10,7,-,-,-,95,94,265,595,106,966
2020-10-25,Vernon,439,-,-,-,-,-,5,24,9,422,42,473
2020-10-25,Vilas,366,-,-,52,-,-,8,109,8,381,149,538
2020-10-25,Walworth,2670,54,13,14,-,-,234,337,645,2241,436,3322
2020-10-25,Washburn,223,-,-,-,-,-,-,-,5,222,-,229
2020-10-25,Washington,3962,43,34,12,-,-,119,99,180,3553,536,4269
2020-10-25,Waukesha,9627,240,203,34,-,-,476,1113,832,8239,2622,11693
2020-10-25,Waupaca,1826,10,8,10,-,-,132,288,93,1705,476,2274
2020-10-25,Waushara,800,35,6,9,-,-,62,50,157,702,103,962
2020-10-25,Winnebago,6969,348,204,66,-,-,354,530,484,6717,1270,8471
2020-10-25,Wood,1446,5,22,20,-,-,44,84,55,1323,243,1621
