date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-07-26,Adams,54,-,-,-,-,-,-,-,12,44,5,61
2020-07-26,Ashland,9,-,-,-,-,-,-,-,-,11,-,15
2020-07-26,Barron,83,13,-,-,-,-,11,7,17,89,10,116
2020-07-26,Bayfield,13,-,-,-,-,-,-,-,-,14,-,18
2020-07-26,Brown,2164,190,134,161,-,-,818,299,1606,1932,228,3766
2020-07-26,Buffalo,36,-,-,-,-,-,-,-,-,33,-,36
2020-07-26,Burnett,8,-,-,-,-,-,-,-,-,9,-,9
2020-07-26,Calumet,167,7,9,-,-,-,8,24,52,137,26,215
2020-07-26,Chippewa,174,-,-,-,-,-,-,13,-,177,14,192
2020-07-26,Clark,101,-,-,-,-,-,-,55,72,77,8,157
2020-07-26,Columbia,159,7,-,-,-,-,11,13,17,158,20,195
2020-07-26,Crawford,48,-,-,-,-,-,-,-,-,50,-,52
2020-07-26,Dane,2659,494,150,27,-,-,325,176,580,3087,164,3831
2020-07-26,Dodge,344,80,13,-,-,-,126,51,127,295,195,617
2020-07-26,Door,60,-,-,-,-,-,-,17,10,47,25,82
2020-07-26,Douglas,72,-,-,-,-,-,-,18,5,61,26,92
2020-07-26,Dunn,67,-,5,-,-,-,-,15,-,68,16,88
2020-07-26,Eau Claire,368,10,18,-,-,-,18,18,20,384,29,433
2020-07-26,Florence,5,-,-,-,-,-,-,-,-,5,-,5
2020-07-26,Fond du Lac,338,46,-,-,-,-,18,90,118,267,108,493
2020-07-26,Forest,49,-,-,7,-,-,-,-,-,57,-,57
2020-07-26,Grant,218,-,-,-,-,-,10,57,9,220,57,286
2020-07-26,Green,98,-,-,-,-,-,7,10,24,91,5,120
2020-07-26,Green Lake,42,-,-,-,-,-,-,-,11,31,7,49
2020-07-26,Iowa,48,-,-,-,-,-,-,7,9,38,10,57
2020-07-26,Iron,42,-,-,-,-,-,-,14,-,31,27,60
2020-07-26,Jackson,22,-,-,14,-,-,-,-,-,38,-,39
2020-07-26,Jefferson,350,7,10,15,-,-,78,51,190,279,42,511
2020-07-26,Juneau,80,-,-,5,-,-,-,16,6,83,18,107
2020-07-26,Kenosha,1516,286,38,-,-,-,227,175,609,1257,379,2245
2020-07-26,Kewaunee,72,-,-,-,-,-,10,16,23,62,15,100
2020-07-26,La Crosse,606,18,41,-,-,-,19,51,18,631,86,735
2020-07-26,Lafayette,56,-,-,-,-,-,25,18,50,47,-,99
2020-07-26,Langlade,26,-,-,-,-,-,-,-,-,14,16,30
2020-07-26,Lincoln,42,-,-,-,-,-,-,6,-,33,16,52
2020-07-26,Manitowoc,197,-,19,-,-,-,8,18,32,190,25,247
2020-07-26,Marathon,368,11,74,-,-,-,15,25,84,326,84,494
2020-07-26,Marinette,208,-,-,-,-,-,5,11,16,206,9,231
2020-07-26,Marquette,59,-,-,-,-,-,-,-,31,35,-,67
2020-07-26,Menominee,-,-,-,16,-,-,-,-,-,14,-,17
2020-07-26,Milwaukee,7820,5198,758,97,-,-,2188,2079,5720,9883,2537,18140
2020-07-26,Monroe,156,-,-,7,-,-,-,10,5,153,19,177
2020-07-26,Oconto,128,-,-,-,-,-,-,10,6,123,11,140
2020-07-26,Oneida,29,-,-,-,-,-,-,39,-,22,46,69
2020-07-26,Outagamie,692,13,33,47,-,-,42,138,128,668,169,965
2020-07-26,Ozaukee,411,18,15,-,-,-,15,9,18,438,12,468
2020-07-26,Pepin,31,-,-,-,-,-,5,-,9,29,-,38
2020-07-26,Pierce,136,-,-,-,-,-,-,7,24,115,9,148
2020-07-26,Polk,84,-,-,-,-,-,-,8,-,77,17,97
2020-07-26,Portage,250,-,17,-,-,-,34,16,66,234,21,321
2020-07-26,Price,13,-,-,-,-,-,-,6,-,15,-,19
2020-07-26,Racine,1869,756,17,-,-,-,222,38,920,1938,48,2906
2020-07-26,Richland,18,-,-,-,-,-,-,-,-,16,-,21
2020-07-26,Rock,813,142,29,8,-,-,119,179,342,750,198,1290
2020-07-26,Rusk,8,-,-,-,-,-,-,5,-,9,-,13
2020-07-26,Sauk,230,-,-,-,-,-,31,20,67,205,16,288
2020-07-26,Sawyer,16,-,-,-,-,-,-,-,-,19,-,24
2020-07-26,Shawano,64,-,-,13,-,-,5,47,13,78,38,129
2020-07-26,Sheboygan,361,14,14,-,-,-,36,48,93,325,55,473
2020-07-26,St. Croix,310,6,7,-,-,-,14,53,46,279,65,390
2020-07-26,Taylor,35,-,-,-,-,-,-,-,5,35,-,41
2020-07-26,Trempealeau,193,-,-,-,-,-,31,29,113,127,22,262
2020-07-26,Vernon,45,-,-,-,-,-,-,-,-,46,-,48
2020-07-26,Vilas,13,-,-,-,-,-,-,8,-,11,11,22
2020-07-26,Walworth,787,10,8,-,-,-,81,162,308,565,178,1051
2020-07-26,Washburn,9,-,-,-,-,-,-,-,-,8,-,10
2020-07-26,Washington,594,23,7,6,-,-,42,28,76,582,42,700
2020-07-26,Waukesha,2293,116,68,9,-,-,133,382,326,2099,576,3001
2020-07-26,Waupaca,257,-,-,-,-,-,27,22,23,254,35,312
2020-07-26,Waushara,56,-,-,-,-,-,-,11,12,49,8,69
2020-07-26,Winnebago,716,48,43,8,-,-,46,93,93,732,129,954
2020-07-26,Wood,137,-,6,-,-,-,8,13,11,129,25,165
