date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-10-28,Adams,454,-,5,-,-,-,19,29,41,404,70,515
2020-10-28,Ashland,169,-,-,48,-,-,-,56,-,187,90,279
2020-10-28,Barron,780,105,5,5,-,-,122,115,161,833,138,1132
2020-10-28,Bayfield,133,-,-,35,-,-,6,55,-,157,71,230
2020-10-28,Brown,11180,580,386,619,-,-,1399,1213,2824,10629,1924,15377
2020-10-28,Buffalo,258,-,-,-,-,-,7,5,13,253,7,273
2020-10-28,Burnett,258,-,-,20,-,-,6,23,-,280,27,311
2020-10-28,Calumet,2259,29,32,10,-,-,104,260,185,2063,446,2694
2020-10-28,Chippewa,1424,25,16,5,-,-,16,199,20,1427,238,1685
2020-10-28,Clark,559,-,-,-,-,-,15,314,159,475,255,889
2020-10-28,Columbia,1505,58,9,15,-,-,114,87,140,1308,340,1788
2020-10-28,Crawford,318,-,-,-,-,-,-,15,-,317,21,340
2020-10-28,Dane,11080,1050,519,100,-,-,1840,340,1959,11843,1127,14929
2020-10-28,Dodge,2844,312,33,36,-,-,347,586,473,2437,1248,4158
2020-10-28,Door,707,5,6,-,-,-,22,82,59,662,101,822
2020-10-28,Douglas,606,20,-,8,-,-,11,132,19,586,176,781
2020-10-28,Dunn,869,11,33,-,-,-,36,113,23,888,155,1066
2020-10-28,Eau Claire,3048,60,117,12,-,-,109,185,105,3170,256,3531
2020-10-28,Florence,156,-,-,-,-,-,-,48,-,144,65,209
2020-10-28,Fond du Lac,3812,100,29,5,-,-,146,472,456,3287,821,4564
2020-10-28,Forest,361,-,-,90,-,-,-,20,-,435,38,475
2020-10-28,Grant,1570,7,8,-,-,-,56,238,69,1503,309,1881
2020-10-28,Green,894,-,-,-,-,-,30,23,75,831,51,957
2020-10-28,Green Lake,666,-,-,-,-,-,28,52,82,568,101,751
2020-10-28,Iowa,449,-,-,-,-,-,9,17,18,434,28,480
2020-10-28,Iron,146,-,-,-,-,-,-,38,6,119,66,191
2020-10-28,Jackson,397,24,-,51,-,-,8,10,23,447,24,494
2020-10-28,Jefferson,2183,36,19,32,-,-,257,241,496,1940,332,2768
2020-10-28,Juneau,528,51,-,21,-,-,22,159,23,547,214,784
2020-10-28,Kenosha,3652,438,68,10,-,-,415,535,1049,2979,1090,5118
2020-10-28,Kewaunee,910,-,-,-,-,-,38,116,63,825,185,1073
2020-10-28,La Crosse,3238,84,176,8,-,-,110,640,63,3244,949,4256
2020-10-28,Lafayette,437,-,-,-,-,-,63,45,120,389,41,550
2020-10-28,Langlade,876,5,-,8,-,-,14,80,19,489,475,983
2020-10-28,Lincoln,652,-,-,-,-,-,16,127,15,529,258,802
2020-10-28,Manitowoc,2354,25,43,7,-,-,55,304,218,2149,421,2788
2020-10-28,Marathon,3922,48,265,14,-,-,101,378,210,2640,1878,4728
2020-10-28,Marinette,1548,10,8,7,-,-,56,109,40,1543,155,1738
2020-10-28,Marquette,579,-,-,-,-,-,13,20,47,464,105,616
2020-10-28,Menominee,16,-,-,274,-,-,8,5,-,284,18,304
2020-10-28,Milwaukee,20835,9543,1514,276,-,-,4831,3610,11221,23478,5910,40609
2020-10-28,Monroe,998,8,10,22,-,-,59,35,135,941,56,1132
2020-10-28,Oconto,1918,-,-,28,-,-,35,129,98,1817,199,2114
2020-10-28,Oneida,897,-,-,13,-,-,18,306,15,814,410,1239
2020-10-28,Outagamie,7080,98,179,236,-,-,424,1234,573,6916,1762,9251
2020-10-28,Ozaukee,1979,49,40,7,-,-,63,108,105,1952,189,2246
2020-10-28,Pepin,130,-,-,-,-,-,7,7,10,128,8,146
2020-10-28,Pierce,646,16,-,-,-,-,5,33,38,618,47,703
2020-10-28,Polk,511,-,-,-,-,-,7,38,8,499,56,563
2020-10-28,Portage,2323,34,154,-,-,-,90,171,168,2253,355,2776
2020-10-28,Price,176,-,-,-,-,-,-,186,-,156,210,367
2020-10-28,Racine,5358,1402,44,23,-,-,487,143,1716,5383,358,7457
2020-10-28,Richland,318,-,5,-,-,-,19,127,35,294,142,471
2020-10-28,Rock,3875,313,74,23,-,-,462,391,849,3649,640,5138
2020-10-28,Rusk,112,-,-,-,-,-,-,95,5,117,89,211
2020-10-28,Sauk,1470,21,14,39,-,-,174,67,257,1417,111,1785
2020-10-28,Sawyer,254,-,-,61,-,-,16,44,-,300,76,380
2020-10-28,Shawano,1661,-,5,253,-,-,82,436,100,1673,668,2441
2020-10-28,Sheboygan,3364,450,154,34,-,-,187,613,548,3275,979,4802
2020-10-28,St. Croix,1583,14,12,-,-,-,32,216,85,1517,256,1858
2020-10-28,Taylor,473,-,-,-,-,-,5,9,47,432,9,488
2020-10-28,Trempealeau,824,10,7,-,-,-,95,97,266,660,110,1036
2020-10-28,Vernon,464,-,-,-,-,-,5,25,10,446,43,499
2020-10-28,Vilas,396,-,-,52,-,-,8,103,7,413,143,563
2020-10-28,Walworth,2748,57,14,14,-,-,238,340,654,2317,440,3411
2020-10-28,Washburn,237,-,-,-,-,-,-,-,6,238,-,245
2020-10-28,Washington,4180,45,34,12,-,-,120,117,185,3697,626,4508
2020-10-28,Waukesha,10263,251,212,35,-,-,500,1185,876,8721,2849,12446
2020-10-28,Waupaca,1931,12,8,10,-,-,139,299,98,1797,504,2399
2020-10-28,Waushara,855,38,6,8,-,-,64,54,168,745,112,1025
2020-10-28,Winnebago,7244,365,214,67,-,-,368,541,501,6962,1336,8799
2020-10-28,Wood,1532,6,22,23,-,-,46,79,58,1407,243,1708
