,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
22,2020-11-05,APPLING,614,210,6,-,-,-,3,116,668,360,409,1193
20,2020-11-05,ATKINSON,243,56,0,-,-,-,0,151,227,193,114,492
29,2020-11-05,BACON,399,90,2,-,-,-,0,103,439,153,102,644
25,2020-11-05,BAKER,43,47,0,-,-,-,0,10,74,8,14,98
4,2020-11-05,BALDWIN,1150,681,15,-,-,-,1,59,1608,523,703,2370
26,2020-11-05,BANKS,459,19,6,-,-,-,1,41,427,111,128,596
30,2020-11-05,BARROW,1650,331,72,-,-,-,1,345,1685,704,728,2758
27,2020-11-05,BARTOW,2173,387,35,-,-,-,4,485,1874,1250,1490,3849
28,2020-11-05,BEN HILL,391,261,4,-,-,-,0,41,608,245,252,901
110,2020-11-05,BERRIEN,352,67,0,-,-,-,2,29,408,86,70,507
1,2020-11-05,BIBB,1742,3694,59,-,-,-,0,162,5013,1328,1648,6823
31,2020-11-05,BLECKLEY,324,166,2,-,-,-,0,17,440,25,60,517
32,2020-11-05,BRANTLEY,374,22,1,-,-,-,0,3,387,93,100,490
127,2020-11-05,BROOKS,183,233,1,-,-,-,0,40,366,137,148,554
122,2020-11-05,BRYAN,845,207,13,-,-,-,1,49,977,270,310,1336
36,2020-11-05,BULLOCH,1702,715,19,-,-,-,0,129,2213,725,819,3161
121,2020-11-05,BURKE,261,494,3,-,-,-,0,31,664,159,222,917
33,2020-11-05,BUTTS,385,226,2,-,-,-,0,11,522,164,244,777
129,2020-11-05,CALHOUN,65,165,2,-,-,-,0,10,202,46,66,278
117,2020-11-05,CAMDEN,825,342,16,-,-,-,0,72,1065,315,361,1498
34,2020-11-05,CANDLER,279,112,0,-,-,-,2,82,341,172,142,565
107,2020-11-05,CARROLL,1934,761,7,-,-,-,1,242,1635,855,1681,3558
35,2020-11-05,CATOOSA,1026,48,8,-,-,-,3,49,879,531,688,1616
37,2020-11-05,CHARLTON,215,133,5,-,-,-,0,98,262,303,296,656
38,2020-11-05,CHATHAM,3946,3874,159,-,-,-,10,638,7106,1741,1986,9730
41,2020-11-05,CHATTAHOOCHEE,1269,226,31,-,-,-,0,111,606,313,1122,1839
42,2020-11-05,CHATTOOGA,518,81,3,-,-,-,4,83,462,422,483,1028
130,2020-11-05,CHEROKEE,5380,417,74,-,-,-,2,1306,4407,1809,1969,7682
2,2020-11-05,CLARKE,3411,959,219,-,-,-,1,741,3797,1446,1498,6036
