,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
124,2020-10-31 04:00:00,TURNER,109,158,1,-,-,-,0,71,12,260,67,339
91,2020-10-31 04:00:00,TWIGGS,46,144,1,-,-,-,0,33,2,168,54,224
117,2020-10-31 04:00:00,UNION,817,5,1,-,-,-,1,88,15,772,125,912
0,2020-10-31 04:00:00,UNKNOWN,174,76,12,-,-,-,0,1639,72,209,1620,1901
92,2020-10-31 04:00:00,UPSON,374,307,1,-,-,-,0,161,16,674,153,843
159,2020-10-31 04:00:00,WALKER,1199,97,11,-,-,-,1,644,58,1019,875,1952
24,2020-10-31 04:00:00,WALTON,1258,485,30,-,-,-,4,617,110,1522,762,2394
101,2020-10-31 04:00:00,WARE,762,520,7,-,-,-,1,475,74,1143,548,1765
114,2020-10-31 04:00:00,WARREN,32,106,0,-,-,-,0,32,1,126,43,170
160,2020-10-31 04:00:00,WASHINGTON,251,386,0,-,-,-,0,155,16,545,231,792
161,2020-10-31 04:00:00,WAYNE,580,147,6,-,-,-,1,534,48,656,564,1268
122,2020-10-31 04:00:00,WEBSTER,14,29,0,-,-,-,0,1,0,43,1,44
156,2020-10-31 04:00:00,WHEELER,148,69,2,-,-,-,0,151,6,203,161,370
16,2020-10-31 04:00:00,WHITE,889,19,1,-,-,-,0,113,16,843,163,1022
103,2020-10-31 04:00:00,WHITFIELD,3572,147,40,-,-,-,0,1942,2777,1604,1320,5701
10,2020-10-31 04:00:00,WILCOX,131,112,1,-,-,-,0,15,6,226,27,259
98,2020-10-31 04:00:00,WILKES,137,137,0,-,-,-,0,43,22,253,42,317
115,2020-10-31 04:00:00,WILKINSON,136,167,0,-,-,-,0,71,4,271,99,374
121,2020-10-31 04:00:00,WORTH,279,291,1,-,-,-,0,41,9,534,69,612
