,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
25,2020-12-19,APPLING,731,246,7,-,-,-,2,118,818,381,431,1367
26,2020-12-19,ATKINSON,301,107,0,-,-,-,0,163,326,197,116,605
22,2020-12-19,BACON,490,104,4,-,-,-,0,110,547,162,103,760
23,2020-12-19,BAKER,60,56,0,-,-,-,0,16,94,8,14,124
0,2020-12-19,BALDWIN,1352,841,22,-,-,-,1,75,1964,564,741,2780
28,2020-12-19,BANKS,811,29,9,-,-,-,1,62,739,222,271,1072
31,2020-12-19,BARROW,2605,514,126,-,-,-,2,510,2639,1113,1211,4360
27,2020-12-19,BARTOW,3546,566,51,-,-,-,8,646,3161,1879,2243,6050
29,2020-12-19,BEN HILL,527,351,5,-,-,-,0,61,833,277,266,1160
107,2020-12-19,BERRIEN,521,98,0,-,-,-,2,47,600,112,86,733
4,2020-12-19,BIBB,2340,4961,100,-,-,-,1,202,6840,1301,1661,8703
30,2020-12-19,BLECKLEY,396,182,2,-,-,-,0,21,526,32,65,612
32,2020-12-19,BRANTLEY,491,24,1,-,-,-,0,6,494,111,127,627
127,2020-12-19,BROOKS,240,327,1,-,-,-,0,54,493,172,193,740
121,2020-12-19,BRYAN,1088,271,20,-,-,-,3,80,1273,298,327,1680
36,2020-12-19,BULLOCH,1992,872,27,-,-,-,2,149,2668,699,775,3592
122,2020-12-19,BURKE,346,600,4,-,-,-,0,34,848,175,243,1125
33,2020-12-19,BUTTS,641,289,3,-,-,-,0,14,779,251,391,1184
133,2020-12-19,CALHOUN,69,175,2,-,-,-,0,5,224,56,73,302
115,2020-12-19,CAMDEN,1263,425,22,-,-,-,0,102,1574,380,414,2090
37,2020-12-19,CANDLER,316,119,2,-,-,-,0,81,389,162,129,599
106,2020-12-19,CARROLL,2854,1042,28,-,-,-,2,318,2651,1090,2047,5016
34,2020-12-19,CATOOSA,1947,64,20,-,-,-,3,67,1734,1009,1242,3043
35,2020-12-19,CHARLTON,290,174,6,-,-,-,0,105,361,331,335,801
43,2020-12-19,CHATHAM,5221,4881,250,-,-,-,18,833,9228,1835,2144,12205
39,2020-12-19,CHATTAHOOCHEE,1478,274,35,-,-,-,0,135,696,352,1308,2139
38,2020-12-19,CHATTOOGA,798,105,5,-,-,-,3,92,732,533,620,1444
132,2020-12-19,CHEROKEE,8231,619,125,-,-,-,4,1772,6986,2758,2979,11737
3,2020-12-19,CLARKE,4499,1552,289,-,-,-,4,960,5285,1673,1772,8017
134,2020-12-19,CLAY,35,82,0,-,-,-,1,5,110,22,25,140
40,2020-12-19,CLAYTON,1530,7006,407,-,-,-,9,1795,7058,3487,3586,12439
41,2020-12-19,CLINCH,253,150,3,-,-,-,1,20,393,115,109,522
42,2020-12-19,COBB,15184,8346,902,-,-,-,28,6822,19363,9487,7762,33947
10,2020-12-19,COFFEE,1523,964,11,-,-,-,2,359,2141,770,770,3270
45,2020-12-19,COLQUITT,1354,471,16,-,-,-,1,775,1376,613,304,2455
13,2020-12-19,COLUMBIA,3560,1418,175,-,-,-,4,263,4568,1559,1885,6716
101,2020-12-19,COOK,496,260,2,-,-,-,0,56,740,185,147,943
44,2020-12-19,COWETA,2693,1017,43,-,-,-,2,408,3270,1030,1107,4785
105,2020-12-19,CRAWFORD,174,100,0,-,-,-,0,4,253,53,70,327
46,2020-12-19,CRISP,337,403,9,-,-,-,1,42,674,167,201,917
48,2020-12-19,DADE,466,8,5,-,-,-,0,17,421,196,237,675
136,2020-12-19,DAWSON,1255,9,6,-,-,-,1,80,1174,239,256,1510
47,2020-12-19,DECATUR,694,621,3,-,-,-,1,137,1121,232,293,1551
120,2020-12-19,DEKALB,7984,14983,1464,-,-,-,24,4171,20036,8292,8540,32747
118,2020-12-19,DODGE,470,273,3,-,-,-,0,10,675,46,107,792
54,2020-12-19,DOOLY,188,261,2,-,-,-,0,33,410,59,67,510
52,2020-12-19,DOUGHERTY,711,2766,19,-,-,-,0,90,3188,351,569,3847
129,2020-12-19,DOUGLAS,2109,2940,108,-,-,-,3,868,4312,1203,1183,6363
53,2020-12-19,EARLY,185,402,1,-,-,-,0,6,556,96,122,684
50,2020-12-19,ECHOLS,144,8,2,-,-,-,0,134,106,152,66,306
109,2020-12-19,EFFINGHAM,1555,399,14,-,-,-,0,109,1818,364,405,2332
16,2020-12-19,ELBERT,532,382,8,-,-,-,0,52,813,186,243,1108
51,2020-12-19,EMANUEL,608,397,9,-,-,-,1,35,937,345,388,1360
49,2020-12-19,EVANS,257,146,1,-,-,-,0,92,366,165,111,569
135,2020-12-19,FANNIN,1058,2,0,-,-,-,1,49,966,158,204,1219
138,2020-12-19,FAYETTE,1534,913,64,-,-,-,8,254,2164,962,1063,3481
137,2020-12-19,FLOYD,3297,792,41,-,-,-,9,790,3176,2176,2349,6315
59,2020-12-19,FORSYTH,5535,277,374,-,-,-,7,1164,4980,2283,2332,8476
103,2020-12-19,FRANKLIN,1102,133,11,-,-,-,0,80,1105,267,328,1513
12,2020-12-19,FULTON,16325,18252,1279,-,-,-,43,4895,30666,11476,11814,47375
56,2020-12-19,GILMER,1269,6,9,-,-,-,0,258,1016,233,243,1517
55,2020-12-19,GLASCOCK,53,14,0,-,-,-,0,0,61,13,19,80
58,2020-12-19,GLYNN,2603,1157,53,-,-,-,1,595,3374,771,616,4585
57,2020-12-19,GORDON,2293,142,51,-,-,-,10,739,1810,1374,1321,3870
61,2020-12-19,GRADY,562,320,0,-,-,-,4,240,670,131,107,1017
104,2020-12-19,GREENE,336,320,1,-,-,-,0,52,516,171,260,828
65,2020-12-19,GWINNETT,16579,8670,2734,-,-,-,53,11640,19857,18947,15486,46983
62,2020-12-19,HABERSHAM,2364,79,40,-,-,-,0,550,1965,728,696,3211
139,2020-12-19,HALL,9725,929,118,-,-,-,2,4582,8092,5493,3593,16267
113,2020-12-19,HANCOCK,91,312,0,-,-,-,0,3,368,153,185,556
63,2020-12-19,HARALSON,930,28,3,-,-,-,0,11,609,196,537,1157
141,2020-12-19,HARRIS,712,254,7,-,-,-,0,32,877,177,241,1150
108,2020-12-19,HART,624,233,12,-,-,-,1,45,805,171,191,1041
64,2020-12-19,HEARD,297,52,1,-,-,-,0,3,300,45,92,395
9,2020-12-19,HENRY,3005,4342,199,-,-,-,17,671,6325,2541,3108,10104
142,2020-12-19,HOUSTON,2239,1754,90,-,-,-,7,275,3728,1437,1524,5527
60,2020-12-19,IRWIN,262,142,1,-,-,-,0,27,397,119,100,524
130,2020-12-19,JACKSON,3101,273,94,-,-,-,8,362,2878,1106,1342,4582
140,2020-12-19,JASPER,231,83,0,-,-,-,0,7,288,61,80,375
144,2020-12-19,JEFF DAVIS,649,97,4,-,-,-,0,119,644,173,160,923
18,2020-12-19,JEFFERSON,313,644,2,-,-,-,3,26,855,134,215,1096
69,2020-12-19,JENKINS,229,238,1,-,-,-,0,24,427,40,57,508
147,2020-12-19,JOHNSON,299,203,0,-,-,-,0,7,452,16,59,518
145,2020-12-19,JONES,523,276,4,-,-,-,0,7,728,130,198,933
