,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
25,2020-12-17,APPLING,731,246,7,-,-,-,2,118,818,376,426,1362
26,2020-12-17,ATKINSON,298,105,0,-,-,-,0,162,322,197,116,600
22,2020-12-17,BACON,486,104,4,-,-,-,0,110,543,159,100,753
23,2020-12-17,BAKER,59,56,0,-,-,-,0,15,94,8,14,123
0,2020-12-17,BALDWIN,1339,840,22,-,-,-,1,75,1951,555,731,2757
28,2020-12-17,BANKS,796,29,9,-,-,-,1,62,726,215,262,1050
31,2020-12-17,BARROW,2568,509,123,-,-,-,2,504,2604,1078,1172,4280
27,2020-12-17,BARTOW,3502,555,51,-,-,-,8,640,3116,1835,2195,5951
30,2020-12-17,BEN HILL,516,344,4,-,-,-,0,61,815,275,263,1139
107,2020-12-17,BERRIEN,516,97,0,-,-,-,2,46,596,111,84,726
4,2020-12-17,BIBB,2324,4910,98,-,-,-,1,201,6778,1276,1630,8609
29,2020-12-17,BLECKLEY,392,180,2,-,-,-,0,21,520,28,61,602
32,2020-12-17,BRANTLEY,486,24,1,-,-,-,0,6,489,109,125,620
127,2020-12-17,BROOKS,239,321,1,-,-,-,0,54,488,172,191,733
121,2020-12-17,BRYAN,1082,268,19,-,-,-,2,79,1265,298,325,1669
36,2020-12-17,BULLOCH,1981,865,27,-,-,-,2,147,2649,687,766,3562
122,2020-12-17,BURKE,343,594,4,-,-,-,0,33,841,171,238,1112
33,2020-12-17,BUTTS,634,287,3,-,-,-,0,14,772,242,380,1166
133,2020-12-17,CALHOUN,68,175,2,-,-,-,0,5,223,56,73,301
115,2020-12-17,CAMDEN,1248,424,21,-,-,-,0,100,1557,373,409,2066
37,2020-12-17,CANDLER,313,119,2,-,-,-,0,81,385,161,129,595
106,2020-12-17,CARROLL,2823,1035,27,-,-,-,2,318,2605,1076,2040,4963
34,2020-12-17,CATOOSA,1925,64,20,-,-,-,3,67,1713,1000,1232,3012
35,2020-12-17,CHARLTON,289,171,5,-,-,-,0,105,355,326,331,791
43,2020-12-17,CHATHAM,5187,4837,248,-,-,-,18,829,9158,1816,2119,12106
39,2020-12-17,CHATTAHOOCHEE,1478,273,35,-,-,-,0,135,695,352,1308,2138
38,2020-12-17,CHATTOOGA,787,99,5,-,-,-,3,92,714,526,614,1420
132,2020-12-17,CHEROKEE,8144,614,124,-,-,-,4,1764,6918,2688,2892,11574
3,2020-12-17,CLARKE,4462,1518,287,-,-,-,4,953,5234,1655,1739,7926
134,2020-12-17,CLAY,34,82,0,-,-,-,1,5,109,22,25,139
40,2020-12-17,CLAYTON,1505,6920,407,-,-,-,9,1772,6965,3431,3535,12272
41,2020-12-17,CLINCH,249,147,3,-,-,-,1,20,387,115,108,515
42,2020-12-17,COBB,14998,8261,889,-,-,-,28,6761,19122,9252,7545,33428
10,2020-12-17,COFFEE,1503,959,11,-,-,-,2,355,2120,762,762,3237
45,2020-12-17,COLQUITT,1351,465,16,-,-,-,1,771,1368,607,301,2440
13,2020-12-17,COLUMBIA,3523,1402,173,-,-,-,4,263,4516,1523,1846,6625
101,2020-12-17,COOK,489,259,2,-,-,-,0,55,732,184,147,934
44,2020-12-17,COWETA,2647,995,42,-,-,-,2,406,3209,1008,1079,4694
105,2020-12-17,CRAWFORD,169,97,0,-,-,-,0,4,248,51,65,317
46,2020-12-17,CRISP,329,403,8,-,-,-,1,42,667,167,199,908
48,2020-12-17,DADE,464,8,5,-,-,-,0,17,419,195,236,672
136,2020-12-17,DAWSON,1235,9,6,-,-,-,1,80,1154,228,245,1479
47,2020-12-17,DECATUR,691,620,3,-,-,-,1,137,1117,232,293,1547
120,2020-12-17,DEKALB,7914,14847,1458,-,-,-,24,4144,19854,8063,8308,32306
118,2020-12-17,DODGE,469,269,3,-,-,-,0,10,669,45,107,786
54,2020-12-17,DOOLY,186,259,2,-,-,-,0,33,406,57,65,504
52,2020-12-17,DOUGHERTY,707,2749,19,-,-,-,0,90,3168,345,562,3820
129,2020-12-17,DOUGLAS,2083,2902,107,-,-,-,3,853,4275,1172,1139,6267
53,2020-12-17,EARLY,181,401,1,-,-,-,0,6,550,94,121,677
50,2020-12-17,ECHOLS,143,8,2,-,-,-,0,134,105,152,66,305
109,2020-12-17,EFFINGHAM,1546,396,14,-,-,-,0,108,1802,354,400,2310
16,2020-12-17,ELBERT,527,382,8,-,-,-,0,52,808,186,243,1103
51,2020-12-17,EMANUEL,602,397,9,-,-,-,1,35,930,343,387,1352
49,2020-12-17,EVANS,256,146,1,-,-,-,0,92,366,164,109,567
135,2020-12-17,FANNIN,1053,2,0,-,-,-,1,49,961,158,204,1214
139,2020-12-17,FAYETTE,1512,896,63,-,-,-,8,251,2126,948,1050,3427
137,2020-12-17,FLOYD,3257,787,41,-,-,-,9,786,3137,2145,2316,6239
59,2020-12-17,FORSYTH,5473,274,366,-,-,-,7,1153,4916,2185,2236,8305
103,2020-12-17,FRANKLIN,1090,131,11,-,-,-,0,80,1098,257,311,1489
12,2020-12-17,FULTON,16138,18091,1259,-,-,-,43,4853,30371,11205,11512,46736
56,2020-12-17,GILMER,1258,6,9,-,-,-,0,257,1005,229,240,1502
55,2020-12-17,GLASCOCK,52,14,0,-,-,-,0,0,61,13,18,79
58,2020-12-17,GLYNN,2582,1147,53,-,-,-,1,594,3342,762,609,4545
57,2020-12-17,GORDON,2268,141,50,-,-,-,10,736,1794,1367,1306,3836
61,2020-12-17,GRADY,561,320,0,-,-,-,4,240,669,129,105,1014
104,2020-12-17,GREENE,328,312,1,-,-,-,0,50,502,166,255,807
65,2020-12-17,GWINNETT,16437,8583,2701,-,-,-,52,11546,19637,18446,15036,46219
62,2020-12-17,HABERSHAM,2327,76,39,-,-,-,0,546,1932,715,679,3157
138,2020-12-17,HALL,9597,921,118,-,-,-,2,4553,7981,5372,3476,16010
113,2020-12-17,HANCOCK,91,311,0,-,-,-,0,3,366,147,180,549
63,2020-12-17,HARALSON,922,28,3,-,-,-,0,11,592,186,536,1139
141,2020-12-17,HARRIS,701,254,7,-,-,-,0,32,867,175,238,1137
108,2020-12-17,HART,608,230,11,-,-,-,1,45,786,163,182,1013
64,2020-12-17,HEARD,295,52,1,-,-,-,0,3,296,43,92,391
9,2020-12-17,HENRY,2951,4308,194,-,-,-,17,660,6243,2481,3048,9951
142,2020-12-17,HOUSTON,2210,1729,89,-,-,-,7,274,3681,1377,1457,5412
60,2020-12-17,IRWIN,251,140,1,-,-,-,0,27,386,118,97,510
130,2020-12-17,JACKSON,3052,271,93,-,-,-,8,361,2837,1073,1299,4497
140,2020-12-17,JASPER,226,82,0,-,-,-,0,7,283,58,76,366
144,2020-12-17,JEFF DAVIS,647,96,4,-,-,-,0,119,640,172,160,919
18,2020-12-17,JEFFERSON,308,642,1,-,-,-,3,26,850,134,212,1088
69,2020-12-17,JENKINS,229,237,1,-,-,-,0,24,427,39,55,506
147,2020-12-17,JOHNSON,293,202,0,-,-,-,0,7,446,16,58,511
145,2020-12-17,JONES,515,265,4,-,-,-,0,7,710,129,196,913
146,2020-12-17,LAMAR,362,198,2,-,-,-,1,9,504,157,207,720
70,2020-12-17,LANIER,162,83,0,-,-,-,0,35,236,133,107,378
67,2020-12-17,LAURENS,1332,1012,14,-,-,-,2,37,2175,162,310,2522
