,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
21,2020-11-02 05:00:00,ALL GEORGIA,152724,101631,6554,-,-,-,244,105124,46805,211175,108297,366277
22,2020-11-02 05:00:00,APPLING,606,205,6,-,-,-,2,363,115,657,410,1182
24,2020-11-02 05:00:00,ATKINSON,241,56,0,-,-,-,0,194,151,226,114,491
25,2020-11-02 05:00:00,BACON,390,90,2,-,-,-,0,155,103,430,104,637
26,2020-11-02 05:00:00,BAKER,41,47,0,-,-,-,0,8,10,71,15,96
1,2020-11-02 05:00:00,BALDWIN,1139,670,15,-,-,-,1,521,59,1587,700,2346
29,2020-11-02 05:00:00,BANKS,454,19,6,-,-,-,1,107,41,423,123,587
31,2020-11-02 05:00:00,BARROW,1612,329,71,-,-,-,1,705,343,1650,725,2718
27,2020-11-02 05:00:00,BARTOW,2089,378,35,-,-,-,3,1267,484,1790,1498,3772
28,2020-11-02 05:00:00,BEN HILL,387,254,4,-,-,-,0,247,41,599,252,892
108,2020-11-02 05:00:00,BERRIEN,349,66,0,-,-,-,2,88,30,404,71,505
3,2020-11-02 05:00:00,BIBB,1704,3648,58,-,-,-,1,1349,162,4933,1665,6760
30,2020-11-02 05:00:00,BLECKLEY,320,167,2,-,-,-,0,29,17,436,65,518
37,2020-11-02 05:00:00,BRANTLEY,363,22,1,-,-,-,0,92,3,377,98,478
132,2020-11-02 05:00:00,BROOKS,183,231,1,-,-,-,0,139,40,363,151,554
123,2020-11-02 05:00:00,BRYAN,819,202,13,-,-,-,1,284,47,947,325,1319
32,2020-11-02 05:00:00,BULLOCH,1691,710,19,-,-,-,0,717,129,2202,806,3137
126,2020-11-02 05:00:00,BURKE,256,491,3,-,-,-,0,156,31,657,218,906
34,2020-11-02 05:00:00,BUTTS,372,223,2,-,-,-,0,164,10,510,241,761
130,2020-11-02 05:00:00,CALHOUN,69,161,2,-,-,-,0,49,10,203,68,281
110,2020-11-02 05:00:00,CAMDEN,802,335,14,-,-,-,0,323,67,1033,374,1474
35,2020-11-02 05:00:00,CANDLER,277,108,0,-,-,-,2,173,83,335,142,560
104,2020-11-02 05:00:00,CARROLL,1869,736,7,-,-,-,1,876,237,1564,1688,3489
36,2020-11-02 05:00:00,CATOOSA,977,48,8,-,-,-,3,502,48,836,654,1538
33,2020-11-02 05:00:00,CHARLTON,209,131,5,-,-,-,0,306,98,255,298,651
39,2020-11-02 05:00:00,CHATHAM,3869,3813,155,-,-,-,11,1764,625,6967,2020,9612
40,2020-11-02 05:00:00,CHATTAHOOCHEE,1251,225,30,-,-,-,0,309,104,601,1110,1815
38,2020-11-02 05:00:00,CHATTOOGA,479,75,3,-,-,-,4,435,81,427,488,996
133,2020-11-02 05:00:00,CHEROKEE,5241,406,74,-,-,-,2,1771,1288,4262,1944,7494
4,2020-11-02 05:00:00,CLARKE,3337,921,211,-,-,-,1,1446,725,3684,1507,5916
134,2020-11-02 05:00:00,CLAY,26,80,0,-,-,-,1,17,4,105,15,124
44,2020-11-02 05:00:00,CLAYTON,974,4657,244,-,-,-,4,2704,1254,4433,2896,8583
41,2020-11-02 05:00:00,CLINCH,196,131,0,-,-,-,0,134,20,313,128,461
42,2020-11-02 05:00:00,COBB,9930,5792,571,-,-,-,21,6389,5093,12777,4833,22703
2,2020-11-02 05:00:00,COFFEE,1041,575,7,-,-,-,2,699,290,1331,703,2324
43,2020-11-02 05:00:00,COLQUITT,1162,415,10,-,-,-,1,563,740,1124,287,2151
12,2020-11-02 05:00:00,COLUMBIA,2246,884,108,-,-,-,3,1297,168,2840,1530,4538
109,2020-11-02 05:00:00,COOK,298,159,1,-,-,-,0,173,50,445,136,631
48,2020-11-02 05:00:00,COWETA,1504,685,22,-,-,-,1,836,301,1880,867,3048
106,2020-11-02 05:00:00,CRAWFORD,87,69,0,-,-,-,0,41,1,140,56,197
47,2020-11-02 05:00:00,CRISP,208,309,7,-,-,-,1,147,35,486,151,672
45,2020-11-02 05:00:00,DADE,251,7,5,-,-,-,0,127,15,213,162,390
140,2020-11-02 05:00:00,DAWSON,805,9,2,-,-,-,1,120,59,738,140,937
46,2020-11-02 05:00:00,DECATUR,599,515,1,-,-,-,1,202,121,932,265,1318
118,2020-11-02 05:00:00,DEKALB,5055,9980,1115,-,-,-,12,5911,3270,12416,6387,22073
121,2020-11-02 05:00:00,DODGE,372,222,2,-,-,-,0,57,8,540,105,653
50,2020-11-02 05:00:00,DOOLY,119,201,1,-,-,-,0,60,31,293,57,381
49,2020-11-02 05:00:00,DOUGHERTY,594,2409,15,-,-,-,0,304,76,2617,629,3322
125,2020-11-02 05:00:00,DOUGLAS,1371,1967,73,-,-,-,1,857,635,2870,764,4269
54,2020-11-02 05:00:00,EARLY,141,342,1,-,-,-,0,78,6,441,115,562
55,2020-11-02 05:00:00,ECHOLS,89,7,1,-,-,-,0,149,117,66,63,246
103,2020-11-02 05:00:00,EFFINGHAM,1207,335,12,-,-,-,0,324,87,1399,392,1878
23,2020-11-02 05:00:00,ELBERT,330,313,4,-,-,-,0,136,46,594,143,783
57,2020-11-02 05:00:00,EMANUEL,511,355,7,-,-,-,1,355,33,799,397,1229
56,2020-11-02 05:00:00,EVANS,209,125,1,-,-,-,0,157,72,293,127,492
141,2020-11-02 05:00:00,FANNIN,741,2,0,-,-,-,0,102,36,680,129,845
136,2020-11-02 05:00:00,FAYETTE,908,570,35,-,-,-,2,711,150,1252,824,2226
139,2020-11-02 05:00:00,FLOYD,2040,466,29,-,-,-,5,1679,614,1845,1760,4219
51,2020-11-02 05:00:00,FORSYTH,3326,170,183,-,-,-,3,1295,790,2841,1346,4977
98,2020-11-02 05:00:00,FRANKLIN,663,90,5,-,-,-,0,222,61,679,240,980
13,2020-11-02 05:00:00,FULTON,9895,12721,651,-,-,-,26,8828,3446,19549,9126,32121
52,2020-11-02 05:00:00,GILMER,924,4,6,-,-,-,0,147,218,701,162,1081
53,2020-11-02 05:00:00,GLASCOCK,35,9,0,-,-,-,0,10,0,40,14,54
63,2020-11-02 05:00:00,GLYNN,2091,937,34,-,-,-,0,769,544,2652,635,3831
62,2020-11-02 05:00:00,GORDON,1404,86,27,-,-,-,6,1003,548,1058,920,2526
60,2020-11-02 05:00:00,GRADY,479,269,0,-,-,-,2,129,228,539,112,879
105,2020-11-02 05:00:00,GREENE,234,232,0,-,-,-,0,127,30,363,200,593
61,2020-11-02 05:00:00,GWINNETT,11646,5604,1675,-,-,-,27,12683,8880,12438,10317,31635
59,2020-11-02 05:00:00,HABERSHAM,1396,46,26,-,-,-,0,454,409,1108,405,1922
137,2020-11-02 05:00:00,HALL,6371,637,61,-,-,-,1,3929,3524,5208,2267,10999
112,2020-11-02 05:00:00,HANCOCK,74,277,0,-,-,-,0,68,3,314,102,419
58,2020-11-02 05:00:00,HARALSON,549,18,1,-,-,-,0,124,6,323,363,692
138,2020-11-02 05:00:00,HARRIS,519,216,7,-,-,-,0,119,26,666,169,861
107,2020-11-02 05:00:00,HART,343,132,9,-,-,-,1,121,39,433,134,606
65,2020-11-02 05:00:00,HEARD,169,41,0,-,-,-,0,38,2,180,66,248
8,2020-11-02 05:00:00,HENRY,1743,2797,118,-,-,-,9,1834,404,3673,2424,6501
135,2020-11-02 05:00:00,HOUSTON,1392,1206,45,-,-,-,4,1140,195,2397,1195,3787
66,2020-11-02 05:00:00,IRWIN,155,98,0,-,-,-,0,112,23,242,100,365
128,2020-11-02 05:00:00,JACKSON,1725,151,53,-,-,-,3,599,237,1650,644,2531
142,2020-11-02 05:00:00,JASPER,145,59,0,-,-,-,0,47,4,187,60,251
144,2020-11-02 05:00:00,JEFF DAVIS,524,74,4,-,-,-,0,211,103,499,211,813
19,2020-11-02 05:00:00,JEFFERSON,228,498,1,-,-,-,3,130,25,645,190,860
70,2020-11-02 05:00:00,JENKINS,206,220,1,-,-,-,0,47,23,391,60,474
143,2020-11-02 05:00:00,JOHNSON,246,171,0,-,-,-,0,22,6,375,58,439
145,2020-11-02 05:00:00,JONES,368,174,0,-,-,-,0,120,5,474,183,662
147,2020-11-02 05:00:00,LAMAR,232,125,1,-,-,-,1,86,5,314,126,445
64,2020-11-02 05:00:00,LANIER,120,58,0,-,-,-,0,142,33,173,114,320
67,2020-11-02 05:00:00,LAURENS,1052,848,9,-,-,-,2,166,27,1772,278,2077
146,2020-11-02 05:00:00,LEE,392,268,5,-,-,-,0,95,15,588,157,760
151,2020-11-02 05:00:00,LIBERTY,374,634,21,-,-,-,2,273,79,904,321,1304
