,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
23,2020-11-09,APPLING,614,211,6,-,-,-,2,115,671,362,409,1195
19,2020-11-09,ATKINSON,244,56,0,-,-,-,0,151,227,193,115,493
28,2020-11-09,BACON,401,90,2,-,-,-,0,103,441,152,101,645
29,2020-11-09,BAKER,45,47,0,-,-,-,0,10,76,8,14,100
5,2020-11-09,BALDWIN,1158,685,15,-,-,-,1,59,1613,527,714,2386
30,2020-11-09,BANKS,461,19,6,-,-,-,1,41,429,112,129,599
26,2020-11-09,BARROW,1652,331,72,-,-,-,1,347,1687,707,729,2763
27,2020-11-09,BARTOW,2187,388,35,-,-,-,4,486,1883,1259,1504,3873
25,2020-11-09,BEN HILL,391,261,4,-,-,-,0,41,608,245,252,901
110,2020-11-09,BERRIEN,353,68,0,-,-,-,2,29,410,86,70,509
0,2020-11-09,BIBB,1749,3704,59,-,-,-,0,162,5029,1323,1644,6835
31,2020-11-09,BLECKLEY,325,166,2,-,-,-,0,17,440,26,62,519
32,2020-11-09,BRANTLEY,374,22,1,-,-,-,0,3,387,93,100,490
131,2020-11-09,BROOKS,183,233,1,-,-,-,0,40,366,137,148,554
125,2020-11-09,BRYAN,847,207,13,-,-,-,1,49,980,272,311,1340
36,2020-11-09,BULLOCH,1704,720,19,-,-,-,0,129,2220,726,820,3169
123,2020-11-09,BURKE,263,496,3,-,-,-,0,31,665,159,225,921
37,2020-11-09,BUTTS,385,227,2,-,-,-,0,11,523,165,245,779
132,2020-11-09,CALHOUN,65,165,2,-,-,-,0,10,202,46,66,278
116,2020-11-09,CAMDEN,827,343,16,-,-,-,0,72,1068,318,364,1504
33,2020-11-09,CANDLER,279,112,0,-,-,-,2,82,341,172,142,565
106,2020-11-09,CARROLL,1944,773,7,-,-,-,1,244,1644,860,1697,3585
34,2020-11-09,CATOOSA,1030,48,8,-,-,-,3,49,883,536,693,1625
35,2020-11-09,CHARLTON,215,133,5,-,-,-,0,98,262,303,296,656
39,2020-11-09,CHATHAM,3964,3882,161,-,-,-,10,646,7129,1755,1997,9772
38,2020-11-09,CHATTAHOOCHEE,1279,228,31,-,-,-,0,113,607,314,1132,1852
42,2020-11-09,CHATTOOGA,523,81,3,-,-,-,4,83,466,419,481,1030
136,2020-11-09,CHEROKEE,5395,419,74,-,-,-,2,1309,4423,1861,2019,7751
1,2020-11-09,CLARKE,3417,964,219,-,-,-,1,746,3808,1449,1496,6050
137,2020-11-09,CLAY,26,80,0,-,-,-,1,4,105,17,15,124
43,2020-11-09,CLAYTON,1004,4798,250,-,-,-,6,1277,4596,2730,2915,8788
40,2020-11-09,CLINCH,204,135,0,-,-,-,0,20,325,132,126,471
41,2020-11-09,COBB,10187,5893,586,-,-,-,19,5179,13182,6470,4794,23155
4,2020-11-09,COFFEE,1067,600,7,-,-,-,2,294,1375,703,710,2379
47,2020-11-09,COLQUITT,1174,417,11,-,-,-,1,743,1138,566,288,2169
17,2020-11-09,COLUMBIA,2314,906,111,-,-,-,3,170,2931,1293,1526,4627
105,2020-11-09,COOK,317,161,1,-,-,-,0,50,466,175,138,654
48,2020-11-09,COWETA,1544,696,22,-,-,-,1,306,1925,840,872,3103
104,2020-11-09,CRAWFORD,89,69,0,-,-,-,0,1,141,45,61,203
49,2020-11-09,CRISP,217,311,8,-,-,-,1,35,497,148,153,685
45,2020-11-09,DADE,267,7,5,-,-,-,0,15,229,131,166,410
133,2020-11-09,DAWSON,817,9,2,-,-,-,1,59,749,121,142,950
46,2020-11-09,DECATUR,605,529,2,-,-,-,1,122,952,207,270,1344
