,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
23,2020-11-07,APPLING,614,211,6,-,-,-,2,115,671,362,409,1195
19,2020-11-07,ATKINSON,244,56,0,-,-,-,0,151,227,193,115,493
28,2020-11-07,BACON,401,90,2,-,-,-,0,103,441,152,101,645
29,2020-11-07,BAKER,45,47,0,-,-,-,0,10,76,8,14,100
5,2020-11-07,BALDWIN,1158,685,15,-,-,-,1,59,1613,527,714,2386
30,2020-11-07,BANKS,461,19,6,-,-,-,1,41,429,112,129,599
26,2020-11-07,BARROW,1651,331,72,-,-,-,1,347,1686,707,729,2762
27,2020-11-07,BARTOW,2187,388,35,-,-,-,4,486,1883,1259,1504,3873
25,2020-11-07,BEN HILL,391,261,4,-,-,-,0,41,608,245,252,901
110,2020-11-07,BERRIEN,353,67,0,-,-,-,2,29,409,86,70,508
0,2020-11-07,BIBB,1749,3704,59,-,-,-,0,162,5029,1323,1644,6835
31,2020-11-07,BLECKLEY,325,166,2,-,-,-,0,17,440,26,62,519
32,2020-11-07,BRANTLEY,374,22,1,-,-,-,0,3,387,93,100,490
131,2020-11-07,BROOKS,183,233,1,-,-,-,0,40,366,137,148,554
125,2020-11-07,BRYAN,847,207,13,-,-,-,1,49,980,272,311,1340
36,2020-11-07,BULLOCH,1704,720,19,-,-,-,0,129,2220,726,820,3169
123,2020-11-07,BURKE,263,496,3,-,-,-,0,31,665,159,225,921
37,2020-11-07,BUTTS,385,226,2,-,-,-,0,11,522,165,245,778
132,2020-11-07,CALHOUN,65,165,2,-,-,-,0,10,202,46,66,278
116,2020-11-07,CAMDEN,827,343,16,-,-,-,0,72,1068,318,364,1504
33,2020-11-07,CANDLER,279,112,0,-,-,-,2,82,341,172,142,565
106,2020-11-07,CARROLL,1944,773,7,-,-,-,1,244,1644,860,1697,3585
34,2020-11-07,CATOOSA,1030,48,8,-,-,-,3,49,883,536,693,1625
35,2020-11-07,CHARLTON,215,133,5,-,-,-,0,98,262,303,296,656
39,2020-11-07,CHATHAM,3964,3882,161,-,-,-,10,646,7129,1755,1997,9772
38,2020-11-07,CHATTAHOOCHEE,1278,228,31,-,-,-,0,113,607,314,1131,1851
