,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
19,2020-11-01 04:00:00,ALL GEORGIA,151537,101142,6476,-,-,-,244,105039,46546,209531,108361,364438
21,2020-11-01 04:00:00,APPLING,603,204,6,-,-,-,2,364,115,653,411,1179
20,2020-11-01 04:00:00,ATKINSON,239,56,0,-,-,-,0,194,151,224,114,489
27,2020-11-01 04:00:00,BACON,390,90,2,-,-,-,0,155,103,430,104,637
30,2020-11-01 04:00:00,BAKER,38,47,0,-,-,-,0,8,10,69,14,93
1,2020-11-01 04:00:00,BALDWIN,1138,668,15,-,-,-,1,519,59,1583,699,2341
26,2020-11-01 04:00:00,BANKS,453,19,6,-,-,-,1,104,41,423,119,583
31,2020-11-01 04:00:00,BARROW,1600,328,71,-,-,-,1,702,340,1641,721,2702
28,2020-11-01 04:00:00,BARTOW,2068,375,35,-,-,-,3,1260,480,1766,1495,3741
29,2020-11-01 04:00:00,BEN HILL,386,252,4,-,-,-,0,246,41,596,251,888
109,2020-11-01 04:00:00,BERRIEN,349,66,0,-,-,-,2,88,30,404,71,505
4,2020-11-01 04:00:00,BIBB,1690,3637,57,-,-,-,1,1350,161,4906,1668,6735
25,2020-11-01 04:00:00,BLECKLEY,319,167,2,-,-,-,0,27,17,435,63,515
35,2020-11-01 04:00:00,BRANTLEY,362,21,1,-,-,-,0,92,3,374,99,476
129,2020-11-01 04:00:00,BROOKS,182,230,1,-,-,-,0,140,40,362,151,553
125,2020-11-01 04:00:00,BRYAN,812,201,13,-,-,-,1,284,47,939,325,1311
33,2020-11-01 04:00:00,BULLOCH,1686,709,19,-,-,-,0,716,129,2196,805,3130
123,2020-11-01 04:00:00,BURKE,255,489,3,-,-,-,0,157,31,654,219,904
34,2020-11-01 04:00:00,BUTTS,370,221,2,-,-,-,0,165,10,509,239,758
131,2020-11-01 04:00:00,CALHOUN,67,161,2,-,-,-,0,47,9,202,66,277
113,2020-11-01 04:00:00,CAMDEN,794,335,14,-,-,-,0,322,67,1027,371,1465
32,2020-11-01 04:00:00,CANDLER,274,105,0,-,-,-,2,172,83,329,141,553
105,2020-11-01 04:00:00,CARROLL,1847,728,7,-,-,-,1,874,236,1542,1679,3457
37,2020-11-01 04:00:00,CATOOSA,961,48,7,-,-,-,3,503,46,819,657,1522
36,2020-11-01 04:00:00,CHARLTON,209,131,5,-,-,-,0,306,98,255,298,651
