,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
25,2020-12-22,APPLING,734,247,7,-,-,-,2,119,821,399,449,1389
26,2020-12-22,ATKINSON,308,109,0,-,-,-,0,163,333,201,122,618
22,2020-12-22,BACON,500,107,4,-,-,-,0,111,560,175,115,786
23,2020-12-22,BAKER,62,57,0,-,-,-,0,16,96,9,16,128
0,2020-12-22,BALDWIN,1370,850,22,-,-,-,1,75,1985,575,758,2818
28,2020-12-22,BANKS,821,29,9,-,-,-,1,62,748,231,281,1091
30,2020-12-22,BARROW,2696,519,130,-,-,-,2,521,2707,1172,1291,4519
27,2020-12-22,BARTOW,3591,577,51,-,-,-,8,649,3210,1944,2312,6171
29,2020-12-22,BEN HILL,531,358,5,-,-,-,0,61,843,279,269,1173
107,2020-12-22,BERRIEN,533,99,0,-,-,-,2,47,612,119,94,753
4,2020-12-22,BIBB,2397,5076,102,-,-,-,1,204,6996,1357,1733,8933
31,2020-12-22,BLECKLEY,404,183,2,-,-,-,0,21,533,36,71,625
32,2020-12-22,BRANTLEY,497,24,1,-,-,-,0,6,500,116,132,638
127,2020-12-22,BROOKS,246,328,1,-,-,-,0,54,501,177,197,752
121,2020-12-22,BRYAN,1099,275,20,-,-,-,3,80,1286,306,337,1703
36,2020-12-22,BULLOCH,2008,880,31,-,-,-,2,150,2703,720,788,3641
122,2020-12-22,BURKE,350,607,4,-,-,-,0,34,854,178,251,1139
33,2020-12-22,BUTTS,654,293,3,-,-,-,0,14,796,262,402,1212
133,2020-12-22,CALHOUN,69,176,2,-,-,-,0,5,225,59,76,306
115,2020-12-22,CAMDEN,1282,429,23,-,-,-,0,105,1598,400,431,2134
37,2020-12-22,CANDLER,316,120,3,-,-,-,0,81,391,163,130,602
106,2020-12-22,CARROLL,2881,1056,29,-,-,-,2,321,2685,1114,2076,5082
34,2020-12-22,CATOOSA,1959,64,20,-,-,-,3,67,1743,1026,1262,3072
35,2020-12-22,CHARLTON,293,179,6,-,-,-,0,105,366,333,340,811
43,2020-12-22,CHATHAM,5266,4979,253,-,-,-,18,837,9360,1888,2207,12404
39,2020-12-22,CHATTAHOOCHEE,1478,274,35,-,-,-,0,135,696,353,1309,2140
38,2020-12-22,CHATTOOGA,806,106,5,-,-,-,3,92,741,545,632,1465
132,2020-12-22,CHEROKEE,8380,626,129,-,-,-,4,1781,7127,2891,3122,12030
3,2020-12-22,CLARKE,4570,1573,291,-,-,-,6,963,5365,1720,1832,8160
134,2020-12-22,CLAY,35,82,0,-,-,-,1,5,110,25,28,143
41,2020-12-22,CLAYTON,1543,7118,413,-,-,-,9,1808,7160,3562,3677,12645
40,2020-12-22,CLINCH,258,152,3,-,-,-,1,20,398,116,112,530
42,2020-12-22,COBB,15471,8492,919,-,-,-,32,6912,19733,9967,8236,34881
10,2020-12-22,COFFEE,1556,975,11,-,-,-,2,365,2180,782,781,3326
45,2020-12-22,COLQUITT,1367,474,16,-,-,-,1,775,1397,620,306,2478
13,2020-12-22,COLUMBIA,3630,1446,178,-,-,-,4,267,4647,1634,1978,6892
101,2020-12-22,COOK,506,266,2,-,-,-,0,57,755,188,150,962
44,2020-12-22,COWETA,2760,1035,44,-,-,-,2,412,3349,1083,1163,4924
105,2020-12-22,CRAWFORD,180,101,0,-,-,-,0,4,257,56,76,337
46,2020-12-22,CRISP,343,411,9,-,-,-,1,42,681,167,208,931
48,2020-12-22,DADE,472,8,5,-,-,-,0,17,428,199,239,684
136,2020-12-22,DAWSON,1291,10,6,-,-,-,1,81,1212,258,273,1566
47,2020-12-22,DECATUR,703,626,3,-,-,-,1,137,1135,238,299,1571
120,2020-12-22,DEKALB,8107,15219,1471,-,-,-,25,4203,20393,8751,8977,33573
118,2020-12-22,DODGE,478,279,3,-,-,-,0,11,687,52,114,812
54,2020-12-22,DOOLY,191,265,2,-,-,-,0,33,413,59,71,517
52,2020-12-22,DOUGHERTY,719,2804,19,-,-,-,0,92,3231,357,576,3899
129,2020-12-22,DOUGLAS,2146,3006,109,-,-,-,3,881,4373,1249,1259,6513
53,2020-12-22,EARLY,187,402,1,-,-,-,0,6,558,99,125,689
50,2020-12-22,ECHOLS,147,8,2,-,-,-,0,134,109,152,66,309
109,2020-12-22,EFFINGHAM,1568,400,15,-,-,-,0,110,1836,377,414,2360
16,2020-12-22,ELBERT,536,386,8,-,-,-,0,52,817,187,248,1117
51,2020-12-22,EMANUEL,619,403,9,-,-,-,1,35,954,359,402,1391
49,2020-12-22,EVANS,261,147,2,-,-,-,0,92,372,170,116,580
135,2020-12-22,FANNIN,1066,2,0,-,-,-,1,49,973,167,214,1236
138,2020-12-22,FAYETTE,1574,929,67,-,-,-,8,260,2214,993,1097,3571
137,2020-12-22,FLOYD,3331,799,41,-,-,-,9,794,3199,2249,2436,6429
59,2020-12-22,FORSYTH,5641,281,385,-,-,-,7,1188,5085,2430,2471,8744
103,2020-12-22,FRANKLIN,1137,138,11,-,-,-,0,81,1147,275,333,1561
12,2020-12-22,FULTON,16624,18519,1335,-,-,-,45,4963,31201,12054,12413,48577
56,2020-12-22,GILMER,1290,7,9,-,-,-,0,259,1034,245,258,1551
55,2020-12-22,GLASCOCK,56,14,0,-,-,-,0,0,63,15,22,85
58,2020-12-22,GLYNN,2645,1167,53,-,-,-,2,604,3421,799,641,4666
57,2020-12-22,GORDON,2307,143,51,-,-,-,10,741,1824,1398,1344,3909
61,2020-12-22,GRADY,568,328,0,-,-,-,4,241,683,134,110,1034
104,2020-12-22,GREENE,356,338,1,-,-,-,0,52,539,175,279,870
65,2020-12-22,GWINNETT,16876,8834,2794,-,-,-,55,11799,20295,20003,16468,48562
62,2020-12-22,HABERSHAM,2420,80,42,-,-,-,0,555,2020,770,737,3312
140,2020-12-22,HALL,9890,946,121,-,-,-,2,4625,8266,5704,3772,16663
113,2020-12-22,HANCOCK,94,316,0,-,-,-,0,3,375,159,191,569
63,2020-12-22,HARALSON,940,28,3,-,-,-,0,11,616,207,551,1178
141,2020-12-22,HARRIS,728,259,7,-,-,-,0,32,900,193,255,1187
108,2020-12-22,HART,644,239,12,-,-,-,1,45,829,175,197,1071
64,2020-12-22,HEARD,302,53,1,-,-,-,0,3,305,47,95,403
9,2020-12-22,HENRY,3119,4430,204,-,-,-,17,693,6488,2681,3270,10451
142,2020-12-22,HOUSTON,2307,1782,94,-,-,-,7,282,3821,1556,1643,5746
60,2020-12-22,IRWIN,268,145,1,-,-,-,0,27,406,122,103,536
130,2020-12-22,JACKSON,3185,282,96,-,-,-,8,368,2934,1191,1460,4762
139,2020-12-22,JASPER,238,83,0,-,-,-,0,7,295,64,83,385
144,2020-12-22,JEFF DAVIS,656,98,4,-,-,-,0,119,652,177,164,935
18,2020-12-22,JEFFERSON,319,651,2,-,-,-,3,26,868,138,219,1113
69,2020-12-22,JENKINS,230,239,1,-,-,-,0,24,428,42,60,512
147,2020-12-22,JOHNSON,305,207,0,-,-,-,0,7,460,21,66,533
145,2020-12-22,JONES,538,289,4,-,-,-,0,7,753,134,205,965
146,2020-12-22,LAMAR,377,203,2,-,-,-,1,9,526,164,212,747
70,2020-12-22,LANIER,166,84,0,-,-,-,0,35,241,133,107,383
67,2020-12-22,LAURENS,1383,1041,14,-,-,-,2,37,2248,184,339,2624
143,2020-12-22,LEE,514,333,5,-,-,-,1,25,774,165,219,1018
153,2020-12-22,LIBERTY,555,859,24,-,-,-,1,125,1214,316,416,1755
124,2020-12-22,LINCOLN,146,112,0,-,-,-,0,3,228,64,91,322
68,2020-12-22,LONG,236,105,2,-,-,-,0,28,305,76,86,419
6,2020-12-22,LOWNDES,2302,2107,53,-,-,-,4,355,4239,1479,1351,5945
66,2020-12-22,LUMPKIN,1467,29,5,-,-,-,1,57,1461,260,244,1762
5,2020-12-22,MACON,78,175,1,-,-,-,0,25,248,97,78,351
99,2020-12-22,MADISON,954,175,10,-,-,-,0,115,901,357,480,1496
149,2020-12-22,MARION,98,91,2,-,-,-,0,24,182,56,41,247
71,2020-12-22,MCDUFFIE,370,403,2,-,-,-,0,39,659,176,253,951
123,2020-12-22,MCINTOSH,222,170,0,-,-,-,0,4,369,47,66,439
75,2020-12-22,MERIWETHER,293,404,3,-,-,-,1,9,637,96,151,797
14,2020-12-22,MILLER,206,163,1,-,-,-,0,14,357,57,56,427
150,2020-12-22,MITCHELL,390,571,3,-,-,-,0,70,841,125,178,1089
11,2020-12-22,MONROE,601,361,5,-,-,-,3,20,902,216,264,1186
151,2020-12-22,MONTGOMERY,317,112,0,-,-,-,0,41,393,63,58,492
159,2020-12-22,MORGAN,400,221,1,-,-,-,1,12,520,119,210,742
126,2020-12-22,MURRAY,1834,18,3,-,-,-,0,477,1437,597,538,2452
72,2020-12-22,MUSCOGEE,2699,3646,106,-,-,-,9,534,5728,1947,2145,8407
152,2020-12-22,NEWTON,1494,2110,22,-,-,-,3,296,3057,801,1077,4430
73,2020-12-22,OCONEE,1116,74,24,-,-,-,0,89,1020,311,416,1525
74,2020-12-22,OGLETHORPE,374,158,1,-,-,-,0,41,450,145,187,678
76,2020-12-22,PAULDING,3079,1120,32,-,-,-,13,416,2939,1373,2262,5617
79,2020-12-22,PEACH,377,507,4,-,-,-,0,58,812,253,271,1141
7,2020-12-22,PICKENS,1216,15,2,-,-,-,1,47,1072,180,295,1414
119,2020-12-22,PIERCE,581,108,1,-,-,-,0,36,639,165,180,855
111,2020-12-22,PIKE,421,55,1,-,-,-,0,17,439,120,141,597
148,2020-12-22,POLK,1305,249,10,-,-,-,6,382,1243,846,791,2416
17,2020-12-22,PULASKI,203,195,5,-,-,-,1,6,332,22,88,426
128,2020-12-22,PUTNAM,505,356,4,-,-,-,0,83,693,239,328,1104
112,2020-12-22,QUITMAN,8,34,0,-,-,-,0,0,42,7,7,49
81,2020-12-22,RABUN,759,12,1,-,-,-,0,85,659,174,202,946
21,2020-12-22,RANDOLPH,69,214,1,-,-,-,1,4,302,70,49,355
80,2020-12-22,RICHMOND,3450,6310,126,-,-,-,4,369,8954,2212,2779,12102
77,2020-12-22,ROCKDALE,831,1865,47,-,-,-,6,371,2228,677,827,3426
78,2020-12-22,SCHLEY,82,51,1,-,-,-,0,3,130,18,19,152
87,2020-12-22,SCREVEN,187,228,6,-,-,-,0,8,409,92,96,513
85,2020-12-22,SEMINOLE,308,206,0,-,-,-,0,9,493,38,50,552
84,2020-12-22,SPALDING,1084,798,14,-,-,-,1,104,1580,572,785,2469
155,2020-12-22,STEPHENS,1550,191,13,-,-,-,0,35,1649,304,374,2058
82,2020-12-22,STEWART,55,140,4,-,-,-,0,299,195,404,109,603
8,2020-12-22,SUMTER,375,624,5,-,-,-,1,65,966,264,238,1269
83,2020-12-22,TALBOT,59,136,0,-,-,-,0,0,193,37,39,232
86,2020-12-22,TALIAFERRO,12,30,0,-,-,-,0,2,40,3,3,45
92,2020-12-22,TATTNALL,613,181,1,-,-,-,0,155,669,421,392,1216
154,2020-12-22,TAYLOR,118,157,3,-,-,-,1,5,278,52,48,331
91,2020-12-22,TELFAIR,332,150,1,-,-,-,1,35,422,82,109,566
156,2020-12-22,TERRELL,74,328,3,-,-,-,1,5,379,37,59,443
