,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
21,2020-11-16,APPLING,625,214,6,-,-,-,2,115,686,362,408,1209
26,2020-11-16,ATKINSON,254,60,0,-,-,-,0,152,237,187,112,501
27,2020-11-16,BACON,407,89,4,-,-,-,0,103,453,150,94,650
25,2020-11-16,BAKER,45,48,0,-,-,-,0,10,76,9,16,102
5,2020-11-16,BALDWIN,1180,708,15,-,-,-,1,60,1652,522,714,2426
24,2020-11-16,BANKS,502,19,9,-,-,-,1,41,455,113,148,644
28,2020-11-16,BARROW,1709,343,76,-,-,-,1,361,1749,732,751,2861
29,2020-11-16,BARTOW,2300,399,37,-,-,-,5,492,1988,1311,1572,4052
30,2020-11-16,BEN HILL,401,267,4,-,-,-,0,42,622,240,248,912
110,2020-11-16,BERRIEN,363,70,0,-,-,-,2,29,421,84,69,519
3,2020-11-16,BIBB,1807,3820,66,-,-,-,0,163,5201,1318,1647,7011
34,2020-11-16,BLECKLEY,336,168,2,-,-,-,0,17,455,25,59,531
32,2020-11-16,BRANTLEY,383,22,1,-,-,-,0,3,396,97,104,503
132,2020-11-16,BROOKS,184,236,1,-,-,-,0,41,368,137,149,558
129,2020-11-16,BRYAN,869,213,15,-,-,-,2,52,1009,256,294,1355
33,2020-11-16,BULLOCH,1746,731,19,-,-,-,0,130,2266,716,816,3212
123,2020-11-16,BURKE,270,513,3,-,-,-,0,31,691,169,233,955
35,2020-11-16,BUTTS,409,235,3,-,-,-,0,11,546,175,265,822
133,2020-11-16,CALHOUN,66,165,2,-,-,-,0,13,203,49,66,282
113,2020-11-16,CAMDEN,871,348,18,-,-,-,0,76,1122,337,376,1574
36,2020-11-16,CANDLER,283,114,0,-,-,-,2,82,347,169,139,568
108,2020-11-16,CARROLL,2036,807,8,-,-,-,2,251,1730,890,1762,3743
31,2020-11-16,CATOOSA,1104,50,14,-,-,-,3,49,962,559,719,1730
42,2020-11-16,CHARLTON,222,136,5,-,-,-,0,99,269,305,300,668
39,2020-11-16,CHATHAM,4090,3962,171,-,-,-,10,678,7325,1775,2005,10008
40,2020-11-16,CHATTAHOOCHEE,1319,235,32,-,-,-,0,117,633,323,1159,1909
41,2020-11-16,CHATTOOGA,551,84,4,-,-,-,4,83,493,424,491,1067
136,2020-11-16,CHEROKEE,5680,437,78,-,-,-,2,1363,4672,1972,2134,8169
1,2020-11-16,CLARKE,3555,1022,222,-,-,-,2,776,3974,1471,1522,6272
130,2020-11-16,CLAY,27,80,0,-,-,-,1,4,106,17,15,125
38,2020-11-16,CLAYTON,1065,5036,264,-,-,-,5,1324,4835,2740,2951,9110
37,2020-11-16,CLINCH,213,137,0,-,-,-,0,20,336,132,126,482
45,2020-11-16,COBB,10706,6108,615,-,-,-,21,5333,13857,6605,4865,24055
2,2020-11-16,COFFEE,1103,627,7,-,-,-,2,300,1439,706,706,2445
47,2020-11-16,COLQUITT,1205,418,12,-,-,-,1,745,1168,564,287,2200
16,2020-11-16,COLUMBIA,2505,992,122,-,-,-,3,182,3187,1331,1584,4953
104,2020-11-16,COOK,343,169,1,-,-,-,0,50,498,171,136,684
48,2020-11-16,COWETA,1612,723,25,-,-,-,2,313,2012,833,870,3195
107,2020-11-16,CRAWFORD,101,70,0,-,-,-,0,1,154,39,55,210
46,2020-11-16,CRISP,222,321,8,-,-,-,1,36,512,146,150,698
44,2020-11-16,DADE,291,7,5,-,-,-,0,15,253,134,169,437
