,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
24,2020-12-05,APPLING,665,230,6,-,-,-,2,118,733,344,396,1247
23,2020-12-05,ATKINSON,273,80,0,-,-,-,0,152,277,185,109,538
25,2020-12-05,BACON,419,91,4,-,-,-,0,107,467,152,92,666
26,2020-12-05,BAKER,49,50,0,-,-,-,0,10,80,9,18,108
3,2020-12-05,BALDWIN,1255,781,20,-,-,-,2,66,1805,507,694,2565
28,2020-12-05,BANKS,631,24,9,-,-,-,1,49,583,158,191,823
27,2020-12-05,BARROW,2078,422,102,-,-,-,1,410,2096,825,922,3428
29,2020-12-05,BARTOW,2749,460,41,-,-,-,7,568,2391,1489,1787,4746
34,2020-12-05,BEN HILL,443,292,4,-,-,-,0,46,686,234,241,973
105,2020-12-05,BERRIEN,445,79,0,-,-,-,2,41,505,99,79,625
1,2020-12-05,BIBB,2060,4358,81,-,-,-,2,176,5989,1126,1462,7627
30,2020-12-05,BLECKLEY,357,175,3,-,-,-,0,17,481,26,63,561
32,2020-12-05,BRANTLEY,438,23,1,-,-,-,0,4,444,96,110,558
134,2020-12-05,BROOKS,210,273,1,-,-,-,0,50,422,166,178,650
126,2020-12-05,BRYAN,950,239,18,-,-,-,2,64,1115,271,301,1480
33,2020-12-05,BULLOCH,1859,803,22,-,-,-,1,139,2454,668,760,3353
127,2020-12-05,BURKE,306,554,4,-,-,-,0,32,766,163,229,1027
31,2020-12-05,BUTTS,485,255,3,-,-,-,0,12,626,187,292,930
130,2020-12-05,CALHOUN,62,171,3,-,-,-,0,8,205,58,81,294
116,2020-12-05,CAMDEN,1084,384,18,-,-,-,0,89,1360,343,380,1829
38,2020-12-05,CANDLER,301,117,0,-,-,-,2,82,369,164,133,584
106,2020-12-05,CARROLL,2431,937,20,-,-,-,1,292,2168,876,1805,4265
40,2020-12-05,CATOOSA,1466,59,15,-,-,-,3,58,1285,672,872,2215
37,2020-12-05,CHARLTON,255,147,5,-,-,-,0,102,309,306,302,713
35,2020-12-05,CHATHAM,4613,4361,213,-,-,-,13,753,8156,1726,2017,10926
36,2020-12-05,CHATTAHOOCHEE,1396,249,34,-,-,-,0,131,663,333,1218,2012
39,2020-12-05,CHATTOOGA,642,90,5,-,-,-,4,85,575,429,510,1170
131,2020-12-05,CHEROKEE,6733,513,92,-,-,-,5,1581,5618,2337,2481,9680
2,2020-12-05,CLARKE,4050,1220,257,-,-,-,4,854,4604,1489,1562,7020
129,2020-12-05,CLAY,27,81,0,-,-,-,1,4,107,18,16,127
44,2020-12-05,CLAYTON,1244,5799,325,-,-,-,7,1492,5674,2924,3133,10299
43,2020-12-05,CLINCH,227,144,0,-,-,-,1,20,361,123,114,495
42,2020-12-05,COBB,12503,6981,762,-,-,-,26,5933,16080,7561,5820,27833
7,2020-12-05,COFFEE,1274,743,9,-,-,-,2,310,1706,732,744,2760
41,2020-12-05,COLQUITT,1275,437,13,-,-,-,1,758,1246,558,280,2284
14,2020-12-05,COLUMBIA,2971,1193,150,-,-,-,4,215,3775,1359,1687,5677
104,2020-12-05,COOK,424,219,1,-,-,-,0,52,624,174,142,818
45,2020-12-05,COWETA,2068,860,34,-,-,-,2,344,2529,841,932,3805
108,2020-12-05,CRAWFORD,121,79,0,-,-,-,0,2,184,38,52,238
46,2020-12-05,CRISP,248,335,8,-,-,-,1,40,551,143,144,735
51,2020-12-05,DADE,380,8,5,-,-,-,0,15,342,157,193,550
137,2020-12-05,DAWSON,1024,9,6,-,-,-,1,72,951,167,184,1207
49,2020-12-05,DECATUR,630,577,2,-,-,-,1,127,1022,208,269,1418
114,2020-12-05,DEKALB,6673,12621,1335,-,-,-,15,3676,16416,6775,7327,27419
121,2020-12-05,DODGE,422,251,2,-,-,-,0,10,608,51,108,726
50,2020-12-05,DOOLY,155,229,1,-,-,-,0,33,352,55,55,440
48,2020-12-05,DOUGHERTY,642,2538,19,-,-,-,0,81,2841,297,574,3496
128,2020-12-05,DOUGLAS,1734,2417,90,-,-,-,2,736,3605,991,893,5234
47,2020-12-05,EARLY,164,371,1,-,-,-,0,6,497,84,117,620
52,2020-12-05,ECHOLS,120,7,2,-,-,-,0,130,85,152,66,281
103,2020-12-05,EFFINGHAM,1419,376,12,-,-,-,0,100,1656,327,378,2134
20,2020-12-05,ELBERT,437,347,6,-,-,-,0,52,708,165,195,955
53,2020-12-05,EMANUEL,572,379,9,-,-,-,1,33,883,329,374,1290
55,2020-12-05,EVANS,234,139,1,-,-,-,0,85,340,152,101,526
139,2020-12-05,FANNIN,905,1,0,-,-,-,1,39,830,135,173,1042
138,2020-12-05,FAYETTE,1217,774,50,-,-,-,4,196,1737,821,933,2866
