,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
18,2020-11-22,APPLING,638,221,6,-,-,-,2,116,702,353,402,1220
27,2020-11-22,ATKINSON,264,69,0,-,-,-,0,152,256,180,105,513
26,2020-11-22,BACON,418,89,4,-,-,-,0,106,458,150,97,661
28,2020-11-22,BAKER,47,48,0,-,-,-,0,10,78,8,15,103
1,2020-11-22,BALDWIN,1212,729,15,-,-,-,1,64,1695,512,710,2469
29,2020-11-22,BANKS,539,20,9,-,-,-,1,44,494,132,163,701
24,2020-11-22,BARROW,1825,364,91,-,-,-,1,378,1850,745,798,3026
25,2020-11-22,BARTOW,2449,415,38,-,-,-,5,522,2102,1366,1649,4273
31,2020-11-22,BEN HILL,403,270,4,-,-,-,0,43,627,243,250,920
104,2020-11-22,BERRIEN,384,71,0,-,-,-,2,37,442,94,72,551
0,2020-11-22,BIBB,1898,4000,70,-,-,-,0,167,5457,1193,1537,7161
32,2020-11-22,BLECKLEY,341,171,3,-,-,-,0,17,464,28,62,543
33,2020-11-22,BRANTLEY,407,22,1,-,-,-,0,4,413,93,106,523
132,2020-11-22,BROOKS,190,239,1,-,-,-,0,41,379,136,146,566
123,2020-11-22,BRYAN,882,222,15,-,-,-,2,54,1035,273,305,1394
34,2020-11-22,BULLOCH,1790,763,22,-,-,-,0,130,2334,677,788,3252
126,2020-11-22,BURKE,283,528,3,-,-,-,0,32,719,165,228,979
35,2020-11-22,BUTTS,431,240,3,-,-,-,0,11,567,178,274,852
133,2020-11-22,CALHOUN,57,165,2,-,-,-,0,6,199,47,66,271
111,2020-11-22,CAMDEN,936,362,18,-,-,-,0,83,1197,354,390,1670
30,2020-11-22,CANDLER,289,114,0,-,-,-,2,82,353,175,145,580
107,2020-11-22,CARROLL,2195,861,10,-,-,-,1,265,1901,888,1789,3955
41,2020-11-22,CATOOSA,1236,54,14,-,-,-,3,54,1085,590,758,1897
38,2020-11-22,CHARLTON,235,137,5,-,-,-,0,100,281,305,301,682
39,2020-11-22,CHATHAM,4259,4111,195,-,-,-,11,707,7605,1747,2011,10323
37,2020-11-22,CHATTAHOOCHEE,1326,237,32,-,-,-,0,118,633,323,1167,1918
40,2020-11-22,CHATTOOGA,576,84,4,-,-,-,4,84,514,420,490,1088
130,2020-11-22,CHEROKEE,6020,470,81,-,-,-,4,1439,4962,2151,2325,8726
2,2020-11-22,CLARKE,3683,1070,230,-,-,-,3,793,4133,1463,1523,6449
134,2020-11-22,CLAY,27,80,0,-,-,-,1,5,106,18,15,126
36,2020-11-22,CLAYTON,1116,5287,282,-,-,-,6,1388,5069,2791,3025,9482
46,2020-11-22,CLINCH,218,142,0,-,-,-,0,20,348,127,119,487
47,2020-11-22,COBB,11376,6389,655,-,-,-,22,5516,14632,6883,5177,25325
3,2020-11-22,COFFEE,1170,649,8,-,-,-,2,303,1518,699,707,2528
43,2020-11-22,COLQUITT,1222,420,12,-,-,-,1,743,1176,545,281,2200
13,2020-11-22,COLUMBIA,2663,1058,135,-,-,-,4,190,3357,1310,1623,5170
105,2020-11-22,COOK,370,186,1,-,-,-,0,51,536,166,136,723
45,2020-11-22,COWETA,1808,780,27,-,-,-,2,324,2223,820,890,3437
108,2020-11-22,CRAWFORD,107,73,0,-,-,-,0,2,163,40,55,220
44,2020-11-22,CRISP,224,321,8,-,-,-,1,36,515,145,148,699
42,2020-11-22,DADE,312,8,5,-,-,-,0,15,276,145,179,470
136,2020-11-22,DAWSON,908,9,5,-,-,-,1,62,835,129,155,1052
50,2020-11-22,DECATUR,620,551,2,-,-,-,1,127,985,205,267,1379
118,2020-11-22,DEKALB,6009,11392,1231,-,-,-,16,3503,14540,6345,6950,24993
117,2020-11-22,DODGE,404,245,2,-,-,-,0,8,588,55,110,706
51,2020-11-22,DOOLY,138,220,1,-,-,-,0,32,329,56,54,415
53,2020-11-22,DOUGHERTY,618,2463,18,-,-,-,0,77,2697,299,624,3398
122,2020-11-22,DOUGLAS,1553,2194,84,-,-,-,2,678,3241,912,826,4745
54,2020-11-22,EARLY,160,363,1,-,-,-,0,6,480,80,118,604
52,2020-11-22,ECHOLS,96,7,1,-,-,-,0,118,73,150,63,254
106,2020-11-22,EFFINGHAM,1335,355,12,-,-,-,0,94,1542,331,397,2033
21,2020-11-22,ELBERT,389,340,4,-,-,-,0,48,665,144,164,877
48,2020-11-22,EMANUEL,549,370,9,-,-,-,1,33,849,340,387,1269
49,2020-11-22,EVANS,226,134,1,-,-,-,0,79,326,153,109,514
137,2020-11-22,FANNIN,823,1,0,-,-,-,0,38,753,123,156,947
138,2020-11-22,FAYETTE,1069,690,44,-,-,-,4,167,1520,726,846,2533
135,2020-11-22,FLOYD,2454,595,30,-,-,-,5,685,2288,1739,1850,4823
56,2020-11-22,FORSYTH,3911,201,231,-,-,-,5,864,3399,1439,1524,5787
100,2020-11-22,FRANKLIN,791,98,6,-,-,-,0,64,803,220,248,1115
16,2020-11-22,FULTON,11623,14205,805,-,-,-,34,3747,22312,9119,9727,35786
60,2020-11-22,GILMER,993,4,6,-,-,-,0,222,758,170,193,1173
55,2020-11-22,GLASCOCK,41,8,0,-,-,-,0,0,45,14,18,63
59,2020-11-22,GLYNN,2248,994,44,-,-,-,2,562,2865,768,629,4056
57,2020-11-22,GORDON,1684,107,29,-,-,-,9,607,1273,1108,1057,2937
58,2020-11-22,GRADY,499,281,0,-,-,-,2,231,569,115,97,897
109,2020-11-22,GREENE,254,248,0,-,-,-,0,37,389,123,199,625
64,2020-11-22,GWINNETT,13058,6421,1919,-,-,-,37,9534,14401,13590,11090,35025
62,2020-11-22,HABERSHAM,1581,56,31,-,-,-,0,433,1269,501,467,2169
139,2020-11-22,HALL,7052,703,76,-,-,-,1,3718,5804,4076,2386,11908
115,2020-11-22,HANCOCK,81,287,0,-,-,-,0,3,331,86,120,454
63,2020-11-22,HARALSON,697,19,1,-,-,-,0,8,412,127,424,844
142,2020-11-22,HARRIS,552,227,6,-,-,-,0,27,705,140,193,925
103,2020-11-22,HART,411,150,10,-,-,-,1,40,516,120,136,692
65,2020-11-22,HEARD,202,45,0,-,-,-,0,2,213,32,64,279
11,2020-11-22,HENRY,2093,3227,142,-,-,-,11,453,4374,1803,2449,7276
144,2020-11-22,HOUSTON,1624,1332,62,-,-,-,4,216,2747,1132,1191,4154
66,2020-11-22,IRWIN,178,111,1,-,-,-,0,23,277,108,98,398
128,2020-11-22,JACKSON,2087,171,64,-,-,-,3,266,1949,651,761,2976
145,2020-11-22,JASPER,162,64,0,-,-,-,0,5,204,42,59,268
141,2020-11-22,JEFF DAVIS,571,79,4,-,-,-,0,112,552,176,166,830
19,2020-11-22,JEFFERSON,255,543,1,-,-,-,3,25,711,136,202,938
61,2020-11-22,JENKINS,215,226,1,-,-,-,0,24,405,44,57,486
143,2020-11-22,JOHNSON,258,179,0,-,-,-,0,7,393,21,58,458
140,2020-11-22,JONES,424,190,2,-,-,-,0,5,543,109,177,725
147,2020-11-22,LAMAR,268,145,1,-,-,-,1,7,365,102,145,517
70,2020-11-22,LANIER,133,66,0,-,-,-,0,33,192,133,107,332
71,2020-11-22,LAURENS,1117,885,12,-,-,-,2,38,1872,152,258,2168
148,2020-11-22,LEE,412,275,5,-,-,-,1,16,614,100,163,793
151,2020-11-22,LIBERTY,429,702,23,-,-,-,1,92,1000,278,341,1433
116,2020-11-22,LINCOLN,108,92,0,-,-,-,0,2,169,72,101,272
72,2020-11-22,LONG,171,92,1,-,-,-,0,22,235,40,47,304
6,2020-11-22,LOWNDES,1862,1750,34,-,-,-,3,280,3491,1364,1242,5013
68,2020-11-22,LUMPKIN,1045,23,4,-,-,-,0,47,1017,142,150,1214
7,2020-11-22,MACON,58,139,1,-,-,-,0,24,200,87,61,285
97,2020-11-22,MADISON,573,99,9,-,-,-,1,96,552,274,308,956
150,2020-11-22,MARION,85,80,2,-,-,-,0,23,157,47,34,214
69,2020-11-22,MCDUFFIE,268,316,2,-,-,-,0,32,484,191,261,777
124,2020-11-22,MCINTOSH,180,139,0,-,-,-,0,3,301,27,42,346
67,2020-11-22,MERIWETHER,220,356,3,-,-,-,1,3,531,50,96,630
17,2020-11-22,MILLER,178,140,0,-,-,-,0,10,303,28,33,346
