,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
20,2020-11-23,APPLING,640,221,6,-,-,-,2,116,703,353,403,1222
29,2020-11-23,ATKINSON,265,69,0,-,-,-,0,152,257,180,105,514
25,2020-11-23,BACON,418,89,4,-,-,-,0,106,458,151,98,662
27,2020-11-23,BAKER,47,48,0,-,-,-,0,10,78,8,15,103
1,2020-11-23,BALDWIN,1213,729,15,-,-,-,1,65,1696,518,715,2476
28,2020-11-23,BANKS,542,20,9,-,-,-,1,44,497,132,163,704
26,2020-11-23,BARROW,1833,366,92,-,-,-,1,378,1861,749,802,3041
24,2020-11-23,BARTOW,2465,418,38,-,-,-,5,523,2116,1366,1653,4292
35,2020-11-23,BEN HILL,404,272,4,-,-,-,0,43,630,242,249,922
109,2020-11-23,BERRIEN,386,71,0,-,-,-,2,37,444,96,74,555
2,2020-11-23,BIBB,1902,4012,70,-,-,-,1,167,5470,1193,1541,7178
34,2020-11-23,BLECKLEY,342,171,3,-,-,-,0,17,465,28,62,544
32,2020-11-23,BRANTLEY,408,22,1,-,-,-,0,4,414,92,105,523
133,2020-11-23,BROOKS,190,239,1,-,-,-,0,41,379,136,146,566
126,2020-11-23,BRYAN,887,223,15,-,-,-,4,54,1041,272,306,1401
33,2020-11-23,BULLOCH,1798,772,22,-,-,-,0,132,2350,675,785,3267
123,2020-11-23,BURKE,284,528,3,-,-,-,0,32,719,166,230,981
30,2020-11-23,BUTTS,433,241,3,-,-,-,0,11,570,179,275,856
128,2020-11-23,CALHOUN,56,166,2,-,-,-,0,5,200,46,65,270
117,2020-11-23,CAMDEN,936,362,18,-,-,-,0,83,1197,365,401,1681
31,2020-11-23,CANDLER,289,114,0,-,-,-,2,82,353,175,145,580
108,2020-11-23,CARROLL,2210,866,12,-,-,-,1,266,1905,892,1810,3981
39,2020-11-23,CATOOSA,1249,54,14,-,-,-,3,54,1095,601,772,1921
40,2020-11-23,CHARLTON,235,137,5,-,-,-,0,100,281,308,304,685
41,2020-11-23,CHATHAM,4277,4123,195,-,-,-,11,710,7624,1752,2024,10358
36,2020-11-23,CHATTAHOOCHEE,1326,238,32,-,-,-,0,118,633,324,1169,1920
37,2020-11-23,CHATTOOGA,581,85,4,-,-,-,4,84,520,418,488,1092
129,2020-11-23,CHEROKEE,6031,470,81,-,-,-,4,1441,4973,2175,2347,8761
4,2020-11-23,CLARKE,3711,1082,231,-,-,-,3,797,4163,1450,1517,6477
134,2020-11-23,CLAY,27,80,0,-,-,-,1,4,106,17,15,125
38,2020-11-23,CLAYTON,1117,5301,282,-,-,-,7,1390,5083,2795,3029,9502
45,2020-11-23,CLINCH,220,142,0,-,-,-,0,20,350,126,118,488
