,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
137,2020-12-15,HOUSTON,2003,1586,80,-,-,-,7,251,3345,1273,1353,4949
62,2020-12-15,IRWIN,213,130,1,-,-,-,0,26,337,115,96,459
126,2020-12-15,JACKSON,2692,230,87,-,-,-,7,327,2500,945,1134,3961
145,2020-12-15,JASPER,203,77,0,-,-,-,0,5,259,58,74,338
146,2020-12-15,JEFF DAVIS,616,87,4,-,-,-,0,118,605,177,161,884
20,2020-12-15,JEFFERSON,290,617,1,-,-,-,3,26,810,125,200,1036
64,2020-12-15,JENKINS,221,234,1,-,-,-,0,24,420,40,52,496
142,2020-12-15,JOHNSON,276,194,0,-,-,-,0,7,422,25,66,495
147,2020-12-15,JONES,493,243,4,-,-,-,0,7,661,110,182,850
143,2020-12-15,LAMAR,329,180,2,-,-,-,1,8,452,142,194,654
63,2020-12-15,LANIER,150,74,0,-,-,-,0,34,217,136,109,360
68,2020-12-15,LAURENS,1264,960,14,-,-,-,2,37,2063,179,319,2419
144,2020-12-15,LEE,466,311,5,-,-,-,1,20,711,129,181,912
152,2020-12-15,LIBERTY,508,806,23,-,-,-,1,107,1130,295,396,1633
123,2020-12-15,LINCOLN,132,101,0,-,-,-,0,3,205,68,93,301
72,2020-12-15,LONG,199,98,1,-,-,-,0,24,265,55,64,353
8,2020-12-15,LOWNDES,2156,1996,53,-,-,-,4,331,4011,1459,1326,5668
69,2020-12-15,LUMPKIN,1256,28,4,-,-,-,1,53,1231,213,218,1502
6,2020-12-15,MACON,70,166,1,-,-,-,0,25,234,93,71,330
103,2020-12-15,MADISON,808,142,9,-,-,-,0,105,764,331,421,1290
153,2020-12-15,MARION,87,86,2,-,-,-,0,23,167,49,34,224
70,2020-12-15,MCDUFFIE,330,377,2,-,-,-,0,35,604,171,241,880
129,2020-12-15,MCINTOSH,210,158,0,-,-,-,0,4,344,45,65,413
71,2020-12-15,MERIWETHER,249,376,3,-,-,-,1,7,576,72,118,701
13,2020-12-15,MILLER,185,152,1,-,-,-,0,12,324,41,43,379
150,2020-12-15,MITCHELL,359,517,3,-,-,-,0,64,760,106,161,985
14,2020-12-15,MONROE,512,328,3,-,-,-,3,18,784,203,247,1049
151,2020-12-15,MONTGOMERY,285,100,0,-,-,-,0,38,349,35,33,420
156,2020-12-15,MORGAN,344,211,0,-,-,-,1,10,460,99,185,655
127,2020-12-15,MURRAY,1616,15,2,-,-,-,0,441,1250,528,470,2161
73,2020-12-15,MUSCOGEE,2445,3374,91,-,-,-,9,493,5239,1764,1951,7683
148,2020-12-15,NEWTON,1317,1920,18,-,-,-,3,279,2719,715,975,3973
79,2020-12-15,OCONEE,918,65,18,-,-,-,0,77,841,242,325,1243
75,2020-12-15,OGLETHORPE,321,141,1,-,-,-,0,38,401,119,143,582
74,2020-12-15,PAULDING,2603,1002,24,-,-,-,10,388,2419,1192,2024,4831
78,2020-12-15,PEACH,331,476,4,-,-,-,0,53,740,229,247,1040
9,2020-12-15,PICKENS,1058,13,2,-,-,-,1,42,933,160,259,1234
116,2020-12-15,PIERCE,525,104,1,-,-,-,0,34,581,151,166,781
111,2020-12-15,PIKE,374,52,1,-,-,-,0,17,390,100,120,527
149,2020-12-15,POLK,1127,220,9,-,-,-,6,370,1060,822,754,2184
12,2020-12-15,PULASKI,192,186,3,-,-,-,1,5,311,24,90,406
130,2020-12-15,PUTNAM,448,333,4,-,-,-,0,81,630,214,288,999
109,2020-12-15,QUITMAN,6,34,0,-,-,-,0,0,40,6,6,46
76,2020-12-15,RABUN,640,11,1,-,-,-,0,75,556,143,164,795
18,2020-12-15,RANDOLPH,66,210,1,-,-,-,1,4,296,69,47,347
77,2020-12-15,RICHMOND,3140,5792,113,-,-,-,4,339,8195,2036,2551,11085
82,2020-12-15,ROCKDALE,759,1682,40,-,-,-,4,348,1988,591,740,3076
81,2020-12-15,SCHLEY,77,49,1,-,-,-,0,3,124,14,14,141
