,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
25,2020-12-25,APPLING,737,247,7,-,-,-,2,119,824,408,458,1401
26,2020-12-25,ATKINSON,310,110,0,-,-,-,0,163,336,201,122,621
22,2020-12-25,BACON,502,107,4,-,-,-,0,112,561,181,121,794
23,2020-12-25,BAKER,62,57,0,-,-,-,0,16,96,9,16,128
0,2020-12-25,BALDWIN,1376,856,22,-,-,-,1,75,1994,584,770,2839
28,2020-12-25,BANKS,824,29,9,-,-,-,1,62,752,234,283,1097
30,2020-12-25,BARROW,2725,526,134,-,-,-,2,526,2738,1205,1328,4592
27,2020-12-25,BARTOW,3629,577,51,-,-,-,8,650,3236,1983,2362,6248
29,2020-12-25,BEN HILL,533,359,5,-,-,-,0,61,846,282,272,1179
107,2020-12-25,BERRIEN,541,100,0,-,-,-,2,47,621,121,96,764
4,2020-12-25,BIBB,2427,5137,103,-,-,-,1,205,7062,1391,1792,9059
31,2020-12-25,BLECKLEY,408,183,2,-,-,-,0,21,536,36,72,629
32,2020-12-25,BRANTLEY,502,24,1,-,-,-,0,6,505,124,140,651
127,2020-12-25,BROOKS,249,328,1,-,-,-,0,54,504,179,199,757
121,2020-12-25,BRYAN,1108,275,20,-,-,-,3,81,1294,307,338,1713
36,2020-12-25,BULLOCH,2014,882,32,-,-,-,2,150,2714,736,802,3666
122,2020-12-25,BURKE,352,610,4,-,-,-,0,34,858,180,254,1146
33,2020-12-25,BUTTS,660,294,3,-,-,-,0,14,802,266,407,1223
133,2020-12-25,CALHOUN,69,177,2,-,-,-,0,5,226,60,77,308
115,2020-12-25,CAMDEN,1290,434,24,-,-,-,0,105,1612,408,439,2156
37,2020-12-25,CANDLER,318,120,3,-,-,-,0,81,393,163,130,604
106,2020-12-25,CARROLL,2898,1060,29,-,-,-,2,322,2703,1151,2115,5140
34,2020-12-25,CATOOSA,1970,65,21,-,-,-,3,68,1755,1033,1269,3092
35,2020-12-25,CHARLTON,294,181,6,-,-,-,0,105,368,344,352,825
43,2020-12-25,CHATHAM,5287,5022,253,-,-,-,18,838,9409,1913,2246,12493
39,2020-12-25,CHATTAHOOCHEE,1480,274,35,-,-,-,0,135,697,354,1311,2143
38,2020-12-25,CHATTOOGA,812,108,5,-,-,-,3,92,746,552,642,1480
132,2020-12-25,CHEROKEE,8468,633,130,-,-,-,5,1792,7215,2966,3195,12202
3,2020-12-25,CLARKE,4585,1590,292,-,-,-,6,964,5385,1746,1870,8219
134,2020-12-25,CLAY,35,82,0,-,-,-,1,5,110,25,28,143
41,2020-12-25,CLAYTON,1552,7177,413,-,-,-,9,1815,7219,3600,3717,12751
40,2020-12-25,CLINCH,261,155,3,-,-,-,1,20,401,117,116,537
42,2020-12-25,COBB,15623,8569,927,-,-,-,33,6957,19933,10156,8418,35308
10,2020-12-25,COFFEE,1562,978,11,-,-,-,2,366,2186,797,798,3350
45,2020-12-25,COLQUITT,1373,475,17,-,-,-,1,775,1405,625,311,2491
13,2020-12-25,COLUMBIA,3664,1457,178,-,-,-,4,267,4682,1668,2022,6971
101,2020-12-25,COOK,506,268,2,-,-,-,0,57,757,190,152,966
44,2020-12-25,COWETA,2779,1043,44,-,-,-,2,413,3372,1102,1185,4970
104,2020-12-25,CRAWFORD,185,104,0,-,-,-,0,4,262,57,80,346
46,2020-12-25,CRISP,344,411,9,-,-,-,1,42,682,167,208,932
48,2020-12-25,DADE,472,8,5,-,-,-,0,17,428,200,240,685
136,2020-12-25,DAWSON,1306,10,6,-,-,-,1,82,1227,264,278,1587
47,2020-12-25,DECATUR,707,631,3,-,-,-,1,137,1142,243,306,1585
120,2020-12-25,DEKALB,8148,15355,1484,-,-,-,26,4214,20573,8957,9183,33970
118,2020-12-25,DODGE,478,279,3,-,-,-,0,11,687,52,114,812
54,2020-12-25,DOOLY,192,265,2,-,-,-,0,33,414,60,72,519
52,2020-12-25,DOUGHERTY,722,2817,20,-,-,-,0,92,3247,366,586,3925
129,2020-12-25,DOUGLAS,2164,3037,109,-,-,-,3,886,4408,1276,1295,6589
53,2020-12-25,EARLY,190,404,1,-,-,-,0,6,562,102,129,697
50,2020-12-25,ECHOLS,148,8,2,-,-,-,0,134,110,153,67,311
109,2020-12-25,EFFINGHAM,1573,403,15,-,-,-,0,110,1851,387,417,2378
16,2020-12-25,ELBERT,538,387,8,-,-,-,0,52,820,188,249,1121
51,2020-12-25,EMANUEL,621,403,9,-,-,-,1,35,955,359,403,1393
49,2020-12-25,EVANS,261,147,2,-,-,-,0,92,372,173,119,583
135,2020-12-25,FANNIN,1072,2,0,-,-,-,1,49,979,171,218,1246
138,2020-12-25,FAYETTE,1583,940,68,-,-,-,8,261,2232,1012,1118,3611
137,2020-12-25,FLOYD,3356,806,41,-,-,-,9,797,3226,2282,2471,6494
59,2020-12-25,FORSYTH,5709,282,391,-,-,-,7,1189,5161,2478,2517,8867
103,2020-12-25,FRANKLIN,1144,138,12,-,-,-,0,83,1153,295,353,1589
12,2020-12-25,FULTON,16750,18659,1353,-,-,-,45,4993,31444,12370,12740,49177
56,2020-12-25,GILMER,1298,7,9,-,-,-,0,259,1041,251,265,1565
55,2020-12-25,GLASCOCK,56,14,0,-,-,-,0,0,63,15,22,85
58,2020-12-25,GLYNN,2657,1175,53,-,-,-,2,605,3442,810,650,4697
57,2020-12-25,GORDON,2322,146,51,-,-,-,10,743,1842,1414,1358,3943
61,2020-12-25,GRADY,572,330,0,-,-,-,4,241,690,135,110,1041
105,2020-12-25,GREENE,364,347,1,-,-,-,0,52,551,177,286,889
65,2020-12-25,GWINNETT,17012,8918,2841,-,-,-,55,11859,20513,20328,16782,49154
62,2020-12-25,HABERSHAM,2444,80,43,-,-,-,0,556,2045,810,776,3377
140,2020-12-25,HALL,9963,953,121,-,-,-,2,4637,8318,5796,3880,16835
113,2020-12-25,HANCOCK,95,320,0,-,-,-,0,3,379,162,195,577
63,2020-12-25,HARALSON,945,30,3,-,-,-,0,12,622,213,557,1191
141,2020-12-25,HARRIS,739,263,7,-,-,-,0,32,912,205,270,1214
108,2020-12-25,HART,652,240,12,-,-,-,1,45,838,184,206,1089
64,2020-12-25,HEARD,304,54,1,-,-,-,0,3,308,53,101,412
9,2020-12-25,HENRY,3151,4472,208,-,-,-,17,702,6563,2747,3330,10595
142,2020-12-25,HOUSTON,2337,1789,94,-,-,-,7,282,3852,1609,1702,5836
60,2020-12-25,IRWIN,270,146,1,-,-,-,0,27,409,122,103,539
130,2020-12-25,JACKSON,3213,286,98,-,-,-,8,368,2950,1232,1519,4837
139,2020-12-25,JASPER,240,83,0,-,-,-,0,7,296,65,85,388
144,2020-12-25,JEFF DAVIS,657,98,4,-,-,-,0,119,653,178,165,937
18,2020-12-25,JEFFERSON,324,653,2,-,-,-,3,26,873,138,221,1120
69,2020-12-25,JENKINS,231,239,1,-,-,-,0,24,429,42,60,513
147,2020-12-25,JOHNSON,309,207,0,-,-,-,0,7,462,22,69,538
145,2020-12-25,JONES,544,298,4,-,-,-,0,7,761,138,216,984
146,2020-12-25,LAMAR,378,206,2,-,-,-,1,9,530,173,221,760
70,2020-12-25,LANIER,168,85,0,-,-,-,0,35,244,133,107,386
67,2020-12-25,LAURENS,1392,1052,14,-,-,-,2,37,2265,190,348,2650
143,2020-12-25,LEE,519,334,5,-,-,-,1,25,779,175,230,1034
153,2020-12-25,LIBERTY,560,864,24,-,-,-,1,126,1216,324,431,1773
124,2020-12-25,LINCOLN,147,112,0,-,-,-,0,3,229,65,92,324
68,2020-12-25,LONG,237,105,2,-,-,-,0,29,306,77,86,421
6,2020-12-25,LOWNDES,2309,2118,53,-,-,-,5,356,4260,1505,1374,5990
66,2020-12-25,LUMPKIN,1473,29,5,-,-,-,1,57,1467,269,253,1777
5,2020-12-25,MACON,78,176,1,-,-,-,0,25,249,99,80,354
99,2020-12-25,MADISON,965,178,10,-,-,-,0,115,909,362,491,1515
149,2020-12-25,MARION,98,92,2,-,-,-,0,24,183,57,42,249
71,2020-12-25,MCDUFFIE,371,406,2,-,-,-,0,39,663,176,253,955
123,2020-12-25,MCINTOSH,222,171,0,-,-,-,0,4,370,47,66,440
75,2020-12-25,MERIWETHER,296,408,3,-,-,-,1,9,642,103,160,811
14,2020-12-25,MILLER,206,165,1,-,-,-,0,14,359,58,57,430
150,2020-12-25,MITCHELL,396,583,3,-,-,-,0,70,857,126,181,1108
11,2020-12-25,MONROE,619,365,5,-,-,-,3,21,918,221,274,1213
151,2020-12-25,MONTGOMERY,317,116,0,-,-,-,0,41,397,69,64,502
159,2020-12-25,MORGAN,405,224,1,-,-,-,1,12,527,123,215,754
126,2020-12-25,MURRAY,1865,18,3,-,-,-,0,481,1463,614,556,2500
72,2020-12-25,MUSCOGEE,2717,3662,107,-,-,-,9,538,5758,2036,2235,8531
152,2020-12-25,NEWTON,1510,2126,22,-,-,-,3,298,3083,821,1101,4482
73,2020-12-25,OCONEE,1136,75,26,-,-,-,0,89,1028,322,442,1559
74,2020-12-25,OGLETHORPE,382,160,1,-,-,-,0,41,457,153,198,696
76,2020-12-25,PAULDING,3110,1127,34,-,-,-,14,416,2973,1397,2293,5682
79,2020-12-25,PEACH,385,512,4,-,-,-,0,58,823,258,278,1159
7,2020-12-25,PICKENS,1226,15,2,-,-,-,1,47,1081,182,298,1426
119,2020-12-25,PIERCE,583,108,1,-,-,-,0,36,641,173,188,865
111,2020-12-25,PIKE,424,55,1,-,-,-,0,17,442,124,145,604
148,2020-12-25,POLK,1324,250,10,-,-,-,6,386,1256,862,810,2452
17,2020-12-25,PULASKI,204,196,5,-,-,-,1,6,334,23,89,429
128,2020-12-25,PUTNAM,512,359,4,-,-,-,0,83,698,245,339,1120
112,2020-12-25,QUITMAN,8,34,0,-,-,-,0,0,42,7,7,49
81,2020-12-25,RABUN,765,13,1,-,-,-,0,87,662,198,228,977
21,2020-12-25,RANDOLPH,69,215,1,-,-,-,1,4,303,70,49,356
80,2020-12-25,RICHMOND,3470,6381,127,-,-,-,4,371,9022,2250,2839,12232
77,2020-12-25,ROCKDALE,837,1886,49,-,-,-,6,372,2252,697,851,3475
78,2020-12-25,SCHLEY,82,52,1,-,-,-,0,3,130,18,20,153
87,2020-12-25,SCREVEN,187,228,6,-,-,-,0,8,409,97,101,518
85,2020-12-25,SEMINOLE,308,207,0,-,-,-,0,9,494,38,50,553
84,2020-12-25,SPALDING,1087,799,14,-,-,-,1,105,1583,601,814,2502
155,2020-12-25,STEPHENS,1574,193,13,-,-,-,0,35,1673,306,378,2086
82,2020-12-25,STEWART,55,141,4,-,-,-,0,299,196,404,109,604
8,2020-12-25,SUMTER,380,626,5,-,-,-,1,66,970,272,248,1284
83,2020-12-25,TALBOT,60,137,0,-,-,-,0,0,194,38,41,235
86,2020-12-25,TALIAFERRO,12,30,0,-,-,-,0,2,40,3,3,45
92,2020-12-25,TATTNALL,617,182,1,-,-,-,0,155,672,430,403,1230
154,2020-12-25,TAYLOR,119,157,3,-,-,-,1,6,279,53,48,333
91,2020-12-25,TELFAIR,333,150,1,-,-,-,1,35,423,83,110,568
156,2020-12-25,TERRELL,74,328,3,-,-,-,1,5,379,37,59,443
89,2020-12-25,THOMAS,1027,1042,11,-,-,-,4,85,1910,176,265,2260
90,2020-12-25,TIFT,1319,851,14,-,-,-,1,395,2074,638,354,2823
88,2020-12-25,TOOMBS,843,391,9,-,-,-,3,186,1195,775,640,2021
94,2020-12-25,TOWNS,610,4,4,-,-,-,1,18,586,87,102,706
98,2020-12-25,TREUTLEN,198,156,4,-,-,-,0,1,334,28,51,386
