,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
1,2020-12-11,APPLING,683,241,7,-,-,-,2,121,760,360,412,1293
2,2020-12-11,ATKINSON,280,90,0,-,-,-,0,156,292,191,113,561
3,2020-12-11,BACON,432,98,4,-,-,-,0,108,485,158,99,692
4,2020-12-11,BAKER,51,54,0,-,-,-,0,10,87,10,18,115
5,2020-12-11,BALDWIN,1297,803,22,-,-,-,2,72,1868,518,702,2642
6,2020-12-11,BANKS,695,27,9,-,-,-,1,54,638,192,232,924
7,2020-12-11,BARROW,2276,443,117,-,-,-,1,447,2313,959,1036,3796
8,2020-12-11,BARTOW,3051,493,45,-,-,-,7,597,2664,1665,2000,5261
9,2020-12-11,BEN HILL,478,321,4,-,-,-,0,49,754,257,257,1060
10,2020-12-11,BERRIEN,464,85,0,-,-,-,2,42,531,105,83,656
11,2020-12-11,BIBB,2177,4597,91,-,-,-,0,185,6343,1224,1561,8089
12,2020-12-11,BLECKLEY,368,176,3,-,-,-,0,17,491,31,70,578
13,2020-12-11,BRANTLEY,458,23,1,-,-,-,0,4,461,106,123,588
14,2020-12-11,BROOKS,220,291,1,-,-,-,0,52,449,167,178,679
15,2020-12-11,BRYAN,1008,246,18,-,-,-,2,66,1176,282,314,1556
16,2020-12-11,BULLOCH,1897,830,24,-,-,-,2,142,2520,695,786,3448
17,2020-12-11,BURKE,322,574,4,-,-,-,0,32,797,159,230,1059
18,2020-12-11,BUTTS,540,271,3,-,-,-,0,13,685,208,324,1022
19,2020-12-11,CALHOUN,72,174,3,-,-,-,0,9,219,59,80,308
20,2020-12-11,CAMDEN,1150,401,18,-,-,-,0,96,1439,373,407,1942
21,2020-12-11,CANDLER,306,118,0,-,-,-,0,80,376,163,131,587
22,2020-12-11,CARROLL,2612,966,22,-,-,-,2,306,2322,1026,2000,4628
23,2020-12-11,CATOOSA,1630,62,15,-,-,-,3,60,1434,789,1005,2499
24,2020-12-11,CHARLTON,267,160,5,-,-,-,0,102,328,325,327,757
25,2020-12-11,CHATHAM,4859,4574,231,-,-,-,17,792,8590,1769,2068,11450
26,2020-12-11,CHATTAHOOCHEE,1456,263,35,-,-,-,0,132,680,345,1287,2099
27,2020-12-11,CHATTOOGA,707,92,5,-,-,-,4,89,629,486,576,1294
28,2020-12-11,CHEROKEE,7231,541,105,-,-,-,6,1657,6082,2535,2679,10418
29,2020-12-11,CLARKE,4237,1358,272,-,-,-,5,898,4894,1591,1671,7463
30,2020-12-11,CLAY,27,82,0,-,-,-,1,4,107,22,21,132
