,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
25,2020-12-28,APPLING,737,247,7,-,-,-,2,119,824,409,459,1402
26,2020-12-28,ATKINSON,310,110,0,-,-,-,0,163,336,201,122,621
22,2020-12-28,BACON,502,107,4,-,-,-,0,112,561,181,121,794
23,2020-12-28,BAKER,62,57,0,-,-,-,0,16,96,9,16,128
0,2020-12-28,BALDWIN,1376,857,22,-,-,-,1,75,1994,587,774,2843
28,2020-12-28,BANKS,824,29,9,-,-,-,1,62,752,235,284,1098
30,2020-12-28,BARROW,2729,527,134,-,-,-,2,526,2743,1212,1335,4604
27,2020-12-28,BARTOW,3639,577,51,-,-,-,8,651,3242,1986,2368,6261
29,2020-12-28,BEN HILL,533,359,5,-,-,-,0,61,846,282,272,1179
106,2020-12-28,BERRIEN,543,102,0,-,-,-,2,47,625,121,96,768
4,2020-12-28,BIBB,2429,5145,103,-,-,-,1,205,7066,1404,1811,9082
31,2020-12-28,BLECKLEY,408,183,2,-,-,-,0,21,536,36,72,629
32,2020-12-28,BRANTLEY,502,24,1,-,-,-,0,6,505,124,140,651
127,2020-12-28,BROOKS,250,328,1,-,-,-,0,54,505,179,199,758
121,2020-12-28,BRYAN,1111,276,20,-,-,-,3,81,1297,307,339,1717
36,2020-12-28,BULLOCH,2018,883,32,-,-,-,2,150,2719,737,803,3672
122,2020-12-28,BURKE,352,610,4,-,-,-,0,34,858,180,254,1146
33,2020-12-28,BUTTS,660,294,3,-,-,-,0,14,802,266,407,1223
133,2020-12-28,CALHOUN,69,177,2,-,-,-,0,5,226,60,77,308
115,2020-12-28,CAMDEN,1295,436,24,-,-,-,0,105,1619,408,439,2163
37,2020-12-28,CANDLER,318,120,3,-,-,-,0,81,393,164,131,605
105,2020-12-28,CARROLL,2898,1060,29,-,-,-,2,322,2703,1152,2116,5141
34,2020-12-28,CATOOSA,1971,65,21,-,-,-,3,68,1756,1033,1269,3093
35,2020-12-28,CHARLTON,295,181,6,-,-,-,0,105,369,344,352,826
43,2020-12-28,CHATHAM,5290,5029,253,-,-,-,18,838,9419,1914,2247,12504
39,2020-12-28,CHATTAHOOCHEE,1480,274,35,-,-,-,0,135,697,354,1311,2143
38,2020-12-28,CHATTOOGA,813,108,5,-,-,-,3,92,746,552,643,1481
132,2020-12-28,CHEROKEE,8486,635,130,-,-,-,6,1794,7234,2969,3198,12226
3,2020-12-28,CLARKE,4589,1595,292,-,-,-,6,964,5388,1753,1883,8235
134,2020-12-28,CLAY,35,82,0,-,-,-,1,5,110,25,28,143
40,2020-12-28,CLAYTON,1552,7183,413,-,-,-,9,1816,7225,3610,3726,12767
41,2020-12-28,CLINCH,261,155,3,-,-,-,1,20,401,117,116,537
42,2020-12-28,COBB,15645,8587,927,-,-,-,33,6962,19973,10187,8444,35379
10,2020-12-28,COFFEE,1562,980,11,-,-,-,2,366,2188,797,798,3352
