,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
23,2020-12-16,APPLING,692,238,7,-,-,-,2,118,775,368,414,1307
24,2020-12-16,ATKINSON,280,92,0,-,-,-,0,159,294,193,112,565
26,2020-12-16,BACON,440,99,4,-,-,-,0,109,494,161,101,704
25,2020-12-16,BAKER,52,53,0,-,-,-,0,10,88,10,17,115
4,2020-12-16,BALDWIN,1311,814,22,-,-,-,2,73,1899,531,708,2680
27,2020-12-16,BANKS,730,27,9,-,-,-,1,57,667,198,241,965
33,2020-12-16,BARROW,2347,464,119,-,-,-,1,475,2386,1005,1075,3936
31,2020-12-16,BARTOW,3165,507,47,-,-,-,7,606,2787,1711,2044,5437
32,2020-12-16,BEN HILL,494,324,4,-,-,-,0,52,773,269,266,1091
108,2020-12-16,BERRIEN,476,87,0,-,-,-,2,42,548,110,85,675
3,2020-12-16,BIBB,2212,4714,94,-,-,-,0,190,6479,1246,1597,8266
29,2020-12-16,BLECKLEY,373,180,3,-,-,-,0,19,500,33,70,589
30,2020-12-16,BRANTLEY,465,24,1,-,-,-,0,5,470,108,123,598
131,2020-12-16,BROOKS,224,302,1,-,-,-,0,53,458,177,193,704
119,2020-12-16,BRYAN,1024,251,18,-,-,-,2,68,1200,291,318,1586
28,2020-12-16,BULLOCH,1914,838,25,-,-,-,2,145,2558,707,783,3486
124,2020-12-16,BURKE,329,581,4,-,-,-,0,32,817,160,225,1074
34,2020-12-16,BUTTS,566,276,3,-,-,-,0,13,709,218,341,1063
132,2020-12-16,CALHOUN,75,174,3,-,-,-,0,9,226,61,78,313
117,2020-12-16,CAMDEN,1175,408,18,-,-,-,0,97,1470,375,409,1976
38,2020-12-16,CANDLER,308,119,0,-,-,-,0,80,379,162,130,589
104,2020-12-16,CARROLL,2664,985,22,-,-,-,2,312,2420,1050,1991,4723
37,2020-12-16,CATOOSA,1708,62,17,-,-,-,3,61,1507,841,1063,2631
36,2020-12-16,CHARLTON,274,165,5,-,-,-,0,103,338,324,327,768
35,2020-12-16,CHATHAM,4957,4657,238,-,-,-,16,804,8754,1777,2087,11645
43,2020-12-16,CHATTAHOOCHEE,1461,266,35,-,-,-,0,133,682,351,1298,2113
44,2020-12-16,CHATTOOGA,733,94,5,-,-,-,3,89,657,496,585,1331
133,2020-12-16,CHEROKEE,7449,566,109,-,-,-,6,1693,6311,2563,2689,10693
0,2020-12-16,CLARKE,4314,1415,279,-,-,-,5,920,5010,1611,1694,7624
134,2020-12-16,CLAY,32,82,0,-,-,-,1,5,108,22,24,137
41,2020-12-16,CLAYTON,1407,6512,383,-,-,-,8,1683,6493,3268,3402,11578
42,2020-12-16,CLINCH,234,147,3,-,-,-,1,20,372,121,114,506
40,2020-12-16,COBB,13893,7711,826,-,-,-,29,6459,17797,8690,6893,31149
10,2020-12-16,COFFEE,1382,874,9,-,-,-,2,339,1924,746,750,3013
39,2020-12-16,COLQUITT,1327,457,14,-,-,-,1,770,1334,595,290,2394
15,2020-12-16,COLUMBIA,3292,1318,163,-,-,-,5,243,4218,1474,1791,6252
105,2020-12-16,COOK,451,245,1,-,-,-,0,53,678,181,147,878
50,2020-12-16,COWETA,2379,936,37,-,-,-,2,386,2916,948,1000,4302
102,2020-12-16,CRAWFORD,145,86,0,-,-,-,0,2,213,48,64,279
49,2020-12-16,CRISP,299,389,8,-,-,-,1,40,630,160,187,857
46,2020-12-16,DADE,423,8,5,-,-,-,0,17,377,177,219,613
135,2020-12-16,DAWSON,1138,9,6,-,-,-,1,72,1065,206,223,1360
47,2020-12-16,DECATUR,656,609,2,-,-,-,1,133,1075,224,284,1492
116,2020-12-16,DEKALB,7400,13960,1399,-,-,-,22,3927,18546,7611,7919,30392
115,2020-12-16,DODGE,449,262,2,-,-,-,0,10,644,55,114,768
45,2020-12-16,DOOLY,180,246,2,-,-,-,0,33,390,56,61,484
48,2020-12-16,DOUGHERTY,683,2654,19,-,-,-,0,87,3061,331,539,3687
129,2020-12-16,DOUGLAS,1948,2718,105,-,-,-,3,800,4044,1089,1019,5863
54,2020-12-16,EARLY,174,391,1,-,-,-,0,6,534,89,115,655
55,2020-12-16,ECHOLS,137,8,2,-,-,-,0,134,99,152,66,299
103,2020-12-16,EFFINGHAM,1490,383,13,-,-,-,0,107,1744,354,389,2240
19,2020-12-16,ELBERT,491,366,6,-,-,-,0,52,765,184,230,1047
53,2020-12-16,EMANUEL,585,393,9,-,-,-,1,35,908,333,378,1321
51,2020-12-16,EVANS,247,139,1,-,-,-,0,90,353,159,103,546
141,2020-12-16,FANNIN,995,2,0,-,-,-,1,48,912,157,195,1155
139,2020-12-16,FAYETTE,1350,835,53,-,-,-,8,229,1935,912,994,3158
140,2020-12-16,FLOYD,3055,750,40,-,-,-,7,767,2905,2041,2221,5893
52,2020-12-16,FORSYTH,5035,249,335,-,-,-,7,1075,4509,2031,2073,7657
96,2020-12-16,FRANKLIN,993,116,9,-,-,-,0,75,1004,257,296,1375
14,2020-12-16,FULTON,14768,17026,1141,-,-,-,41,4483,27992,10717,11218,43693
56,2020-12-16,GILMER,1181,6,8,-,-,-,0,250,933,202,214,1397
57,2020-12-16,GLASCOCK,48,13,0,-,-,-,0,0,55,12,18,73
60,2020-12-16,GLYNN,2472,1099,50,-,-,-,1,585,3190,771,618,4393
61,2020-12-16,GORDON,2082,133,46,-,-,-,9,702,1633,1282,1217,3552
58,2020-12-16,GRADY,538,301,0,-,-,-,4,238,629,124,100,967
106,2020-12-16,GREENE,300,298,1,-,-,-,0,46,471,146,228,745
59,2020-12-16,GWINNETT,15526,8039,2498,-,-,-,43,11093,18347,17565,14231,43671
64,2020-12-16,HABERSHAM,2141,70,37,-,-,-,0,516,1763,650,619,2898
137,2020-12-16,HALL,8800,858,111,-,-,-,2,4309,7327,5077,3212,14848
110,2020-12-16,HANCOCK,86,304,0,-,-,-,0,3,354,144,177,534
67,2020-12-16,HARALSON,849,26,2,-,-,-,0,10,522,179,524,1056
138,2020-12-16,HARRIS,658,246,6,-,-,-,0,29,825,161,217,1071
109,2020-12-16,HART,548,205,11,-,-,-,1,44,702,141,160,906
62,2020-12-16,HEARD,275,51,1,-,-,-,0,2,275,43,93,370
9,2020-12-16,HENRY,2678,4034,177,-,-,-,16,600,5771,2285,2819,9190
136,2020-12-16,HOUSTON,2037,1605,82,-,-,-,7,253,3399,1253,1332,4984
63,2020-12-16,IRWIN,221,133,1,-,-,-,0,28,347,118,98,473
130,2020-12-16,JACKSON,2752,236,87,-,-,-,7,335,2554,949,1142,4031
147,2020-12-16,JASPER,205,78,0,-,-,-,0,6,261,56,72,339
145,2020-12-16,JEFF DAVIS,619,87,4,-,-,-,0,118,608,177,161,887
21,2020-12-16,JEFFERSON,291,618,1,-,-,-,3,26,814,126,199,1039
65,2020-12-16,JENKINS,221,235,1,-,-,-,0,24,421,40,52,497
146,2020-12-16,JOHNSON,279,194,0,-,-,-,0,7,426,25,65,498
143,2020-12-16,JONES,496,244,4,-,-,-,0,7,666,110,181,854
144,2020-12-16,LAMAR,331,182,2,-,-,-,1,8,457,141,192,657
66,2020-12-16,LANIER,150,77,0,-,-,-,0,34,220,136,109,363
71,2020-12-16,LAURENS,1266,963,14,-,-,-,2,37,2068,181,321,2426
142,2020-12-16,LEE,468,313,5,-,-,-,1,20,715,130,182,917
148,2020-12-16,LIBERTY,513,807,23,-,-,-,1,108,1143,295,388,1639
122,2020-12-16,LINCOLN,133,101,0,-,-,-,0,3,207,68,92,302
72,2020-12-16,LONG,202,98,1,-,-,-,0,24,267,55,65,356
7,2020-12-16,LOWNDES,2175,2005,53,-,-,-,4,334,4037,1457,1323,5694
73,2020-12-16,LUMPKIN,1285,28,4,-,-,-,1,53,1261,211,215,1529
8,2020-12-16,MACON,70,166,1,-,-,-,0,25,234,93,71,330
107,2020-12-16,MADISON,820,149,9,-,-,-,0,109,781,328,416,1306
152,2020-12-16,MARION,92,88,2,-,-,-,0,23,174,50,35,232
68,2020-12-16,MCDUFFIE,333,380,2,-,-,-,0,35,610,170,240,885
125,2020-12-16,MCINTOSH,210,158,0,-,-,-,0,4,345,45,64,413
69,2020-12-16,MERIWETHER,249,381,3,-,-,-,1,9,580,75,120,709
11,2020-12-16,MILLER,186,153,1,-,-,-,0,13,326,40,41,380
149,2020-12-16,MITCHELL,360,522,3,-,-,-,0,64,766,106,161,991
12,2020-12-16,MONROE,520,331,4,-,-,-,3,19,797,202,244,1060
151,2020-12-16,MONTGOMERY,285,100,0,-,-,-,0,38,349,38,36,423
159,2020-12-16,MORGAN,353,211,0,-,-,-,1,10,469,99,185,664
126,2020-12-16,MURRAY,1646,15,2,-,-,-,0,440,1275,522,470,2185
70,2020-12-16,MUSCOGEE,2470,3404,95,-,-,-,9,500,5301,1768,1945,7746
150,2020-12-16,NEWTON,1331,1933,18,-,-,-,3,280,2751,720,974,4005
78,2020-12-16,OCONEE,929,65,19,-,-,-,0,77,857,248,327,1261
77,2020-12-16,OGLETHORPE,325,142,1,-,-,-,0,38,405,118,143,586
75,2020-12-16,PAULDING,2648,1015,24,-,-,-,10,395,2476,1198,2024,4895
76,2020-12-16,PEACH,335,480,4,-,-,-,0,53,748,228,246,1047
6,2020-12-16,PICKENS,1071,14,2,-,-,-,0,42,946,154,253,1241
120,2020-12-16,PIERCE,529,104,1,-,-,-,0,34,586,151,165,785
111,2020-12-16,PIKE,379,53,1,-,-,-,0,17,394,99,121,532
154,2020-12-16,POLK,1143,221,9,-,-,-,6,370,1076,818,751,2197
13,2020-12-16,PULASKI,192,187,3,-,-,-,1,5,312,23,89,406
128,2020-12-16,PUTNAM,455,339,4,-,-,-,0,81,637,216,296,1014
112,2020-12-16,QUITMAN,6,34,0,-,-,-,0,0,40,6,6,46
74,2020-12-16,RABUN,652,12,1,-,-,-,0,75,569,138,159,803
20,2020-12-16,RANDOLPH,66,212,1,-,-,-,1,4,297,68,47,348
84,2020-12-16,RICHMOND,3164,5837,115,-,-,-,4,341,8265,2024,2538,11144
80,2020-12-16,ROCKDALE,766,1695,40,-,-,-,4,350,2009,587,733,3092
81,2020-12-16,SCHLEY,77,49,1,-,-,-,0,3,124,15,15,142
82,2020-12-16,SCREVEN,186,212,6,-,-,-,0,8,391,85,90,489
83,2020-12-16,SEMINOLE,286,199,0,-,-,-,0,8,465,33,45,518
