date,county_name,white,black,asian,ai/an**,nh/pi*,two_plus,other,left blank,hispanic,non_hispanic,eth_unknown,total
2020-11-17,Adams,1069.0,82.0,0.0,0.0,0.0,-,0.0,2723.0,6.0,-,-,3888.0
2020-11-17,Alexander,88.0,55.0,0.0,-,0.0,-,0.0,73.0,0.0,-,-,220.0
2020-11-17,Bond,334.0,14.0,0.0,0.0,-,-,17.0,472.0,0.0,-,-,842.0
2020-11-17,Boone,1393.0,46.0,24.0,0.0,0.0,-,50.0,541.0,1164.0,-,-,3232.0
2020-11-17,Brown,130.0,40.0,-,-,-,-,0.0,56.0,7.0,-,-,236.0
2020-11-17,Bureau,691.0,0.0,0.0,0.0,0.0,-,25.0,823.0,173.0,-,-,1726.0
2020-11-17,Calhoun,114.0,0.0,-,0.0,-,-,0.0,44.0,0.0,-,-,167.0
2020-11-17,Carroll,419.0,32.0,0.0,0.0,0.0,-,9.0,427.0,13.0,-,-,911.0
2020-11-17,Cass,394.0,25.0,0.0,0.0,0.0,-,0.0,83.0,244.0,-,-,757.0
2020-11-17,Champaign,5637.0,1255.0,487.0,0.0,6.0,-,291.0,430.0,1196.0,-,-,9310.0
2020-11-17,Christian,641.0,57.0,0.0,0.0,0.0,-,18.0,779.0,51.0,-,-,1558.0
2020-11-17,Clark,457.0,0.0,0.0,0.0,-,-,7.0,160.0,0.0,-,-,633.0
2020-11-17,Clay,519.0,0.0,0.0,0.0,0.0,-,8.0,79.0,0.0,-,-,616.0
2020-11-17,Clinton,1444.0,48.0,0.0,0.0,0.0,-,78.0,1033.0,42.0,-,-,2647.0
2020-11-17,Coles,2230.0,112.0,16.0,0.0,0.0,-,54.0,400.0,70.0,-,-,2888.0
2020-11-17,Cook,31671.0,13285.0,3630.0,222.0,225.0,-,6529.0,40365.0,25692.0,-,-,121621.0
2020-11-17,Crawford,565.0,151.0,0.0,0.0,0.0,-,16.0,124.0,36.0,-,-,897.0
2020-11-17,Cumberland,351.0,0.0,0.0,-,-,-,8.0,133.0,0.0,-,-,496.0
2020-11-17,De Witt,366.0,0.0,0.0,0.0,0.0,-,0.0,123.0,6.0,-,-,510.0
2020-11-17,DeKalb,2129.0,341.0,57.0,0.0,0.0,-,47.0,754.0,810.0,-,-,4146.0
2020-11-17,Douglas,620.0,0.0,0.0,0.0,0.0,-,38.0,252.0,216.0,-,-,1144.0
2020-11-17,DuPage,14010.0,1395.0,1875.0,40.0,40.0,-,1189.0,11298.0,7093.0,-,-,36941.0
2020-11-17,Edgar,538.0,0.0,0.0,0.0,0.0,-,0.0,61.0,0.0,-,-,606.0
2020-11-17,Edwards,146.0,0.0,0.0,-,-,-,0.0,23.0,0.0,-,-,172.0
2020-11-17,Effingham,827.0,0.0,0.0,0.0,0.0,-,104.0,1210.0,13.0,-,-,2161.0
2020-11-17,Fayette,736.0,0.0,0.0,0.0,0.0,-,41.0,436.0,0.0,-,-,1223.0
2020-11-17,Ford,421.0,0.0,0.0,0.0,0.0,-,9.0,105.0,10.0,-,-,558.0
2020-11-17,Franklin,1175.0,0.0,0.0,0.0,-,-,13.0,464.0,12.0,-,-,1673.0
2020-11-17,Fulton,265.0,15.0,0.0,0.0,0.0,-,7.0,787.0,0.0,-,-,1080.0
2020-11-17,Gallatin,133.0,0.0,0.0,-,-,-,0.0,26.0,0.0,-,-,164.0
2020-11-17,Greene,329.0,0.0,0.0,0.0,0.0,-,7.0,317.0,0.0,-,-,654.0
2020-11-17,Grundy,1193.0,18.0,0.0,0.0,0.0,-,103.0,682.0,123.0,-,-,2126.0
2020-11-17,Hamilton,194.0,0.0,0.0,0.0,0.0,-,0.0,103.0,0.0,-,-,308.0
2020-11-17,Hancock,244.0,0.0,0.0,0.0,0.0,-,6.0,540.0,0.0,-,-,798.0
2020-11-17,Hardin,69.0,0.0,0.0,0.0,-,-,0.0,30.0,0.0,-,-,99.0
2020-11-17,Henderson,134.0,-,-,0.0,-,-,0.0,93.0,0.0,-,-,230.0
2020-11-17,Henry,687.0,22.0,0.0,0.0,0.0,-,32.0,1138.0,41.0,-,-,1928.0
2020-11-17,Iroquois,900.0,13.0,0.0,0.0,0.0,-,30.0,202.0,111.0,-,-,1260.0
2020-11-17,Jackson,1326.0,338.0,13.0,0.0,0.0,-,37.0,333.0,174.0,-,-,2228.0
2020-11-17,Jasper,336.0,0.0,0.0,-,-,-,0.0,181.0,0.0,-,-,524.0
2020-11-17,Jefferson,782.0,47.0,0.0,0.0,0.0,-,29.0,600.0,33.0,-,-,1501.0
2020-11-17,Jersey,647.0,7.0,0.0,0.0,0.0,-,22.0,287.0,0.0,-,-,965.0
2020-11-17,Jo Daviess,512.0,0.0,0.0,0.0,0.0,-,0.0,373.0,19.0,-,-,909.0
2020-11-17,Johnson,389.0,48.0,0.0,-,0.0,-,0.0,109.0,34.0,-,-,587.0
2020-11-17,Kane,7439.0,883.0,487.0,19.0,16.0,-,574.0,8208.0,9026.0,-,-,26656.0
2020-11-17,Kankakee,3556.0,870.0,21.0,0.0,0.0,-,178.0,1357.0,818.0,-,-,6805.0
2020-11-17,Kendall,1946.0,325.0,79.0,7.0,0.0,-,111.0,1296.0,1294.0,-,-,5066.0
2020-11-17,Knox,992.0,137.0,0.0,0.0,0.0,-,25.0,952.0,69.0,-,-,2184.0
2020-11-17,LaSalle,3047.0,58.0,11.0,0.0,0.0,-,197.0,1159.0,409.0,-,-,4885.0
2020-11-17,Lake,9907.0,2005.0,767.0,49.0,75.0,-,1373.0,6274.0,11302.0,-,-,31753.0
2020-11-17,Lawrence,469.0,13.0,0.0,0.0,-,-,0.0,146.0,0.0,-,-,634.0
2020-11-17,Lee,910.0,50.0,7.0,0.0,0.0,-,44.0,478.0,28.0,-,-,1520.0
