date,county_name,white,black,asian,ai/an**,nh/pi*,two_plus,other,left blank,hispanic,non_hispanic,eth_unknown,total
2020-11-08,Adams,865.0,78.0,0.0,0.0,0.0,-,0.0,1850.0,0.0,-,-,2806.0
2020-11-08,Alexander,70.0,50.0,0.0,-,0.0,-,0.0,58.0,0.0,-,-,182.0
2020-11-08,Bond,247.0,12.0,0.0,0.0,-,-,14.0,378.0,0.0,-,-,657.0
2020-11-08,Boone,1114.0,39.0,22.0,0.0,0.0,-,42.0,393.0,962.0,-,-,2581.0
2020-11-08,Brown,99.0,30.0,-,-,-,-,0.0,42.0,7.0,-,-,179.0
2020-11-08,Bureau,536.0,0.0,0.0,0.0,0.0,-,13.0,567.0,164.0,-,-,1290.0
2020-11-08,Calhoun,71.0,0.0,-,0.0,-,-,0.0,42.0,0.0,-,-,121.0
2020-11-08,Carroll,325.0,30.0,0.0,0.0,0.0,-,6.0,297.0,13.0,-,-,679.0
2020-11-08,Cass,304.0,24.0,0.0,0.0,0.0,-,0.0,40.0,194.0,-,-,570.0
2020-11-08,Champaign,4834.0,1084.0,398.0,0.0,6.0,-,233.0,261.0,1043.0,-,-,7866.0
2020-11-08,Christian,490.0,38.0,0.0,0.0,0.0,-,15.0,597.0,35.0,-,-,1182.0
2020-11-08,Clark,354.0,0.0,0.0,0.0,-,-,7.0,128.0,0.0,-,-,495.0
2020-11-08,Clay,366.0,0.0,0.0,0.0,0.0,-,6.0,56.0,0.0,-,-,430.0
2020-11-08,Clinton,1165.0,44.0,0.0,0.0,0.0,-,69.0,845.0,39.0,-,-,2164.0
2020-11-08,Coles,1901.0,99.0,16.0,0.0,0.0,-,49.0,337.0,65.0,-,-,2473.0
2020-11-08,Cook,25815.0,11771.0,3013.0,191.0,215.0,-,5459.0,32357.0,22315.0,-,-,101137.0
2020-11-08,Crawford,433.0,151.0,0.0,0.0,0.0,-,14.0,102.0,36.0,-,-,744.0
2020-11-08,Cumberland,298.0,0.0,0.0,-,-,-,8.0,105.0,0.0,-,-,415.0
2020-11-08,De Witt,314.0,0.0,0.0,0.0,0.0,-,0.0,87.0,6.0,-,-,419.0
2020-11-08,DeKalb,1763.0,310.0,44.0,0.0,0.0,-,39.0,483.0,703.0,-,-,3348.0
2020-11-08,Douglas,526.0,0.0,0.0,0.0,0.0,-,34.0,215.0,197.0,-,-,983.0
2020-11-08,DuPage,11843.0,1219.0,1578.0,39.0,40.0,-,977.0,8332.0,6212.0,-,-,30244.0
2020-11-08,Edgar,442.0,0.0,0.0,0.0,0.0,-,0.0,45.0,0.0,-,-,492.0
2020-11-08,Edwards,109.0,0.0,0.0,-,-,-,0.0,21.0,0.0,-,-,135.0
2020-11-08,Effingham,653.0,0.0,0.0,0.0,0.0,-,101.0,909.0,9.0,-,-,1677.0
2020-11-08,Fayette,556.0,0.0,0.0,0.0,0.0,-,40.0,358.0,0.0,-,-,959.0
2020-11-08,Ford,304.0,0.0,0.0,0.0,0.0,-,8.0,66.0,8.0,-,-,397.0
2020-11-08,Franklin,923.0,0.0,0.0,0.0,-,-,13.0,340.0,9.0,-,-,1293.0
2020-11-08,Fulton,204.0,11.0,0.0,0.0,0.0,-,6.0,612.0,0.0,-,-,837.0
2020-11-08,Gallatin,111.0,0.0,0.0,-,-,-,0.0,19.0,0.0,-,-,134.0
2020-11-08,Greene,231.0,0.0,0.0,0.0,0.0,-,7.0,256.0,0.0,-,-,495.0
2020-11-08,Grundy,925.0,15.0,0.0,0.0,0.0,-,51.0,409.0,108.0,-,-,1512.0
2020-11-08,Hamilton,115.0,0.0,0.0,-,0.0,-,0.0,71.0,0.0,-,-,192.0
2020-11-08,Hancock,197.0,0.0,0.0,0.0,0.0,-,6.0,345.0,0.0,-,-,554.0
2020-11-08,Hardin,52.0,0.0,0.0,0.0,-,-,0.0,18.0,0.0,-,-,70.0
2020-11-08,Henderson,111.0,-,-,0.0,-,-,0.0,60.0,0.0,-,-,172.0
2020-11-08,Henry,409.0,15.0,0.0,0.0,0.0,-,16.0,864.0,33.0,-,-,1339.0
2020-11-08,Iroquois,594.0,12.0,0.0,0.0,0.0,-,17.0,146.0,88.0,-,-,860.0
2020-11-08,Jackson,1110.0,292.0,9.0,0.0,0.0,-,31.0,248.0,156.0,-,-,1856.0
2020-11-08,Jasper,265.0,0.0,0.0,-,-,-,0.0,147.0,0.0,-,-,418.0
2020-11-08,Jefferson,662.0,33.0,0.0,0.0,0.0,-,27.0,458.0,30.0,-,-,1215.0
2020-11-08,Jersey,480.0,7.0,0.0,0.0,0.0,-,19.0,239.0,0.0,-,-,747.0
2020-11-08,Jo Daviess,397.0,0.0,0.0,0.0,0.0,-,0.0,270.0,14.0,-,-,689.0
2020-11-08,Johnson,314.0,42.0,0.0,-,0.0,-,0.0,94.0,31.0,-,-,488.0
2020-11-08,Kane,6134.0,744.0,390.0,14.0,15.0,-,463.0,6573.0,7852.0,-,-,22192.0
2020-11-08,Kankakee,2447.0,696.0,19.0,0.0,0.0,-,129.0,968.0,686.0,-,-,4949.0
2020-11-08,Kendall,1529.0,271.0,64.0,0.0,0.0,-,92.0,876.0,1064.0,-,-,3903.0
2020-11-08,Knox,789.0,123.0,0.0,0.0,0.0,-,23.0,753.0,50.0,-,-,1750.0
2020-11-08,LaSalle,2278.0,54.0,7.0,0.0,0.0,-,147.0,792.0,322.0,-,-,3606.0
2020-11-08,Lake,8130.0,1764.0,614.0,47.0,71.0,-,1143.0,4579.0,9796.0,-,-,26144.0
2020-11-08,Lawrence,331.0,8.0,0.0,0.0,-,-,0.0,110.0,0.0,-,-,454.0
2020-11-08,Lee,699.0,41.0,0.0,0.0,0.0,-,29.0,353.0,20.0,-,-,1150.0
2020-11-08,Livingston,662.0,37.0,0.0,0.0,0.0,-,21.0,333.0,41.0,-,-,1099.0
2020-11-08,Logan,652.0,88.0,0.0,0.0,0.0,-,7.0,105.0,20.0,-,-,878.0
2020-11-08,Macon,2266.0,860.0,16.0,0.0,0.0,-,65.0,1202.0,55.0,-,-,4470.0
2020-11-08,Macoupin,698.0,10.0,0.0,0.0,0.0,-,31.0,355.0,6.0,-,-,1101.0
2020-11-08,Madison,4405.0,779.0,37.0,7.0,0.0,-,615.0,3038.0,259.0,-,-,9154.0
2020-11-08,Marion,1120.0,35.0,0.0,0.0,0.0,-,15.0,211.0,14.0,-,-,1399.0
2020-11-08,Marshall,100.0,0.0,0.0,-,-,-,0.0,101.0,0.0,-,-,211.0
2020-11-08,Mason,217.0,0.0,0.0,0.0,-,-,0.0,177.0,0.0,-,-,405.0
2020-11-08,Massac,136.0,11.0,0.0,0.0,-,-,0.0,76.0,0.0,-,-,226.0
2020-11-08,McDonough,733.0,99.0,17.0,0.0,0.0,-,10.0,126.0,57.0,-,-,1043.0
2020-11-08,McHenry,4833.0,105.0,150.0,11.0,14.0,-,187.0,2005.0,1893.0,-,-,9204.0
2020-11-08,McLean,2091.0,373.0,40.0,0.0,0.0,-,59.0,2702.0,251.0,-,-,5525.0
2020-11-08,Menard,127.0,0.0,0.0,0.0,0.0,-,0.0,103.0,0.0,-,-,234.0
2020-11-08,Mercer,200.0,0.0,0.0,-,0.0,-,0.0,231.0,7.0,-,-,449.0
2020-11-08,Monroe,661.0,0.0,0.0,-,0.0,-,7.0,575.0,16.0,-,-,1265.0
2020-11-08,Montgomery,348.0,18.0,0.0,0.0,0.0,-,6.0,402.0,0.0,-,-,780.0
2020-11-08,Morgan,477.0,217.0,0.0,0.0,0.0,-,8.0,507.0,45.0,-,-,1259.0
2020-11-08,Moultrie,432.0,8.0,0.0,0.0,0.0,-,10.0,132.0,6.0,-,-,594.0
2020-11-08,Ogle,768.0,7.0,0.0,0.0,0.0,-,32.0,746.0,233.0,-,-,1792.0
2020-11-08,Peoria,3234.0,1056.0,71.0,6.0,0.0,-,194.0,832.0,452.0,-,-,5855.0
2020-11-08,Perry,479.0,15.0,0.0,0.0,0.0,-,0.0,108.0,14.0,-,-,626.0
2020-11-08,Piatt,342.0,6.0,0.0,0.0,0.0,-,7.0,64.0,0.0,-,-,423.0
